Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,118.689183,[112  38] ; [ 50 204],[60.14851485 89.85148515] ; [101.85148515 152.14851485],1
s6,1,0.0,55.965734,[134  21] ; [127 128],[98.67073171 56.32926829] ; [162.32926829  92.67073171],1
s2,1,0.0,44.220828,[107  48] ; [ 91 167],[74.30992736 80.69007264] ; [123.69007264 134.30992736],1
s3,1,0.0,38.123876,[113  41] ; [107 148],[82.83618582 71.16381418] ; [137.16381418 117.83618582],1
s5,1,0.0,25.81334,[64 85] ; [ 49 204],[ 41.88308458 107.11691542] ; [ 71.11691542 181.88308458],1
p6,1,0.000221,13.643268,[ 55 100] ; [ 49 207],[ 39.22141119 115.77858881] ; [ 64.77858881 191.22141119],1
p10,1,0.001688,9.861417,[129  25] ; [179  77],[115.68780488  38.31219512] ; [192.31219512  63.68780488],0
d2,1,0.002602,9.067318,[83 73] ; [ 99 161],[68.25 87.75] ; [113.75 146.25],0
p4,1,0.003207,8.685785,[73 82] ; [ 84 174],[58.92251816 96.07748184] ; [ 98.07748184 159.92251816],0
v1,1,0.004086,8.245134,[86 68] ; [106 151],[71.94160584 82.05839416] ; [120.05839416 136.94160584],0
p7,1,0.005972,7.558785,[90 60] ; [115 136],[76.68329177 73.31670823] ; [128.31670823 122.68329177],0
v3,1,0.00623,7.482435,[63 87] ; [ 71 177],[50.50251256 99.49748744] ; [ 83.49748744 164.50251256],0
n4,1,0.006973,7.280002,[122  33] ; [173  88],[109.91586538  45.08413462] ; [185.08413462  75.91586538],0
u1,1,0.011243,6.426554,[ 29 127] ; [ 26 236],[ 20.52631579 135.47368421] ; [ 34.47368421 227.52631579],0
a8,1,0.016193,5.781779,[ 30 109] ; [ 30 214],[ 21.77545692 117.22454308] ; [ 38.22454308 205.77545692],0
n5,1,0.017569,5.638662,[118  37] ; [169  91],[107.19277108  47.80722892] ; [179.80722892  80.19277108],0
p9,1,0.02489,5.031513,[133  22] ; [194  59],[124.22794118  30.77205882] ; [202.77205882  50.22794118],0
a3,1,0.031809,4.608753,[114  42] ; [164  97],[104.  52.] ; [174.  87.],0
u2,1,0.038159,4.297941,[29 13] ; [48 48],[23.43478261 18.56521739] ; [53.56521739 42.43478261],0
s4,1,0.042148,4.129255,[ 33 122] ; [ 35 222],[ 25.58252427 129.41747573] ; [ 42.41747573 214.58252427],0
v2,1,0.044904,4.022247,[86 64] ; [115 130],[76.32911392 73.67088608] ; [124.67088608 120.32911392],0
a5,1,0.050904,3.811429,[115  41] ; [169  93],[105.99043062  50.00956938] ; [178.00956938  83.99043062],0
r1,1,0.054714,3.690778,[137  18] ; [212  49],[130.03605769  24.96394231] ; [218.96394231  42.03605769],0
n6,1,0.062935,3.458311,[135  21] ; [207  54],[127.94244604  28.05755396] ; [214.05755396  46.94244604],0
u3,1,0.063809,3.435514,[29 13] ; [50 46],[24.04347826 17.95652174] ; [54.95652174 41.04347826],0
d5,1,0.067228,3.349436,[129  27] ; [195  65],[121.5  34.5] ; [202.5  57.5],0
a1,1,0.067429,3.344522,[  7 149] ; [  4 258],[  4.10526316 151.89473684] ; [  6.89473684 255.10526316],0
a4,1,0.067738,3.337003,[73 83] ; [ 98 162],[64.125 91.875] ; [106.875 153.125],0
d1,1,0.103388,2.652494,[92 64] ; [133 129],[83.97129187 72.02870813] ; [141.02870813 120.97129187],0
a2,1,0.114732,2.487797,[ 38 118] ; [ 47 215],[ 31.72248804 124.27751196] ; [ 53.27751196 208.72248804],0
b1,1,0.117902,2.444973,[58 98] ; [ 78 184],[ 50.75598086 105.24401914] ; [ 85.24401914 176.75598086],0
p8,1,0.121994,2.391533,[67 86] ; [ 92 163],[59.625 93.375] ; [ 99.375 155.625],0
p5,1,0.221237,1.49633,[ 10 144] ; [ 10 251],[  7.42168675 146.57831325] ; [ 12.57831325 248.42168675],0
p12,1,0.234146,1.415498,[ 10 145] ; [ 10 249],[  7.48792271 147.51207729] ; [ 12.51207729 246.48792271],0
b2,1,0.359877,0.838323,[36 64] ; [40 92],[32.75862069 67.24137931] ; [43.24137931 88.75862069],0
b3,1,0.359877,0.838323,[36 64] ; [40 92],[32.75862069 67.24137931] ; [43.24137931 88.75862069],0
r2,1,0.364082,0.823762,[150   6] ; [254   6],[151.5   4.5] ; [252.5   7.5],0
n3,1,0.387531,0.746676,[26 12] ; [60 19],[27.93162393 10.06837607] ; [58.06837607 20.93162393],0
u4,1,0.454042,0.560542,[  4 152] ; [  4 258],[  2.98564593 153.01435407] ; [  5.01435407 256.98564593],0
p2,1,0.57735,0.310538,[119  37] ; [206  56],[121.29186603  34.70813397] ; [203.70813397  58.29186603],0
s1,1,0.615834,0.251767,[  5 146] ; [ 11 244],[  5.95073892 145.04926108] ; [ 10.04926108 244.95073892],0
d3,1,0.619969,0.245911,[111  45] ; [179  81],[108.75  47.25] ; [181.25  78.75],0
a6,1,0.625982,0.237549,[104  52] ; [180  81],[106.24460432  49.75539568] ; [177.75539568  83.24460432],0
r3,1,0.625992,0.237535,[154   2] ; [256   5],[153.38129496   2.61870504] ; [256.61870504   4.38129496],0
n1,1,0.691806,0.157138,[15 22] ; [29 50],[14.03448276 22.96551724] ; [29.96551724 49.03448276],0
d4,1,0.745684,0.105194,[128  28] ; [210  50],[126.75  29.25] ; [211.25  48.75],0
p11,1,0.801639,0.063115,[119  37] ; [197  65],[117.93301435  38.06698565] ; [198.06698565  63.93301435],0
p1,1,0.812889,0.056027,[  8 148] ; [ 12 248],[  7.5 148.5] ; [ 12.5 247.5],0
b5,1,0.82987,0.046168,[99 57] ; [169  93],[100.01913876  55.98086124] ; [167.98086124  94.01913876],0
v4,1,0.888347,0.019711,[151   5] ; [251   9],[150.75   5.25] ; [251.25   8.75],0
n2,1,0.935244,0.006601,[30  9] ; [61 19],[29.82352941  9.17647059] ; [61.17647059 18.82352941],0
a7,1,0.981652,0.000529,[114  42] ; [191  70],[114.10071942  41.89928058] ; [190.89928058  70.10071942],0
b4,1,0.989819,0.000163,[91 65] ; [153 109],[91.06220096 64.93779904] ; [152.93779904 109.06220096],0
