Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.8e-05,16.535205,[70 11] ; [6 9],[64.125 16.875] ; [11.875  3.125],1
p10,1,0.004454,8.088585,[69 12] ; [8 7],[64.96875 16.03125] ; [12.03125  2.96875],0
a5,1,0.00874,6.875142,[64 17] ; [7 8],[59.90625 21.09375] ; [11.09375  3.90625],0
n4,1,0.011453,6.393679,[67 14] ; [8 7],[63.28125 17.71875] ; [11.71875  3.28125],0
p9,1,0.013811,6.062183,[70 11] ; [9 6],[66.65625 14.34375] ; [12.34375  2.65625],0
r2,1,0.039314,4.247262,[77  4] ; [12  3],[75.09375  5.90625] ; [13.90625  1.09375],0
a4,1,0.03979,4.226835,[45 36] ; [ 4 11],[41.34375 39.65625] ; [7.65625 7.34375],0
d1,1,0.041134,4.170485,[50 31] ; [ 5 10],[46.40625 34.59375] ; [8.59375 6.40625],0
r4,1,0.044094,4.052953,[74  7] ; [11  4],[71.71875  9.28125] ; [13.28125  1.71875],0
p1,1,0.044094,4.052953,[ 7 74] ; [ 4 11],[ 9.28125 71.71875] ; [ 1.71875 13.28125],0
u2,1,0.046906,3.948774,[ 7 12] ; [5 1],[9.12 9.88] ; [2.88 3.12],0
n3,1,0.05773,3.601441,[12  5] ; [2 5],[9.91666667 7.08333333] ; [4.08333333 2.91666667],0
d5,1,0.089151,2.889643,[68 12] ; [10  5],[65.68421053 14.31578947] ; [12.31578947  2.68421053],0
s8,1,0.094475,2.796417,[46 35] ; [ 5 10],[43.03125 37.96875] ; [7.96875 7.03125],0
a6,1,0.127477,2.322963,[33 48] ; [ 3 12],[30.375 50.625] ; [5.625 9.375],0
s4,1,0.139086,2.188044,[22 58] ; [7 8],[24.42105263 55.57894737] ; [ 4.57894737 10.42105263],0
v3,1,0.145453,2.119301,[34 47] ; [ 3 11],[31.54736842 49.45263158] ; [5.45263158 8.54736842],0
a3,1,0.18967,1.720179,[61 19] ; [9 6],[58.94736842 21.05263158] ; [11.05263158  3.94736842],0
p5,1,0.191788,1.70383,[17 64] ; [ 1 14],[15.1875 65.8125] ; [ 2.8125 12.1875],0
r1,1,0.194366,1.684211,[66 15] ; [10  5],[64.125 16.875] ; [11.875  3.125],0
s3,1,0.233038,1.422222,[52 29] ; [12  3],[54. 27.] ; [10.  5.],0
v1,1,0.236231,1.402947,[45 34] ; [11  4],[47.06382979 31.93617021] ; [8.93617021 6.06382979],0
d3,1,0.399075,0.711111,[42 39] ; [6 9],[40.5 40.5] ; [7.5 7.5],0
d2,1,0.415344,0.663453,[47 34] ; [7 8],[45.5625 35.4375] ; [8.4375 6.5625],0
p8,1,0.438181,0.601041,[46 34] ; [7 8],[44.63157895 35.36842105] ; [8.36842105 6.63157895],0
p12,1,0.455329,0.557352,[ 6 74] ; [ 2 13],[ 6.73684211 73.26315789] ; [ 1.26315789 13.73684211],0
p2,1,0.466891,0.529323,[66 15] ; [11  4],[64.96875 16.03125] ; [12.03125  2.96875],0
p4,1,0.4815,0.495465,[51 30] ; [8 7],[49.78125 31.21875] ; [9.21875 5.78125],0
b5,1,0.487007,0.483132,[25 56] ; [6 9],[26.15625 54.84375] ; [ 4.84375 10.15625],0
b4,1,0.493789,0.468259,[52 29] ; [11  4],[53.15625 27.84375] ; [9.84375 5.15625],0
d4,1,0.530888,0.392692,[69 11] ; [12  3],[68.21052632 11.78947368] ; [12.78947368  2.21052632],0
p11,1,0.544763,0.366784,[65 16] ; [11  4],[64.125 16.875] ; [11.875  3.125],0
a1,1,0.566924,0.327856,[ 7 74] ; [ 2 13],[ 7.59375 73.40625] ; [ 1.40625 13.59375],0
n1,1,0.568261,0.3256,[ 8 10] ; [4 3],[8.64 9.36] ; [3.36 3.64],0
p3,1,0.589976,0.290381,[48 33] ; [10  5],[48.9375 32.0625] ; [9.0625 5.9375],0
s7,1,0.60216,0.271751,[47 32] ; [10  5],[47.90425532 31.09574468] ; [9.09574468 5.90425532],0
s6,1,0.664472,0.188137,[64 14] ; [13  2],[64.58064516 13.41935484] ; [12.41935484  2.58064516],0
p6,1,0.729015,0.120018,[36 44] ; [7 7],[36.59574468 43.40425532] ; [6.40425532 7.59574468],0
v2,1,0.744568,0.106152,[41 39] ; [7 8],[40.42105263 39.57894737] ; [7.57894737 7.42105263],0
s2,1,0.827638,0.047407,[51 30] ; [9 6],[50.625 30.375] ; [9.375 5.625],0
u3,1,0.829399,0.046429,[11  9] ; [3 3],[10.76923077  9.23076923] ; [3.23076923 2.76923077],0
b1,1,0.84673,0.037362,[41 40] ; [8 7],[41.34375 39.65625] ; [7.65625 7.34375],0
p7,1,0.891567,0.018584,[60 20] ; [11  4],[59.78947368 20.21052632] ; [11.21052632  3.78947368],0
r3,1,0.919269,0.010273,[75  6] ; [14  1],[75.09375  5.90625] ; [13.90625  1.09375],0
b2,1,0.922951,0.009354,[24 27] ; [5 6],[23.85483871 27.14516129] ; [5.14516129 5.85483871],0
b3,1,0.922951,0.009354,[24 27] ; [5 6],[23.85483871 27.14516129] ; [5.14516129 5.85483871],0
v4,1,0.942142,0.005267,[76  5] ; [14  1],[75.9375  5.0625] ; [14.0625  0.9375],0
