Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,106.929725,[283  61] ; [112 155],[222.38952537 121.61047463] ; [172.61047463  94.38952537],1
p4,1,0.0,55.744668,[269  77] ; [133 139],[225.06796117 120.93203883] ; [176.93203883  95.06796117],1
p6,1,0.0,51.31772,[181 164] ; [ 65 206],[137.77597403 207.22402597] ; [108.22402597 162.77597403],1
p2,1,0.0,49.760341,[323  24] ; [196  76],[290.94184168  56.05815832] ; [228.05815832  43.94184168],1
p3,1,0.0,42.103525,[228 118] ; [108 164],[188.11650485 157.88349515] ; [147.88349515 124.11650485],1
p5,1,0.0,25.354217,[ 72 275] ; [ 17 251],[ 50.21626016 296.78373984] ; [ 38.78373984 229.21626016],1
p9,1,4.8e-05,16.50621,[316  28] ; [218  52],[299.17915309  44.82084691] ; [234.82084691  35.17915309],1
p10,1,5.2e-05,16.357211,[314  32] ; [214  56],[296.57142857  49.42857143] ; [231.42857143  38.57142857],1
p11,1,5.5e-05,16.261734,[303  44] ; [204  69],[283.75645161  63.24354839] ; [223.24354839  49.75645161],1
v4,1,0.000239,13.498269,[338   7] ; [250  23],[328.25242718  16.74757282] ; [259.74757282  13.25242718],1
v1,1,0.000684,11.53289,[218 124] ; [132 132],[197.52475248 144.47524752] ; [152.47524752 111.52475248],1
r4,1,0.001452,10.138779,[326  21] ; [236  37],[314.53870968  32.46129032] ; [247.46129032  25.53870968],0
s5,1,0.002205,9.37023,[138 193] ; [ 78 186],[120.16134454 210.83865546] ; [ 95.83865546 168.16134454],0
s8,1,0.002347,9.256233,[183 160] ; [112 161],[164.26136364 178.73863636] ; [130.73863636 142.26136364],0
b5,1,0.005211,7.804631,[189 158] ; [179  94],[205.96129032 141.03870968] ; [162.03870968 110.96129032],0
d4,1,0.00542,7.733738,[296  50] ; [209  63],[282.73462783  63.26537217] ; [222.26537217  49.73462783],0
p1,1,0.00655,7.392415,[ 46 300] ; [ 18 255],[ 35.77382876 310.22617124] ; [ 28.22617124 244.77382876],0
s7,1,0.014312,5.999186,[191 136] ; [126 135],[176.29081633 150.70918367] ; [140.70918367 120.29081633],0
d1,1,0.020324,5.383831,[225 122] ; [152 121],[210.9983871 136.0016129] ; [166.0016129 106.9983871],0
v2,1,0.035547,4.418687,[202 135] ; [134 127],[189.35117057 147.64882943] ; [146.64882943 114.35117057],0
r1,1,0.03746,4.329358,[289  56] ; [209  62],[278.91233766  66.08766234] ; [219.08766234  51.91233766],0
p12,1,0.05154,3.79063,[ 40 305] ; [ 19 254],[ 32.9368932 312.0631068] ; [ 26.0631068 246.9368932],0
a8,1,0.064479,3.418256,[ 55 260] ; [ 29 216],[ 47.25 267.75] ; [ 36.75 208.25],0
a5,1,0.073022,3.21375,[272  75] ; [197  76],[262.48870968  84.51129032] ; [206.51129032  66.48870968],0
r2,1,0.075984,3.14878,[329  14] ; [251  20],[324.00651466  18.99348534] ; [255.99348534  15.00651466],0
d3,1,0.085532,2.956526,[245 102] ; [175  98],[235.06451613 111.93548387] ; [184.93548387  88.06451613],0
n4,1,0.090672,2.862401,[318  29] ; [238  34],[311.68336026  35.31663974] ; [244.31663974  27.68336026],0
r3,1,0.108552,2.575183,[329  15] ; [251  20],[324.42276423  19.57723577] ; [255.57723577  15.42276423],0
