Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.325583,[ 3 29] ; [20  8],[12.26666667 19.73333333] ; [10.73333333 17.26666667],1
s6,1,0.001995,9.554388,[13 17] ; [21  4],[18.54545455 11.45454545] ; [15.45454545  9.54545455],0
s2,1,0.00512,7.836735,[ 8 24] ; [17 11],[13.33333333 18.66666667] ; [11.66666667 16.33333333],0
p3,1,0.01389,6.052045,[10 21] ; [18 10],[14.71186441 16.28813559] ; [13.28813559 14.71186441],0
p11,1,0.023897,5.102111,[19 13] ; [24  4],[22.93333333  9.06666667] ; [20.06666667  7.93333333],0
p6,1,0.036759,4.361538,[ 9 21] ; [15 11],[12.85714286 17.14285714] ; [11.14285714 14.85714286],0
p9,1,0.041785,4.143911,[23  9] ; [25  2],[26.03389831  5.96610169] ; [21.96610169  5.03389831],0
s3,1,0.052625,3.755786,[11 20] ; [17 11],[14.71186441 16.28813559] ; [13.28813559 14.71186441],0
p4,1,0.068459,3.319597,[10 20] ; [16 12],[13.44827586 16.55172414] ; [12.55172414 15.44827586],0
p7,1,0.068833,3.310636,[15 17] ; [19  8],[18.44067797 13.55932203] ; [15.55932203 11.44067797],0
d5,1,0.092562,2.829241,[23  9] ; [25  3],[25.6  6.4] ; [22.4  5.6],0
s5,1,0.095119,2.78553,[ 4 26] ; [ 8 17],[ 6.54545455 23.45454545] ; [ 5.45454545 19.54545455],0
p2,1,0.105148,2.625675,[21 10] ; [24  4],[23.6440678  7.3559322] ; [21.3559322  6.6440678],0
n1,1,0.108664,2.573545,[2 8] ; [5 4],[3.68421053 6.31578947] ; [3.31578947 5.68421053],0
n6,1,0.110853,2.542017,[25  7] ; [26  2],[27.2  4.8] ; [23.8  4.2],0
p10,1,0.128318,2.312739,[20 11] ; [23  5],[22.59322034  8.40677966] ; [20.40677966  7.59322034],0
a3,1,0.148898,2.083502,[21 11] ; [23  5],[23.46666667  8.53333333] ; [20.53333333  7.46666667],0
d4,1,0.24716,1.339286,[25  7] ; [25  3],[26.66666667  5.33333333] ; [23.33333333  4.66666667],0
