Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.697363,[15 31] ; [42  9],[27.03092784 18.96907216] ; [29.96907216 21.03092784],1
n1,1,0.00482,7.945903,[ 3 17] ; [14 11],[ 7.55555556 12.44444444] ; [ 9.44444444 15.55555556],0
a1,1,0.012333,6.262356,[ 1 45] ; [ 9 42],[ 4.74226804 41.25773196] ; [ 5.25773196 45.74226804],0
r3,1,0.021477,5.287661,[37  9] ; [30 21],[31.77319588 14.22680412] ; [35.22680412 15.77319588],0
s7,1,0.023164,5.156152,[ 4 36] ; [14 33],[ 8.27586207 31.72413793] ; [ 9.72413793 37.27586207],0
n6,1,0.035998,4.397176,[20 26] ; [33 18],[25.13402062 20.86597938] ; [27.86597938 23.13402062],0
d4,1,0.047122,3.941016,[37  9] ; [31 19],[32.58333333 13.41666667] ; [35.41666667 14.58333333],0
p4,1,0.050351,3.829717,[20 26] ; [12 37],[15.49473684 30.50526316] ; [16.50526316 32.49473684],0
b2,1,0.058371,3.583086,[ 5 21] ; [14 19],[ 8.37288136 17.62711864] ; [10.62711864 22.37288136],0
b3,1,0.058371,3.583086,[ 5 21] ; [14 19],[ 8.37288136 17.62711864] ; [10.62711864 22.37288136],0
p3,1,0.129209,2.301982,[18 27] ; [13 38],[14.53125 30.46875] ; [16.46875 34.53125],0
d5,1,0.155722,2.015284,[35 11] ; [32 19],[31.77319588 14.22680412] ; [35.22680412 15.77319588],0
v2,1,0.170476,1.87875,[20 26] ; [15 35],[16.77083333 29.22916667] ; [18.22916667 31.77083333],0
p1,1,0.184852,1.758176,[ 2 44] ; [ 6 45],[ 3.79381443 42.20618557] ; [ 4.20618557 46.79381443],0
d1,1,0.205875,1.600199,[23 23] ; [19 32],[19.91752577 26.08247423] ; [22.08247423 28.91752577],0
s8,1,0.235487,1.407407,[ 5 40] ; [10 40],[ 7.10526316 37.89473684] ; [ 7.89473684 42.10526316],0
a5,1,0.241766,1.370266,[28 18] ; [25 26],[25.13402062 20.86597938] ; [27.86597938 23.13402062],0
u3,1,0.278912,1.172386,[10 10] ; [ 7 14],[ 8.29268293 11.70731707] ; [ 8.70731707 12.29268293],0
r2,1,0.304231,1.055556,[34 11] ; [42  8],[36.  9.] ; [40. 10.],0
b4,1,0.339982,0.910499,[27 19] ; [25 26],[24.65979381 21.34020619] ; [27.34020619 23.65979381],0
r4,1,0.431331,0.619238,[28 18] ; [27 24],[26.08247423 19.91752577] ; [28.91752577 22.08247423],0
n3,1,0.432004,0.617429,[11  8] ; [11 13],[9.72093023 9.27906977] ; [12.27906977 11.72093023],0
u1,1,0.435324,0.608578,[ 4 42] ; [ 7 44],[ 5.21649485 40.78350515] ; [ 5.78350515 45.21649485],0
d3,1,0.445975,0.580861,[27 19] ; [26 25],[25.13402062 20.86597938] ; [27.86597938 23.13402062],0
s4,1,0.471699,0.517993,[10 36] ; [ 8 42],[ 8.625 37.375] ; [ 9.375 40.625],0
p8,1,0.478475,0.502337,[14 32] ; [12 38],[12.45833333 33.54166667] ; [13.54166667 36.45833333],0
u2,1,0.518605,0.416667,[ 9 11] ; [ 7 13],[ 8. 12.] ; [ 8. 12.],0
b1,1,0.542852,0.370279,[27 19] ; [33 18],[28.45360825 17.54639175] ; [31.54639175 19.45360825],0
v1,1,0.589388,0.291301,[13 33] ; [17 34],[14.22680412 31.77319588] ; [15.77319588 35.22680412],0
s1,1,0.607951,0.263169,[ 5 41] ; [ 4 47],[ 4.26804124 41.73195876] ; [ 4.73195876 46.26804124],0
r1,1,0.632015,0.229339,[31 15] ; [32 19],[29.87628866 16.12371134] ; [33.12371134 17.87628866],0
s2,1,0.634627,0.225838,[13 33] ; [12 38],[11.97916667 34.02083333] ; [13.02083333 36.97916667],0
v4,1,0.670109,0.181474,[34 12] ; [35 15],[33.0625 12.9375] ; [35.9375 14.0625],0
a7,1,0.670219,0.181346,[26 20] ; [31 20],[27.03092784 18.96907216] ; [29.96907216 21.03092784],0
p10,1,0.681788,0.16812,[ 6 40] ; [ 8 42],[ 6.70833333 39.29166667] ; [ 7.29166667 42.70833333],0
a3,1,0.729844,0.119255,[26 20] ; [30 20],[26.83333333 19.16666667] ; [29.16666667 20.83333333],0
p7,1,0.743522,0.107055,[16 30] ; [19 31],[16.77083333 29.22916667] ; [18.22916667 31.77083333],0
a4,1,0.751621,0.100174,[18 28] ; [18 32],[17.25 28.75] ; [18.75 31.25],0
v3,1,0.769481,0.085881,[12 30] ; [16 35],[12.64516129 29.35483871] ; [15.35483871 35.64516129],0
b5,1,0.78791,0.072375,[24 22] ; [28 23],[24.65979381 21.34020619] ; [27.34020619 23.65979381],0
a2,1,0.808275,0.05888,[ 9 37] ; [ 9 42],[ 8.53608247 37.46391753] ; [ 9.46391753 41.53608247],0
d2,1,0.844742,0.03835,[23 23] ; [24 26],[22.52083333 23.47916667] ; [24.47916667 25.52083333],0
n2,1,0.855111,0.033343,[11  9] ; [15 11],[11.30434783  8.69565217] ; [14.69565217 11.30434783],0
p6,1,0.918785,0.010397,[ 7 38] ; [ 8 41],[ 7.18085106 37.81914894] ; [ 7.81914894 41.18085106],0
a6,1,0.939764,0.00571,[24 22] ; [27 24],[24.18556701 21.81443299] ; [26.81443299 24.18556701],0
s5,1,0.9527,0.003519,[ 7 38] ; [ 8 42],[ 7.10526316 37.89473684] ; [ 7.89473684 42.10526316],0
s3,1,0.957885,0.002789,[17 28] ; [19 32],[16.875 28.125] ; [19.125 31.875],0
p2,1,0.973,0.001146,[20 26] ; [22 29],[19.91752577 26.08247423] ; [22.08247423 28.91752577],0
s6,1,0.982524,0.00048,[19 26] ; [21 29],[18.94736842 26.05263158] ; [21.05263158 28.94736842],0
