Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.258953,1.274343,[228  85] ; [191  57],[233.77361854  79.22638146] ; [185.22638146  62.77361854],0
u3,1,0.308002,1.039223,[53 57] ; [44 35],[56.45502646 53.54497354] ; [40.54497354 38.45502646],0
p6,1,0.324219,0.971852,[ 82 224] ; [ 75 170],[ 87.19056261 218.80943739] ; [ 69.80943739 175.19056261],0
p1,1,0.363761,0.824868,[ 18 294] ; [ 19 228],[ 20.65116279 291.34883721] ; [ 16.34883721 230.65116279],0
n6,1,0.366489,0.815536,[235  75] ; [196  52],[239.44444444  70.55555556] ; [191.55555556  56.44444444],0
d5,1,0.375344,0.785896,[242  71] ; [183  64],[237.54464286  75.45535714] ; [187.45535714  59.54464286],0
b5,1,0.376032,0.783634,[197 116] ; [147 101],[191.92869875 121.07130125] ; [152.07130125  95.92869875],0
a6,1,0.380201,0.770053,[215  98] ; [161  86],[210.15714286 102.84285714] ; [165.84285714  81.15714286],0
d3,1,0.450543,0.569285,[195 117] ; [162  85],[199.25581395 112.74418605] ; [157.74418605  89.25581395],0
p5,1,0.450813,0.568606,[ 17 295] ; [ 17 226],[ 19.11351351 292.88648649] ; [ 14.88648649 228.11351351],0
u2,1,0.453399,0.562141,[58 52] ; [46 33],[60.52910053 49.47089947] ; [43.47089947 35.52910053],0
n3,1,0.469497,0.523159,[53 31] ; [40 18],[55.01408451 28.98591549] ; [37.98591549 20.01408451],0
v3,1,0.516106,0.421667,[107 196] ; [ 89 145],[110.59217877 192.40782123] ; [ 85.40782123 148.59217877],0
v2,1,0.518632,0.416613,[155 146] ; [126 106],[158.68855535 142.31144465] ; [122.31144465 109.68855535],0
p8,1,0.529713,0.394942,[143 164] ; [108 138],[139.34358047 167.65641953] ; [111.65641953 134.34358047],0
b2,1,0.535586,0.383782,[ 64 119] ; [60 97],[ 66.74117647 116.25882353] ; [57.25882353 99.74117647],0
b3,1,0.535586,0.383782,[ 64 119] ; [60 97],[ 66.74117647 116.25882353] ; [57.25882353 99.74117647],0
a3,1,0.553904,0.35037,[202 109] ; [167  81],[205.29338104 105.70661896] ; [163.70661896  84.29338104],0
a5,1,0.587158,0.294805,[215  98] ; [165  83],[212.01426025 100.98573975] ; [167.98573975  80.01426025],0
d1,1,0.605764,0.266389,[161 152] ; [133 115],[164.03208556 148.96791444] ; [129.96791444 118.03208556],0
a7,1,0.627952,0.234848,[219  93] ; [178  69],[221.58139535  90.41860465] ; [175.41860465  71.58139535],0
d4,1,0.636701,0.223083,[239  74] ; [192  54],[241.32915921  71.67084079] ; [189.67084079  56.32915921],0
a1,1,0.672533,0.178653,[ 14 299] ; [ 13 235],[ 15.06417112 297.93582888] ; [ 11.93582888 236.06417112],0
v1,1,0.725592,0.123198,[147 163] ; [115 120],[149.02752294 160.97247706] ; [112.97247706 122.02752294],0
b1,1,0.774958,0.081737,[125 188] ; [102 146],[126.65062389 186.34937611] ; [100.34937611 147.65062389],0
a4,1,0.856787,0.032568,[127 184] ; [ 99 148],[125.96057348 185.03942652] ; [100.03942652 146.96057348],0
a2,1,0.992162,9.7e-05,[ 63 250] ; [ 50 198],[ 63.04634581 249.95365419] ; [ 49.95365419 198.04634581],0
