Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.666586,[22  3] ; [39 68],[11.5530303 13.4469697] ; [49.4469697 57.5530303],1
s2,1,0.00142,10.179332,[16  9] ; [32 75],[ 9.09090909 15.90909091] ; [38.90909091 68.09090909],0
n6,1,0.00219,9.382675,[24  1] ; [69 37],[17.7480916  7.2519084] ; [75.2519084 30.7480916],0
s7,1,0.00248,9.155442,[14 11] ; [25 76],[ 7.73809524 17.26190476] ; [31.26190476 69.73809524],0
s8,1,0.006617,7.373996,[11 14] ; [20 88],[ 5.82706767 19.17293233] ; [25.17293233 82.82706767],0
s4,1,0.01456,5.968936,[ 8 17] ; [13 94],[ 3.97727273 21.02272727] ; [17.02272727 89.97727273],0
d2,1,0.020572,5.362723,[10 15] ; [20 88],[ 5.63909774 19.36090226] ; [24.36090226 83.63909774],0
p1,1,0.033507,4.519673,[ 5 20] ; [  7 101],[ 2.2556391 22.7443609] ; [ 9.7443609 98.2556391],0
p12,1,0.033861,4.501709,[ 2 23] ; [  1 105],[ 0.57251908 24.42748092] ; [  2.42748092 103.57251908],0
r4,1,0.043955,4.058279,[21  4] ; [68 40],[16.72932331  8.27067669] ; [72.27067669 35.72932331],0
p7,1,0.048527,3.891642,[15 10] ; [39 63],[10.62992126 14.37007874] ; [43.37007874 58.62992126],0
v4,1,0.055176,3.676768,[24  1] ; [84 21],[20.76923077  4.23076923] ; [87.23076923 17.76923077],0
p8,1,0.057657,3.603522,[12 13] ; [30 76],[ 8.01526718 16.98473282] ; [33.98473282 72.01526718],0
s3,1,0.058474,3.580141,[16  8] ; [48 58],[11.81538462 12.18461538] ; [52.18461538 53.81538462],0
n5,1,0.062826,3.46117,[21  4] ; [68 37],[17.11538462  7.88461538] ; [71.88461538 33.11538462],0
p6,1,0.085805,2.951366,[ 8 17] ; [18 89],[ 4.92424242 20.07575758] ; [21.07575758 85.92424242],0
p9,1,0.143139,2.143888,[20  5] ; [68 37],[16.92307692  8.07692308] ; [71.07692308 33.92307692],0
a5,1,0.168504,1.896203,[13 12] ; [40 68],[ 9.96240602 15.03759398] ; [43.03759398 64.96240602],0
p10,1,0.170192,1.88125,[18  6] ; [63 42],[15.06976744  8.93023256] ; [65.93023256 39.06976744],0
r2,1,0.20372,1.6155,[22  3] ; [81 25],[19.65648855  5.34351145] ; [83.34351145 22.65648855],0
d3,1,0.256104,1.289697,[ 8 17] ; [48 60],[10.52631579 14.47368421] ; [45.47368421 62.52631579],0
p5,1,0.259636,1.270696,[ 3 22] ; [  6 100],[ 1.71755725 23.28244275] ; [ 7.28244275 98.71755725],0
v3,1,0.327258,0.959718,[ 8 17] ; [24 82],[ 6.10687023 18.89312977] ; [25.89312977 80.10687023],0
a4,1,0.363768,0.824843,[ 3 22] ; [21 85],[ 4.58015267 20.41984733] ; [19.41984733 86.58015267],0
b4,1,0.367182,0.813179,[15 10] ; [54 54],[12.96992481 12.03007519] ; [56.03007519 51.96992481],0
v1,1,0.39223,0.732019,[ 8 16] ; [45 60],[ 9.86046512 14.13953488] ; [43.13953488 61.86046512],0
