Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.2e-05,15.753356,[21 17] ; [ 29 103],[11.17647059 26.82352941] ; [38.82352941 93.17647059],1
p7,1,0.000182,14.004198,[25 13] ; [42 89],[15.06508876 22.93491124] ; [51.93491124 79.06508876],1
s7,1,0.00221,9.366786,[16 20] ; [ 24 100],[ 9. 27.] ; [31. 93.],0
p4,1,0.004256,8.171375,[21 17] ; [40 93],[13.55555556 24.44444444] ; [47.44444444 85.55555556],0
p2,1,0.005713,7.638608,[29  9] ; [68 65],[21.55555556 16.44444444] ; [75.44444444 57.55555556],0
p3,1,0.009525,6.721581,[17 21] ; [ 31 102],[10.66666667 27.33333333] ; [37.33333333 95.66666667],0
r3,1,0.009956,6.642743,[36  2] ; [100  32],[30.4  7.6] ; [105.6  26.4],0
n6,1,0.01223,6.27724,[30  8] ; [74 57],[23.38461538 14.61538462] ; [80.61538462 50.38461538],0
s8,1,0.021127,5.31629,[12 26] ; [ 20 113],[ 7.11111111 30.88888889] ; [ 24.88888889 108.11111111],0
v4,1,0.026811,4.902963,[35  3] ; [99 32],[30.13017751  7.86982249] ; [103.86982249  27.13017751],0
p11,1,0.029465,4.74025,[23 15] ; [54 79],[17.11111111 20.88888889] ; [59.88888889 73.11111111],0
b5,1,0.032266,4.584323,[29  9] ; [76 57],[23.33333333 14.66666667] ; [81.66666667 51.33333333],0
b3,1,0.039311,4.247395,[12 12] ; [22 58],[ 7.84615385 16.15384615] ; [26.15384615 53.84615385],0
b2,1,0.039311,4.247395,[12 12] ; [22 58],[ 7.84615385 16.15384615] ; [26.15384615 53.84615385],0
s2,1,0.041856,4.141003,[15 23] ; [ 30 101],[10.1183432 27.8816568] ; [34.8816568 96.1183432],0
p1,1,0.057215,3.616339,[ 5 33] ; [  6 126],[ 2.45882353 35.54117647] ; [  8.54117647 123.45882353],0
r4,1,0.057393,3.611163,[31  7] ; [87 46],[26.22222222 11.77777778] ; [91.77777778 41.22222222],0
p9,1,0.058795,3.571049,[17 21] ; [37 93],[12.21428571 25.78571429] ; [41.78571429 88.21428571],0
n3,1,0.074462,3.181818,[12  3] ; [30 25],[9. 6.] ; [33. 22.],0
u4,1,0.095688,2.775974,[ 3 35] ; [  3 130],[ 1.33333333 36.66666667] ; [  4.66666667 128.33333333],0
r2,1,0.099058,2.720648,[35  3] ; [105  25],[31.66666667  6.33333333] ; [108.33333333  21.66666667],0
b4,1,0.108203,2.580268,[17 21] ; [79 54],[21.33333333 16.66666667] ; [74.66666667 58.33333333],0
n5,1,0.139745,2.180767,[25 13] ; [69 63],[21.01176471 16.98823529] ; [72.98823529 59.01176471],0
u2,1,0.140049,2.177417,[10  6] ; [22 31],[7.42028986 8.57971014] ; [24.57971014 28.42028986],0
n2,1,0.14966,2.075713,[11  4] ; [30 27],[8.54166667 6.45833333] ; [32.45833333 24.54166667],0
v2,1,0.159204,1.981767,[17 20] ; [43 86],[13.37349398 23.62650602] ; [46.62650602 82.37349398],0
s6,1,0.169209,1.889934,[19 19] ; [50 83],[15.33333333 22.66666667] ; [53.66666667 79.33333333],0
a5,1,0.186827,1.742467,[18 20] ; [79 54],[21.55555556 16.44444444] ; [75.44444444 57.55555556],0
n4,1,0.209064,1.577895,[27 11] ; [79 53],[23.69411765 14.30588235] ; [82.30588235 49.69411765],0
a7,1,0.209064,1.577895,[27 11] ; [79 53],[23.69411765 14.30588235] ; [82.30588235 49.69411765],0
s3,1,0.211809,1.559019,[18 20] ; [47 83],[14.70238095 23.29761905] ; [50.29761905 79.70238095],0
d1,1,0.249462,1.326316,[20 18] ; [56 77],[16.88888889 21.11111111] ; [59.11111111 73.88888889],0
d3,1,0.283915,1.148253,[25 13] ; [74 58],[22.12941176 15.87058824] ; [76.87058824 55.12941176],0
p5,1,0.336345,0.924315,[ 2 36] ; [  3 129],[ 1.11764706 36.88235294] ; [  3.88235294 128.11764706],0
v3,1,0.35394,0.859282,[ 7 30] ; [33 92],[ 9.13580247 27.86419753] ; [30.86419753 94.13580247],0
d2,1,0.362933,0.827718,[20 18] ; [58 73],[17.53846154 20.46153846] ; [60.46153846 70.53846154],0
d4,1,0.446438,0.57968,[28 10] ; [88 43],[26.08284024 11.91715976] ; [89.91715976 41.08284024],0
r1,1,0.478971,0.501205,[27 11] ; [85 46],[25.18343195 12.81656805] ; [86.81656805 44.18343195],0
n1,1,0.487384,0.482297,[7 8] ; [21 36],[5.83333333 9.16666667] ; [22.16666667 34.83333333],0
s4,1,0.494638,0.466421,[ 3 34] ; [ 16 116],[ 4.15976331 32.84023669] ; [ 14.84023669 117.15976331],0
a2,1,0.600261,0.274602,[ 6 32] ; [ 26 107],[ 7.11111111 30.88888889] ; [ 24.88888889 108.11111111],0
u3,1,0.61417,0.254148,[9 7] ; [27 28],[8.11267606 7.88732394] ; [27.88732394 27.11267606],0
b1,1,0.623719,0.240676,[20 18] ; [64 69],[18.66666667 19.33333333] ; [65.33333333 67.66666667],0
s1,1,0.655452,0.199095,[ 3 34] ; [  8 124],[ 2.40828402 34.59171598] ; [  8.59171598 123.40828402],0
u1,1,0.72406,0.124636,[ 6 32] ; [ 18 115],[ 5.33333333 32.66666667] ; [ 18.66666667 114.33333333],0
v1,1,0.784418,0.074838,[12 25] ; [46 86],[12.69822485 24.30177515] ; [45.30177515 86.69822485],0
a6,1,0.808748,0.058584,[23 15] ; [77 55],[22.35294118 15.64705882] ; [77.64705882 54.35294118],0
a3,1,0.85567,0.033083,[22 16] ; [78 53],[22.4852071 15.5147929] ; [77.5147929 53.4852071],0
d5,1,0.907858,0.013396,[26 12] ; [89 43],[25.70588235 12.29411765] ; [89.29411765 42.70588235],0
a8,1,0.91392,0.011685,[ 3 32] ; [ 11 109],[ 3.16129032 31.83870968] ; [ 10.83870968 109.16129032],0
a1,1,0.938533,0.005947,[ 3 35] ; [ 10 123],[ 2.88888889 35.11111111] ; [ 10.11111111 122.88888889],0
a4,1,0.951887,0.003641,[15 23] ; [51 80],[14.84023669 23.15976331] ; [51.15976331 79.84023669],0
