Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,25.042839,[31 12] ; [20 59],[17.97540984 25.02459016] ; [33.02459016 45.97540984],1
n3,1,0.002562,9.09549,[2 5] ; [16  2],[5.04 1.96] ; [12.96  5.04],0
s6,1,0.003656,8.447458,[33 10] ; [36 37],[25.57758621 17.42241379] ; [43.42241379 29.57758621],0
a7,1,0.027322,4.870365,[36  5] ; [55 24],[31.09166667  9.90833333] ; [59.90833333 19.09166667],0
s8,1,0.030528,4.679312,[18 25] ; [18 60],[12.79338843 30.20661157] ; [23.20661157 54.79338843],0
s5,1,0.068206,3.325678,[16 27] ; [16 58],[11.76068376 31.23931624] ; [20.23931624 53.76068376],0
p10,1,0.086643,2.935669,[38  5] ; [58 19],[34.4  8.6] ; [61.6 15.4],0
p12,1,0.091509,2.847625,[ 6 37] ; [ 4 74],[ 3.55371901 39.44628099] ; [ 6.44628099 71.55371901],0
d4,1,0.099144,2.719267,[38  5] ; [60 19],[34.54098361  8.45901639] ; [63.45901639 15.54098361],0
b4,1,0.103988,2.643284,[23 20] ; [54 25],[27.13934426 15.86065574] ; [49.86065574 29.13934426],0
n4,1,0.108887,2.570298,[28 15] ; [62 17],[31.72131148 11.27868852] ; [58.27868852 20.72131148],0
u2,1,0.186443,1.745501,[11  8] ; [12 19],[ 8.74 10.26] ; [14.26 16.74],0
p11,1,0.210317,1.569244,[39  4] ; [65 14],[36.6557377  6.3442623] ; [67.3442623 11.6557377],0
d2,1,0.240491,1.377713,[17 26] ; [40 39],[20.09016393 22.90983607] ; [36.90983607 42.09016393],0
v2,1,0.245333,1.349687,[24 16] ; [38 40],[21.01694915 18.98305085] ; [40.98305085 37.01694915],0
d3,1,0.278872,1.172579,[31 11] ; [50 28],[28.35 13.65] ; [52.65 25.35],0
n1,1,0.340904,0.907029,[1 6] ; [ 6 12],[1.96 5.04] ; [ 5.04 12.96],0
r2,1,0.357197,0.847724,[38  4] ; [74  4],[39.2  2.8] ; [72.8  5.2],0
a4,1,0.39061,0.737043,[18 25] ; [39 39],[20.25619835 22.74380165] ; [36.74380165 41.25619835],0
