Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.002301,9.292394,[ 15 100] ; [36 87],[24.64285714 90.35714286] ; [26.35714286 96.64285714],0
r4,1,0.004495,8.071984,[96 20] ; [117   7],[102.95  13.05] ; [110.05  13.95],0
s8,1,0.009797,6.671359,[24 92] ; [44 79],[33.0041841 82.9958159] ; [34.9958159 88.0041841],0
s3,1,0.014283,6.002787,[17 98] ; [34 88],[24.74683544 90.25316456] ; [26.25316456 95.74683544],0
s7,1,0.031009,4.652468,[29 80] ; [47 70],[36.65486726 72.34513274] ; [39.34513274 77.65486726],0
r3,1,0.04538,4.004449,[105  11] ; [120   4],[108.75   7.25] ; [116.25   7.75],0
s4,1,0.054853,3.686549,[  8 108] ; [ 18 105],[ 12.61924686 103.38075314] ; [ 13.38075314 109.61924686],0
p12,1,0.060967,3.51087,[  3 113] ; [ 10 114],[  6.28333333 109.71666667] ; [  6.71666667 117.28333333],0
u3,1,0.109315,2.564101,[18 20] ; [31 17],[21.65116279 16.34883721] ; [27.34883721 20.65116279],0
u2,1,0.109315,2.564101,[17 20] ; [31 18],[20.65116279 16.34883721] ; [27.34883721 21.65116279],0
d5,1,0.110091,2.552909,[91 25] ; [107  17],[95.7 20.3] ; [102.3  21.7],0
n3,1,0.119471,2.424242,[19  5] ; [14 10],[16.5  7.5] ; [16.5  7.5],0
s1,1,0.127656,2.320779,[  6 110] ; [  2 121],[  3.88284519 112.11715481] ; [  4.11715481 118.88284519],0
b4,1,0.136381,2.218322,[61 55] ; [77 47],[66.7 49.3] ; [71.3 52.7],0
n5,1,0.143188,2.14336,[83 33] ; [98 25],[87.84937238 28.15062762] ; [93.15062762 29.84937238],0
n4,1,0.174658,1.842506,[85 31] ; [100  24],[89.41666667 26.58333333] ; [95.58333333 28.41666667],0
a1,1,0.179193,1.804304,[  2 114] ; [  6 118],[  3.86666667 112.13333333] ; [  4.13333333 119.86666667],0
d3,1,0.185594,1.75225,[75 41] ; [90 34],[79.75 36.25] ; [85.25 38.75],0
p5,1,0.196488,1.668284,[ 12 103] ; [ 20 104],[15.39748954 99.60251046] ; [ 16.60251046 107.39748954],0
a8,1,0.225017,1.472087,[ 9 90] ; [16 94],[11.84210526 87.15789474] ; [13.15789474 96.84210526],0
r1,1,0.225373,1.469827,[87 29] ; [101  23],[90.86666667 25.13333333] ; [97.13333333 26.86666667],0
a3,1,0.237342,1.39631,[78 37] ; [75 49],[73.61924686 41.38075314] ; [79.38075314 44.61924686],0
p9,1,0.274592,1.193662,[93 23] ; [106  18],[96.18333333 19.81666667] ; [102.81666667  21.18333333],0
d4,1,0.295003,1.096646,[85 31] ; [98 26],[88.45 27.55] ; [94.55 29.45],0
