Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000355,12.757788,[ 4 19] ; [20 10],[10.41509434 12.58490566] ; [13.58490566 16.41509434],1
b2,1,0.06573,3.386561,[7 7] ; [ 4 16],[4.52941176 9.47058824] ; [ 6.47058824 13.52941176],0
b3,1,0.06573,3.386561,[7 7] ; [ 4 16],[4.52941176 9.47058824] ; [ 6.47058824 13.52941176],0
b5,1,0.066193,3.375,[10 14] ; [20 10],[13.33333333 10.66666667] ; [16.66666667 13.33333333],0
s8,1,0.087503,2.919724,[16  8] ; [13 17],[12.88888889 11.11111111] ; [16.11111111 13.88888889],0
p1,1,0.093025,2.821224,[ 4 20] ; [ 1 29],[ 2.22222222 21.77777778] ; [ 2.77777778 27.22222222],0
r2,1,0.110298,2.549949,[20  4] ; [27  1],[21.69230769  2.30769231] ; [25.30769231  2.69230769],0
s4,1,0.149477,2.077583,[10 14] ; [ 7 23],[ 7.55555556 16.44444444] ; [ 9.44444444 20.55555556],0
r1,1,0.149477,2.077583,[14 10] ; [23  7],[16.44444444  7.55555556] ; [20.55555556  9.44444444],0
a3,1,0.149477,2.077583,[14 10] ; [23  7],[16.44444444  7.55555556] ; [20.55555556  9.44444444],0
a8,1,0.150483,2.067346,[ 1 21] ; [ 5 23],[ 2.64 19.36] ; [ 3.36 24.64],0
a7,1,0.160968,1.965113,[18  6] ; [17 13],[15.55555556  8.44444444] ; [19.44444444 10.55555556],0
p7,1,0.169464,1.887681,[11 11] ; [20  9],[13.37254902  8.62745098] ; [17.62745098 11.37254902],0
d5,1,0.177647,1.817202,[21  3] ; [21  8],[19.01886792  4.98113208] ; [22.98113208  6.01886792],0
v4,1,0.228385,1.450893,[21  3] ; [27  1],[22.15384615  1.84615385] ; [25.84615385  2.15384615],0
a5,1,0.231213,1.433382,[13 11] ; [21  9],[15.11111111  8.88888889] ; [18.88888889 11.11111111],0
s6,1,0.254797,1.296811,[20  4] ; [21  9],[18.22222222  5.77777778] ; [22.77777778  7.22222222],0
d4,1,0.281072,1.161899,[21  3] ; [22  7],[19.47169811  4.52830189] ; [23.52830189  5.47169811],0
d2,1,0.35608,0.851671,[ 7 17] ; [12 17],[ 8.60377358 15.39622642] ; [10.39622642 18.60377358],0
s5,1,0.404771,0.694107,[10 13] ; [ 9 19],[ 8.56862745 14.43137255] ; [10.43137255 17.56862745],0
s2,1,0.407472,0.686165,[17  7] ; [18 12],[15.55555556  8.44444444] ; [19.44444444 10.55555556],0
v1,1,0.430756,0.620783,[15  9] ; [15 14],[13.58490566 10.41509434] ; [16.41509434 12.58490566],0
r3,1,0.431191,0.619614,[20  3] ; [28  2],[20.83018868  2.16981132] ; [27.16981132  2.83018868],0
s3,1,0.459461,0.547207,[16  8] ; [22  7],[17.20754717  6.79245283] ; [20.79245283  8.20754717],0
b1,1,0.462433,0.54,[12 12] ; [18 12],[13.33333333 10.66666667] ; [16.66666667 13.33333333],0
a2,1,0.462433,0.54,[ 3 21] ; [ 6 24],[ 4. 20.] ; [ 5. 25.],0
p10,1,0.498996,0.457071,[18  5] ; [21  9],[16.9245283  6.0754717] ; [22.0754717  7.9245283],0
p6,1,0.52355,0.406894,[ 8 15] ; [ 8 22],[ 6.94339623 16.05660377] ; [ 9.05660377 20.94339623],0
p4,1,0.541691,0.372414,[10 14] ; [15 15],[11.11111111 12.88888889] ; [13.88888889 16.11111111],0
p9,1,0.597041,0.279481,[19  4] ; [23  7],[18.22641509  4.77358491] ; [23.77358491  6.22641509],0
n3,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
v2,1,0.660877,0.192459,[11 10] ; [17 12],[11.76  9.24] ; [16.24 12.76],0
a4,1,0.683553,0.166154,[ 6 18] ; [ 9 21],[ 6.66666667 17.33333333] ; [ 8.33333333 21.66666667],0
v3,1,0.708678,0.139601,[ 5 16] ; [ 8 20],[ 5.57142857 15.42857143] ; [ 7.42857143 20.57142857],0
p11,1,0.750032,0.101504,[15  9] ; [20 10],[15.55555556  8.44444444] ; [19.44444444 10.55555556],0
b4,1,0.760748,0.09272,[13 11] ; [15 15],[12.44444444 11.55555556] ; [15.55555556 14.44444444],0
p5,1,0.781666,0.076812,[ 2 21] ; [ 2 28],[ 1.73584906 21.26415094] ; [ 2.26415094 27.73584906],0
n1,1,0.808655,0.058642,[5 4] ; [5 5],[4.73684211 4.26315789] ; [5.26315789 4.73684211],0
u1,1,0.816244,0.054,[ 2 22] ; [ 2 28],[ 1.77777778 22.22222222] ; [ 2.22222222 27.77777778],0
u2,1,0.848936,0.036281,[8 1] ; [6 1],[7.875 1.125] ; [6.125 0.875],0
p3,1,0.85146,0.035065,[ 9 15] ; [12 18],[ 9.33333333 14.66666667] ; [11.66666667 18.33333333],0
d3,1,0.882785,0.021739,[17  7] ; [20  9],[16.75471698  7.24528302] ; [20.24528302  8.75471698],0
r4,1,0.88955,0.019286,[18  6] ; [22  8],[17.77777778  6.22222222] ; [22.22222222  7.77777778],0
p2,1,0.88955,0.019286,[18  6] ; [22  8],[17.77777778  6.22222222] ; [22.22222222  7.77777778],0
a6,1,0.898828,0.016165,[17  7] ; [21  8],[17.20754717  6.79245283] ; [20.79245283  8.20754717],0
p8,1,0.947372,0.004357,[ 9 13] ; [12 18],[ 8.88461538 13.11538462] ; [12.11538462 17.88461538],0
d1,1,1.0,0.0,[12 12] ; [15 15],[12. 12.] ; [15. 15.],0
