Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.956737,[6 1] ; [ 3 36],[1.36956522 5.63043478] ; [ 7.63043478 31.36956522],1
s5,1,0.002599,9.069903,[3 3] ; [ 3 40],[0.73469388 5.26530612] ; [ 5.26530612 37.73469388],0
p9,1,0.003105,8.744699,[6 1] ; [11 29],[2.53191489 4.46808511] ; [14.46808511 25.53191489],0
u1,1,0.006697,7.35256,[2 5] ; [ 1 42],[0.42 6.58] ; [ 2.58 40.42],0
p2,1,0.006706,7.35,[5 2] ; [ 9 33],[2. 5.] ; [12. 30.],0
p4,1,0.009195,6.784615,[4 3] ; [ 6 36],[1.42857143 5.57142857] ; [ 8.57142857 33.42857143],0
n6,1,0.016506,5.748155,[6 1] ; [16 27],[3.08 3.92] ; [18.92 24.08],0
r4,1,0.017659,5.629629,[3 4] ; [ 4 39],[0.98 6.02] ; [ 6.02 36.98],0
p10,1,0.027423,4.863971,[5 2] ; [12 30],[2.42857143 4.57142857] ; [14.57142857 27.42857143],0
s2,1,0.036612,4.368375,[3 4] ; [ 5 38],[1.12 5.88] ; [ 6.88 36.12],0
s3,1,0.052819,3.74965,[4 3] ; [ 9 32],[1.89583333 5.10416667] ; [11.10416667 29.89583333],0
n2,1,0.081885,3.027088,[5 1] ; [10 13],[3.10344828 2.89655172] ; [11.89655172 11.10344828],0
p6,1,0.082915,3.006818,[2 5] ; [ 3 39],[0.71428571 6.28571429] ; [ 4.28571429 37.71428571],0
r1,1,0.088924,2.893748,[5 2] ; [16 27],[2.94 4.06] ; [18.06 24.94],0
d4,1,0.109154,2.566432,[6 1] ; [23 20],[4.06 2.94] ; [24.94 18.06],0
p12,1,0.134262,2.242525,[1 6] ; [ 1 42],[0.28 6.72] ; [ 1.72 41.28],0
d3,1,0.1455,2.11881,[5 2] ; [18 25],[3.22 3.78] ; [19.78 23.22],0
a7,1,0.1455,2.11881,[5 2] ; [18 25],[3.22 3.78] ; [19.78 23.22],0
a2,1,0.145702,2.116682,[2 5] ; [ 4 39],[0.84 6.16] ; [ 5.16 37.84],0
s6,1,0.150869,2.06344,[3 4] ; [ 8 35],[1.54 5.46] ; [ 9.46 33.54],0
p1,1,0.230883,1.435415,[2 5] ; [ 5 38],[0.98 6.02] ; [ 6.02 36.98],0
d1,1,0.260516,1.266012,[4 3] ; [15 28],[2.66 4.34] ; [16.34 26.66],0
b3,1,0.270713,1.213131,[1 4] ; [13 15],[2.12121212 2.87878788] ; [11.87878788 16.12121212],0
b2,1,0.270713,1.213131,[1 4] ; [13 15],[2.12121212 2.87878788] ; [11.87878788 16.12121212],0
v3,1,0.27289,1.202161,[3 4] ; [10 33],[1.82 5.18] ; [11.18 31.82],0
n1,1,0.311405,1.024707,[4 2] ; [10 13],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
b4,1,0.318441,0.99534,[5 2] ; [22 21],[3.78 3.22] ; [23.22 19.78],0
d2,1,0.342474,0.901149,[4 3] ; [16 26],[2.85714286 4.14285714] ; [17.14285714 24.85714286],0
v2,1,0.343765,0.896341,[2 5] ; [ 6 36],[1.14285714 5.85714286] ; [ 6.85714286 35.14285714],0
d5,1,0.375209,0.78634,[5 2] ; [23 20],[3.92 3.08] ; [24.08 18.92],0
b5,1,0.381397,0.766193,[4 3] ; [17 26],[2.94 4.06] ; [18.06 24.94],0
n5,1,0.383525,0.759374,[6 1] ; [30 13],[5.04 1.96] ; [30.96 12.04],0
u2,1,0.421317,0.646639,[1 1] ; [ 4 13],[0.52631579 1.47368421] ; [ 4.47368421 12.52631579],0
u3,1,0.421317,0.646639,[1 1] ; [ 4 13],[0.52631579 1.47368421] ; [ 4.47368421 12.52631579],0
a6,1,0.450017,0.570609,[4 3] ; [18 25],[3.08 3.92] ; [18.92 24.08],0
p8,1,0.451402,0.56713,[2 5] ; [ 7 35],[1.28571429 5.71428571] ; [ 7.71428571 34.28571429],0
a5,1,0.601596,0.272596,[4 3] ; [20 23],[3.36 3.64] ; [20.64 22.36],0
p3,1,0.674975,0.175837,[2 5] ; [ 9 33],[1.57142857 5.42857143] ; [ 9.42857143 32.57142857],0
a3,1,0.682001,0.167882,[5 2] ; [26 15],[4.52083333 2.47916667] ; [26.47916667 14.52083333],0
b1,1,0.74371,0.106893,[5 2] ; [28 15],[4.62 2.38] ; [28.38 14.62],0
n4,1,0.74371,0.106893,[5 2] ; [28 15],[4.62 2.38] ; [28.38 14.62],0
n3,1,0.750469,0.101137,[2 3] ; [11 12],[2.32142857 2.67857143] ; [10.67857143 12.32142857],0
a4,1,0.751412,0.100348,[3 4] ; [15 26],[2.625 4.375] ; [15.375 25.625],0
s4,1,0.782683,0.076079,[1 6] ; [ 8 35],[1.26 5.74] ; [ 7.74 35.26],0
v1,1,0.867172,0.027973,[2 5] ; [11 32],[1.82 5.18] ; [11.18 31.82],0
r2,1,0.876947,0.023976,[4 2] ; [26 15],[3.82978723 2.17021277] ; [26.17021277 14.82978723],0
