Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000374,12.659125,[36  1] ; [40 20],[28.98969072  8.01030928] ; [47.01030928 12.98969072],1
s2,1,0.001535,10.035959,[30  8] ; [28 32],[22.48979592 15.51020408] ; [35.51020408 24.48979592],0
s7,1,0.002286,9.304511,[25  7] ; [25 31],[18.18181818 13.81818182] ; [31.81818182 24.18181818],0
p10,1,0.002379,9.231508,[28  9] ; [26 33],[20.8125 16.1875] ; [33.1875 25.8125],0
s4,1,0.003082,8.758001,[14 24] ; [ 7 53],[ 8.14285714 29.85714286] ; [12.85714286 47.14285714],0
d2,1,0.004927,7.906046,[25 13] ; [22 38],[18.2244898 19.7755102] ; [28.7755102 31.2244898],0
p9,1,0.006131,7.511437,[32  6] ; [34 25],[25.8556701 12.1443299] ; [40.1443299 18.8556701],0
a4,1,0.020921,5.333357,[23 15] ; [22 38],[17.44897959 20.55102041] ; [27.55102041 32.44897959],0
d5,1,0.024374,5.067817,[34  4] ; [42 18],[29.46938776  8.53061224] ; [46.53061224 13.46938776],0
s8,1,0.026057,4.952233,[22 16] ; [21 39],[16.67346939 21.32653061] ; [26.32653061 33.67346939],0
a3,1,0.028011,4.82741,[29  9] ; [32 27],[23.89690722 14.10309278] ; [37.10309278 21.89690722],0
d1,1,0.03015,4.700706,[25 13] ; [26 34],[19.7755102 18.2244898] ; [31.2244898 28.7755102],0
r2,1,0.048741,3.884246,[37  1] ; [51  9],[34.12244898  3.87755102] ; [53.87755102  6.12244898],0
b4,1,0.050876,3.812335,[26 12] ; [29 31],[21.32653061 16.67346939] ; [33.67346939 26.32653061],0
v3,1,0.056729,3.630536,[18 19] ; [17 41],[13.63157895 23.36842105] ; [21.36842105 36.63157895],0
a5,1,0.073076,3.21253,[30  8] ; [37 23],[25.97959184 12.02040816] ; [41.02040816 18.97959184],0
u1,1,0.095076,2.786255,[11 27] ; [ 9 51],[ 7.75510204 30.24489796] ; [12.24489796 47.75510204],0
p6,1,0.100513,2.697378,[19 19] ; [20 40],[15.12244898 22.87755102] ; [23.87755102 36.12244898],0
b1,1,0.12485,2.355402,[25 13] ; [30 30],[21.32653061 16.67346939] ; [33.67346939 26.32653061],0
p12,1,0.128954,2.305049,[ 3 35] ; [ 1 59],[ 1.55102041 36.44897959] ; [ 2.44897959 57.55102041],0
s3,1,0.138693,2.192402,[26 12] ; [32 28],[22.48979592 15.51020408] ; [35.51020408 24.48979592],0
d3,1,0.147868,2.094109,[31  7] ; [41 19],[27.91836735 10.08163265] ; [44.08163265 15.91836735],0
v1,1,0.214574,1.540295,[21 17] ; [25 34],[18.02061856 19.97938144] ; [27.97938144 31.02061856],0
n4,1,0.237182,1.397263,[26 11] ; [35 25],[23.26804124 13.73195876] ; [37.73195876 22.26804124],0
a8,1,0.254952,1.295961,[ 4 28] ; [ 3 51],[ 2.60465116 29.39534884] ; [ 4.39534884 49.60465116],0
p8,1,0.303008,1.060909,[14 24] ; [28 31],[16.45360825 21.54639175] ; [25.54639175 33.45360825],0
n6,1,0.307587,1.04101,[31  6] ; [45 15],[28.98969072  8.01030928] ; [47.01030928 12.98969072],0
a2,1,0.308529,1.036961,[11 27] ; [12 48],[ 8.91836735 29.08163265] ; [14.08163265 45.91836735],0
d4,1,0.328315,0.955533,[30  8] ; [42 18],[27.91836735 10.08163265] ; [44.08163265 15.91836735],0
u2,1,0.329114,0.952381,[5 4] ; [10 17],[3.75 5.25] ; [11.25 15.75],0
p1,1,0.366415,0.815787,[ 6 31] ; [ 6 54],[ 4.57731959 32.42268041] ; [ 7.42268041 52.57731959],0
r4,1,0.397336,0.716374,[34  4] ; [50 10],[32.57142857  5.42857143] ; [51.42857143  8.57142857],0
v2,1,0.403822,0.696915,[21 17] ; [27 31],[19. 19.] ; [29. 29.],0
v4,1,0.405962,0.690594,[35  3] ; [52  8],[33.73469388  4.26530612] ; [53.26530612  6.73469388],0
n1,1,0.440495,0.594992,[4 8] ; [ 9 10],[5.03225806 6.96774194] ; [ 7.96774194 11.03225806],0
