Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,65.017488,[10 61] ; [58 13],[34. 37.] ; [34. 37.],1
s6,1,2e-06,22.485129,[31 39] ; [58 12],[44.5 25.5] ; [44.5 25.5],1
s7,1,3e-06,21.914932,[14 52] ; [41 26],[27.29323308 38.70676692] ; [27.70676692 39.29323308],1
s8,1,0.000256,13.370596,[19 52] ; [40 30],[29.70921986 41.29078014] ; [29.29078014 40.70921986],1
v1,1,0.000352,12.773026,[19 52] ; [39 30],[29.41428571 41.58571429] ; [28.58571429 40.41428571],1
p9,1,0.02734,4.869242,[41 30] ; [52 17],[47.16428571 23.83571429] ; [45.83571429 23.16428571],0
v2,1,0.030892,4.658954,[29 40] ; [40 26],[35.26666667 33.73333333] ; [33.73333333 32.26666667],0
p10,1,0.035821,4.405594,[38 32] ; [50 20],[44. 26.] ; [44. 26.],0
n1,1,0.063776,3.436364,[ 7 14] ; [13  8],[10. 11.] ; [10. 11.],0
a8,1,0.067873,3.333719,[ 4 63] ; [11 59],[ 7.33576642 59.66423358] ; [ 7.66423358 62.33576642],0
n5,1,0.075205,3.16559,[40 32] ; [49 21],[45.12676056 26.87323944] ; [43.87323944 26.12676056],0
p7,1,0.083402,2.99732,[22 50] ; [30 37],[26.9352518 45.0647482] ; [25.0647482 41.9352518],0
s5,1,0.091569,2.846577,[16 51] ; [25 42],[20.5 46.5] ; [20.5 46.5],0
p8,1,0.127309,2.325015,[21 51] ; [13 58],[17.11888112 54.88111888] ; [16.88111888 54.11888112],0
s4,1,0.156875,2.004092,[11 59] ; [18 53],[14.39716312 55.60283688] ; [14.60283688 56.39716312],0
p4,1,0.236251,1.402826,[22 49] ; [28 41],[25.35714286 45.64285714] ; [24.64285714 44.35714286],0
p1,1,0.291547,1.112464,[ 3 69] ; [ 6 65],[ 4.53146853 67.46853147] ; [ 4.46853147 66.53146853],0
p12,1,0.32194,0.981047,[ 4 68] ; [ 7 63],[ 5.57746479 66.42253521] ; [ 5.42253521 64.57746479],0
b5,1,0.327165,0.960087,[43 29] ; [48 23],[45.81818182 26.18181818] ; [45.18181818 25.81818182],0
