Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000346,12.80223,[36  7] ; [1 5],[32.46938776 10.53061224] ; [4.53061224 1.46938776],1
a7,1,0.005479,7.714286,[31 11] ; [1 5],[28. 14.] ; [4. 2.],0
d4,1,0.017449,5.6506,[34  9] ; [2 4],[31.59183673 11.40816327] ; [4.40816327 1.59183673],0
r1,1,0.032461,4.573966,[27 16] ; [1 5],[24.57142857 18.42857143] ; [3.42857143 2.57142857],0
r3,1,0.032672,4.562888,[37  6] ; [3 3],[35.10204082  7.89795918] ; [4.89795918 1.10204082],0
b1,1,0.040801,4.184253,[11 32] ; [4 2],[13.16326531 29.83673469] ; [1.83673469 4.16326531],0
p10,1,0.054872,3.685957,[36  7] ; [3 3],[34.2244898  8.7755102] ; [4.7755102 1.2244898],0
n2,1,0.057398,3.611014,[10  3] ; [1 3],[8.41176471 4.58823529] ; [2.58823529 1.41176471],0
p9,1,0.084244,2.981056,[35  8] ; [3 3],[33.34693878  9.65306122] ; [4.65306122 1.34693878],0
s1,1,0.096287,2.765999,[ 1 42] ; [1 5],[ 1.75510204 41.24489796] ; [0.24489796 5.75510204],0
a6,1,0.112719,2.515679,[22 21] ; [1 5],[20.18367347 22.81632653] ; [2.81632653 3.18367347],0
d1,1,0.112719,2.515679,[22 21] ; [1 5],[20.18367347 22.81632653] ; [2.81632653 3.18367347],0
d3,1,0.13057,2.285714,[33  9] ; [3 3],[31.5 10.5] ; [4.5 1.5],0
r2,1,0.139098,2.187907,[37  6] ; [3 2],[35.83333333  7.16666667] ; [4.16666667 0.83333333],0
s6,1,0.146992,2.103189,[27 15] ; [2 4],[25.375 16.625] ; [3.625 2.375],0
v2,1,0.166403,1.915052,[20 23] ; [1 5],[18.42857143 24.57142857] ; [2.57142857 3.42857143],0
d5,1,0.176892,1.823548,[32 10] ; [3 3],[30.625 11.375] ; [4.375 1.625],0
n4,1,0.208374,1.582687,[26 17] ; [2 4],[24.57142857 18.42857143] ; [3.42857143 2.57142857],0
n6,1,0.228917,1.44758,[37  6] ; [4 2],[35.97959184  7.02040816] ; [5.02040816 0.97959184],0
b4,1,0.301309,1.068393,[24 19] ; [2 4],[22.81632653 20.18367347] ; [3.18367347 2.81632653],0
p2,1,0.333416,0.935584,[30 13] ; [3 3],[28.95918367 14.04081633] ; [4.04081633 1.95918367],0
a5,1,0.400451,0.706972,[29 14] ; [3 3],[28.08163265 14.91836735] ; [3.91836735 2.08163265],0
u3,1,0.413247,0.669439,[ 7 10] ; [2 1],[7.65 9.35] ; [1.35 1.65],0
n3,1,0.481556,0.495338,[9 4] ; [2 2],[8.41176471 4.58823529] ; [2.58823529 1.41176471],0
p8,1,0.51122,0.431568,[20 22] ; [2 4],[19.25 22.75] ; [2.75 3.25],0
p11,1,0.546927,0.362852,[27 16] ; [3 3],[26.32653061 16.67346939] ; [3.67346939 2.32653061],0
s8,1,0.559084,0.341292,[12 31] ; [1 5],[11.40816327 31.59183673] ; [1.59183673 4.40816327],0
n1,1,0.622252,0.242716,[5 8] ; [1 3],[4.58823529 8.41176471] ; [1.41176471 2.58823529],0
p3,1,0.625137,0.238713,[17 26] ; [3 3],[17.55102041 25.44897959] ; [2.44897959 3.55102041],0
a3,1,0.625137,0.238713,[26 17] ; [3 3],[25.44897959 17.55102041] ; [3.55102041 2.44897959],0
p7,1,0.705865,0.142442,[25 18] ; [3 3],[24.57142857 18.42857143] ; [3.42857143 2.57142857],0
b5,1,0.770241,0.085299,[26 17] ; [4 2],[26.32653061 16.67346939] ; [3.67346939 2.32653061],0
v1,1,0.788532,0.07194,[19 24] ; [3 3],[19.30612245 23.69387755] ; [2.69387755 3.30612245],0
n5,1,0.85363,0.034036,[27 16] ; [4 2],[27.20408163 15.79591837] ; [3.79591837 2.20408163],0
d2,1,0.85363,0.034036,[16 27] ; [2 4],[15.79591837 27.20408163] ; [2.20408163 3.79591837],0
b3,1,0.864395,0.029167,[ 7 17] ; [1 3],[ 6.85714286 17.14285714] ; [1.14285714 2.85714286],0
b2,1,0.864395,0.029167,[ 7 17] ; [1 3],[ 6.85714286 17.14285714] ; [1.14285714 2.85714286],0
a4,1,0.87731,0.023833,[13 30] ; [2 4],[13.16326531 29.83673469] ; [1.83673469 4.16326531],0
p4,1,0.957434,0.002849,[22 21] ; [3 3],[21.93877551 21.06122449] ; [3.06122449 2.93877551],0
s7,1,1.0,0.0,[14 28] ; [2 4],[14. 28.] ; [2. 4.],0
