Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,6e-06,20.5201,[ 3 44] ; [18 18],[11.89156627 35.10843373] ; [ 9.10843373 26.89156627],1
s3,1,0.001022,10.787468,[14 33] ; [26 14],[21.6091954 25.3908046] ; [18.3908046 21.6091954],0
s6,1,0.00327,8.650481,[22 25] ; [29  8],[28.53571429 18.46428571] ; [22.46428571 14.53571429],0
s4,1,0.005258,7.78866,[ 5 43] ; [14 26],[10.36363636 37.63636364] ; [ 8.63636364 31.36363636],0
s8,1,0.007971,7.04,[12 36] ; [21 19],[18. 30.] ; [15. 25.],0
d4,1,0.047312,3.934264,[29 19] ; [32  8],[33.27272727 14.72727273] ; [27.72727273 12.27272727],0
s7,1,0.060331,3.528253,[14 31] ; [20 19],[18.21428571 26.78571429] ; [15.78571429 23.21428571],0
d2,1,0.09233,2.833266,[16 32] ; [ 7 33],[12.54545455 35.45454545] ; [10.45454545 29.54545455],0
a5,1,0.118611,2.435565,[22 26] ; [25 15],[25.63636364 22.36363636] ; [21.36363636 18.63636364],0
a1,1,0.150283,2.069371,[ 2 46] ; [ 5 35],[ 3.81818182 44.18181818] ; [ 3.18181818 36.81818182],0
a8,1,0.154673,2.02555,[ 2 43] ; [ 5 33],[ 3.79518072 41.20481928] ; [ 3.20481928 34.79518072],0
u3,1,0.165481,1.92341,[ 9 17] ; [12 10],[11.375 14.625] ; [ 9.625 12.375],0
p10,1,0.192347,1.699549,[35 11] ; [34  5],[37.34117647  8.65882353] ; [31.65882353  7.34117647],0
p11,1,0.21417,1.543014,[42  6] ; [31  9],[39.81818182  8.18181818] ; [33.18181818  6.81818182],0
d3,1,0.23985,1.381476,[24 24] ; [25 15],[26.72727273 21.27272727] ; [22.27272727 17.72727273],0
a4,1,0.285445,1.14098,[13 35] ; [ 7 33],[10.90909091 37.09090909] ; [ 9.09090909 30.90909091],0
v2,1,0.29255,1.107848,[18 30] ; [19 20],[20.4137931 27.5862069] ; [16.5862069 22.4137931],0
n2,1,0.346912,0.884722,[10  6] ; [8 2],[11.07692308  4.92307692] ; [6.92307692 3.07692308],0
b2,1,0.359358,0.840136,[ 9 19] ; [ 5 19],[ 7.53846154 20.46153846] ; [ 6.46153846 17.53846154],0
b3,1,0.359358,0.840136,[ 9 19] ; [ 5 19],[ 7.53846154 20.46153846] ; [ 6.46153846 17.53846154],0
p4,1,0.376462,0.782222,[28 20] ; [27 13],[30. 18.] ; [25. 15.],0
v4,1,0.385414,0.753363,[43  5] ; [36  2],[44.09302326  3.90697674] ; [34.90697674  3.09302326],0
