Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,36.759971,[160   9] ; [4 6],[154.83798883  14.16201117] ; [9.16201117 0.83798883],1
r4,1,0.0,31.322402,[155  16] ; [3 7],[149.27071823  21.72928177] ; [8.72928177 1.27071823],1
s2,1,0.012424,6.249298,[91 78] ; [1 8],[87.34831461 81.65168539] ; [4.65168539 4.34831461],0
r1,1,0.025228,5.008183,[136  34] ; [5 5],[133.16666667  36.83333333] ; [7.83333333 2.16666667],0
u3,1,0.058488,3.579741,[33 19] ; [1 4],[31.01754386 20.98245614] ; [2.98245614 2.01754386],0
r3,1,0.080407,3.056647,[161  10] ; [8 2],[159.66298343  11.33701657] ; [9.33701657 0.66298343],0
p8,1,0.087179,2.925707,[87 82] ; [2 7],[84.5 84.5] ; [4.5 4.5],0
u2,1,0.088181,2.907274,[31 21] ; [1 4],[29.19298246 22.80701754] ; [2.80701754 2.19298246],0
n6,1,0.091021,2.856216,[139  31] ; [6 4],[136.94444444  33.05555556] ; [8.05555556 1.94444444],0
a6,1,0.093573,2.811812,[113  58] ; [4 6],[110.5359116  60.4640884] ; [6.4640884 3.5359116],0
n2,1,0.097813,2.740842,[33 10] ; [1 2],[31.7826087 11.2173913] ; [2.2173913 0.7826087],0
p5,1,0.098726,2.725998,[ 12 158] ; [2 7],[ 13.29608939 156.70391061] ; [0.70391061 8.29608939],0
p10,1,0.105069,2.626861,[133  36] ; [5 4],[131.02247191  37.97752809] ; [6.97752809 2.02247191],0
v1,1,0.109359,2.563462,[94 74] ; [3 7],[91.5505618 76.4494382] ; [5.4494382 4.5505618],0
s5,1,0.150501,2.067165,[ 52 113] ; [1 9],[ 49.97142857 115.02857143] ; [3.02857143 6.97142857],0
d2,1,0.16937,1.888514,[81 89] ; [7 3],[83.11111111 86.88888889] ; [4.88888889 5.11111111],0
s6,1,0.178447,1.810509,[118  50] ; [5 5],[116.08988764  51.91011236] ; [6.91011236 3.08988764],0
p11,1,0.214349,1.541805,[132  39] ; [6 4],[130.37569061  40.62430939] ; [7.62430939 2.37569061],0
a3,1,0.22707,1.459122,[117  54] ; [5 5],[115.25966851  55.74033149] ; [6.74033149 3.25966851],0
b5,1,0.2379,1.392994,[105  66] ; [8 2],[106.75690608  64.24309392] ; [6.24309392 3.75690608],0
v2,1,0.263032,1.25273,[86 80] ; [7 3],[87.71590909 78.28409091] ; [5.28409091 4.71590909],0
p7,1,0.293343,1.104216,[112  57] ; [5 5],[110.46368715  58.53631285] ; [6.53631285 3.46368715],0
p12,1,0.30078,1.070733,[  6 165] ; [1 9],[  6.61325967 164.38674033] ; [0.38674033 9.61325967],0
p9,1,0.309911,1.031056,[137  33] ; [6 3],[135.81005587  34.18994413] ; [7.18994413 1.81005587],0
s8,1,0.344205,0.894706,[77 93] ; [3 7],[75.55555556 94.44444444] ; [4.44444444 5.55555556],0
a7,1,0.367871,0.810844,[125  46] ; [6 4],[123.76243094  47.23756906] ; [7.23756906 2.76243094],0
d5,1,0.379731,0.771572,[139  32] ; [7 3],[137.93370166  33.06629834] ; [8.06629834 1.93370166],0
a4,1,0.384488,0.756303,[78 92] ; [6 4],[79.33333333 90.66666667] ; [4.66666667 5.33333333],0
b4,1,0.409209,0.681099,[97 74] ; [7 3],[98.25414365 72.74585635] ; [5.74585635 4.25414365],0
s1,1,0.466367,0.530571,[  8 159] ; [1 9],[  8.49152542 158.50847458] ; [0.50847458 9.49152542],0
p2,1,0.495878,0.463747,[147  24] ; [7 2],[146.3  24.7] ; [7.7 1.3],0
s3,1,0.544992,0.366365,[92 76] ; [4 5],[91.11864407 76.88135593] ; [4.88135593 4.11864407],0
d1,1,0.571683,0.319874,[101  70] ; [5 5],[100.14364641  70.85635359] ; [5.85635359 4.14364641],0
p6,1,0.680258,0.169835,[ 68 101] ; [3 6],[ 67.41011236 101.58988764] ; [3.58988764 5.41011236],0
u1,1,0.685573,0.16392,[ 25 146] ; [1 9],[ 24.56353591 146.43646409] ; [1.43646409 8.56353591],0
n5,1,0.714386,0.133936,[128  43] ; [8 2],[128.48618785  42.51381215] ; [7.51381215 2.48618785],0
d3,1,0.731848,0.117421,[128  43] ; [7 3],[127.54143646  43.45856354] ; [7.45856354 2.54143646],0
n4,1,0.773274,0.082998,[126  44] ; [7 3],[125.61111111  44.38888889] ; [7.38888889 2.61111111],0
v3,1,0.777914,0.079546,[ 56 107] ; [3 7],[ 55.58959538 107.41040462] ; [3.41040462 6.58959538],0
b1,1,0.78158,0.076873,[ 61 110] ; [4 6],[ 61.40883978 109.59116022] ; [3.59116022 6.40883978],0
a5,1,0.797543,0.065807,[126  45] ; [7 3],[125.6519337  45.3480663] ; [7.3480663 2.6519337],0
n1,1,0.831488,0.045281,[17 26] ; [1 2],[16.82608696 26.17391304] ; [1.17391304 1.82608696],0
a2,1,0.836695,0.042487,[ 39 132] ; [2 8],[ 38.73480663 132.26519337] ; [2.26519337 7.73480663],0
n3,1,0.840061,0.040729,[31 12] ; [2 1],[30.84782609 12.15217391] ; [2.15217391 0.84782609],0
d4,1,0.919357,0.01025,[139  32] ; [8 2],[138.87845304  32.12154696] ; [8.12154696 1.87845304],0
a8,1,0.937964,0.006057,[ 21 135] ; [1 7],[ 20.92682927 135.07317073] ; [1.07317073 6.92682927],0
