Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,35.224551,[82 11] ; [119 106],[58.78301887 34.21698113] ; [142.21698113  82.78301887],1
s7,1,1.6e-05,18.617134,[59 32] ; [ 82 134],[41.79478827 49.20521173] ; [ 99.20521173 116.79478827],1
p5,1,0.000203,13.804092,[16 80] ; [ 10 218],[ 7.7037037 88.2962963] ; [ 18.2962963 209.7037037],1
n6,1,0.000709,11.466789,[87  8] ; [171  57],[75.88235294 19.11764706] ; [182.11764706  45.88235294],1
p3,1,0.002629,9.048276,[52 44] ; [ 82 145],[39.82662539 56.17337461] ; [ 94.17337461 132.82662539],0
s4,1,0.004252,8.172961,[25 69] ; [ 30 195],[16.20689655 77.79310345] ; [ 38.79310345 186.20689655],0
p9,1,0.005561,7.687193,[79 14] ; [159  68],[69.16875 23.83125] ; [168.83125  58.16875],0
p4,1,0.00562,7.668184,[60 35] ; [104 121],[48.6875 46.3125] ; [115.3125 109.6875],0
p10,1,0.011852,6.332815,[79 16] ; [158  69],[69.92236025 25.07763975] ; [167.07763975  59.92236025],0
s2,1,0.022846,5.180149,[53 43] ; [ 94 133],[43.69040248 52.30959752] ; [103.30959752 123.69040248],0
p7,1,0.026194,4.943154,[63 30] ; [122 103],[54.10377358 38.89622642] ; [130.89622642  94.10377358],0
p12,1,0.029463,4.740356,[ 9 86] ; [  8 219],[ 5.01552795 89.98447205] ; [ 11.98447205 215.01552795],0
p6,1,0.030156,4.700394,[34 62] ; [ 54 174],[26.07407407 69.92592593] ; [ 61.92592593 166.07407407],0
p2,1,0.044721,4.029145,[81 15] ; [169  59],[74.07407407 21.92592593] ; [175.92592593  52.07407407],0
s8,1,0.06434,3.421833,[42 53] ; [ 76 152],[34.70588235 60.29411765] ; [ 83.29411765 144.70588235],0
r2,1,0.077015,3.126802,[93  2] ; [210  16],[89.6728972  5.3271028] ; [213.3271028  12.6728972],0
b5,1,0.089593,2.881676,[44 52] ; [128 100],[50.96296296 45.03703704] ; [121.03703704 106.96296296],0
a4,1,0.093888,2.806406,[48 48] ; [ 91 137],[41.18518519 54.81481481] ; [ 97.81481481 130.18518519],0
a5,1,0.10035,2.699967,[74 22] ; [155  73],[67.85185185 28.14814815] ; [161.14814815  66.85185185],0
n5,1,0.107763,2.586725,[70 25] ; [145  80],[63.828125 31.171875] ; [151.171875  73.828125],0
n3,1,0.11273,2.515528,[17  4] ; [43 26],[14.  7.] ; [46. 23.],0
p1,1,0.116612,2.462241,[ 9 86] ; [ 11 216],[ 5.90062112 89.09937888] ; [ 14.09937888 212.90062112],0
s3,1,0.127964,2.317032,[59 36] ; [120 107],[52.81055901 42.18944099] ; [126.18944099 100.81055901],0
d2,1,0.131902,2.269976,[51 44] ; [101 126],[44.8447205 50.1552795] ; [107.1552795 119.8447205],0
b2,1,0.203993,1.613555,[20 37] ; [31 89],[16.42372881 40.57627119] ; [34.57627119 85.42372881],0
b3,1,0.203993,1.613555,[20 37] ; [31 89],[16.42372881 40.57627119] ; [34.57627119 85.42372881],0
v3,1,0.212089,1.55711,[33 62] ; [ 61 159],[28.34920635 66.65079365] ; [ 65.65079365 154.34920635],0
p8,1,0.2227,1.486891,[48 46] ; [ 99 128],[43.04672897 50.95327103] ; [103.95327103 123.04672897],0
u1,1,0.230019,1.440743,[20 76] ; [ 35 193],[16.2962963 79.7037037] ; [ 38.7037037 189.2962963],0
v2,1,0.251547,1.314694,[48 48] ; [ 92 122],[43.35483871 52.64516129] ; [ 96.64516129 117.35483871],0
n1,1,0.311981,1.022269,[ 9 12] ; [22 49],[ 7.07608696 13.92391304] ; [23.92391304 47.07608696],0
u2,1,0.336289,0.924528,[13 15] ; [40 30],[15.14285714 12.85714286] ; [37.85714286 32.14285714],0
a7,1,0.370846,0.800826,[68 27] ; [174  54],[71.17647059 23.82352941] ; [170.82352941  57.17647059],0
d3,1,0.387935,0.745405,[63 33] ; [160  67],[66.27863777 29.72136223] ; [156.72136223  70.27863777],0
d4,1,0.434267,0.611384,[76 19] ; [189  37],[78.42679128 16.57320872] ; [186.57320872  39.42679128],0
a2,1,0.435156,0.609023,[24 72] ; [ 48 180],[21.33333333 74.66666667] ; [ 50.66666667 177.33333333],0
b1,1,0.459087,0.54812,[37 59] ; [ 98 130],[40. 56.] ; [ 95. 133.],0
d5,1,0.471655,0.518096,[74 22] ; [183  44],[76.38390093 19.61609907] ; [180.61609907  46.38390093],0
n4,1,0.480663,0.497359,[73 23] ; [164  63],[70.43962848 25.56037152] ; [166.56037152  60.43962848],0
r3,1,0.503486,0.44758,[88  5] ; [211  17],[86.62616822  6.37383178] ; [212.37383178  15.62616822],0
p11,1,0.518213,0.417449,[72 24] ; [163  65],[69.62962963 26.37037037] ; [165.37037037  62.62962963],0
