Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001449,10.142045,[2 2] ; [ 3 55],[0.32258065 3.67741935] ; [ 4.67741935 53.32258065],0
s5,1,0.037476,4.328657,[3 1] ; [14 40],[1.17241379 2.82758621] ; [15.82758621 38.17241379],0
s7,1,0.107907,2.584615,[3 1] ; [18 34],[1.5 2.5] ; [19.5 32.5],0
s8,1,0.123408,2.373525,[3 1] ; [21 37],[1.5483871 2.4516129] ; [22.4516129 35.5483871],0
v2,1,0.300027,1.074074,[3 1] ; [26 28],[2. 2.] ; [27. 27.],0
d1,1,0.33319,0.936458,[3 1] ; [29 29],[2.06451613 1.93548387] ; [29.93548387 28.06451613],0
v3,1,0.360356,0.836654,[2 2] ; [15 38],[1.19298246 2.80701754] ; [15.80701754 37.19298246],0
b4,1,0.366855,0.81429,[3 1] ; [30 28],[2.12903226 1.87096774] ; [30.87096774 27.12903226],0
s2,1,0.402183,0.701789,[1 3] ; [27 31],[1.80645161 2.19354839] ; [26.19354839 31.80645161],0
b3,1,0.43088,0.62045,[2 2] ; [11 25],[1.3 2.7] ; [11.7 24.3],0
b2,1,0.43088,0.62045,[2 2] ; [11 25],[1.3 2.7] ; [11.7 24.3],0
a3,1,0.432565,0.615928,[2 2] ; [40 18],[2.70967742 1.29032258] ; [39.29032258 18.70967742],0
n5,1,0.448064,0.575546,[2 2] ; [18 39],[1.31147541 2.68852459] ; [18.68852459 38.31147541],0
a6,1,0.480991,0.496616,[2 2] ; [39 19],[2.64516129 1.35483871] ; [38.35483871 19.64516129],0
b5,1,0.518345,0.417185,[3 1] ; [34 24],[2.38709677 1.61290323] ; [34.61290323 23.38709677],0
a4,1,0.560557,0.33874,[1 3] ; [23 35],[1.5483871 2.4516129] ; [22.4516129 35.5483871],0
b1,1,0.580716,0.305078,[2 2] ; [37 21],[2.51612903 1.48387097] ; [36.48387097 21.51612903],0
p11,1,0.631721,0.229734,[2 2] ; [36 22],[2.4516129 1.5483871] ; [35.5483871 22.4516129],0
a7,1,0.650484,0.20529,[3 1] ; [37 21],[2.58064516 1.41935484] ; [37.41935484 20.58064516],0
p10,1,0.650484,0.20529,[3 1] ; [37 21],[2.58064516 1.41935484] ; [37.41935484 20.58064516],0
p6,1,0.664266,0.188383,[1 3] ; [20 36],[1.4 2.6] ; [19.6 36.4],0
s3,1,0.735406,0.114206,[2 2] ; [34 24],[2.32258065 1.67741935] ; [33.67741935 24.32258065],0
a2,1,0.76764,0.087299,[1 3] ; [11 47],[0.77419355 3.22580645] ; [11.22580645 46.77419355],0
n4,1,0.840656,0.040423,[2 2] ; [32 26],[2.19354839 1.80645161] ; [31.80645161 26.19354839],0
d2,1,0.840656,0.040423,[2 2] ; [26 32],[1.80645161 2.19354839] ; [26.19354839 31.80645161],0
r1,1,0.919692,0.010165,[3 1] ; [44 13],[3.08196721 0.91803279] ; [43.91803279 13.08196721],0
p8,1,0.94679,0.004454,[2 2] ; [30 28],[2.06451613 1.93548387] ; [29.93548387 28.06451613],0
s4,1,0.968939,0.001516,[1 3] ; [14 44],[0.96774194 3.03225806] ; [14.03225806 43.96774194],0
d5,1,0.9696,0.001452,[3 1] ; [43 15],[2.96774194 1.03225806] ; [43.03225806 14.96774194],0
a5,1,0.9696,0.001452,[3 1] ; [43 15],[2.96774194 1.03225806] ; [43.03225806 14.96774194],0
v1,1,0.972939,0.001151,[2 2] ; [28 29],[1.96721311 2.03278689] ; [28.03278689 28.96721311],0
