Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,104.871765,[ 47 207] ; [226 153],[109.5450237 144.4549763] ; [163.4549763 215.5450237],1
v1,1,0.0,36.057114,[110 143] ; [256 123],[146.51582278 106.48417722] ; [219.48417722 159.51582278],1
r1,1,0.001109,10.635406,[206  53] ; [343  43],[220.45116279  38.54883721] ; [328.54883721  57.45116279],0
a5,1,0.001457,10.131602,[183  76] ; [315  72],[199.6625387  59.3374613] ; [298.3374613  88.6625387],0
p3,1,0.008727,6.87785,[126 132] ; [229 157],[142.22049689 115.77950311] ; [212.77950311 173.22049689],0
s4,1,0.011211,6.43153,[ 57 198] ; [ 56 329],[ 45.0234375 209.9765625] ; [ 67.9765625 317.0234375],0
a3,1,0.01125,6.42545,[176  82] ; [298  88],[189.89440994  68.10559006] ; [284.10559006 101.89440994],0
u1,1,0.020696,5.352182,[ 38 221] ; [ 85 302],[ 49.31424149 209.68575851] ; [ 73.68575851 313.31424149],0
d5,1,0.036605,4.368706,[205  52] ; [332  54],[214.63297045  42.36702955] ; [322.36702955  63.63297045],0
d1,1,0.037172,4.342535,[149 110] ; [254 133],[161.57430341  97.42569659] ; [241.42569659 145.57430341],0
d4,1,0.047195,3.938415,[209  49] ; [335  51],[217.9378882  40.0621118] ; [326.0621118  59.9378882],0
p7,1,0.048405,3.895867,[163  90] ; [273 107],[174.26224329  78.73775671] ; [261.73775671 118.26224329],0
a7,1,0.061247,3.503304,[183  75] ; [299  87],[193.09937888  64.90062112] ; [288.90062112  97.09937888],0
p12,1,0.063713,3.438001,[ 18 240] ; [ 44 343],[ 24.8 233.2] ; [ 37.2 349.8],0
b1,1,0.064611,3.414886,[102 157] ; [125 262],[ 91.01083591 167.98916409] ; [135.98916409 251.01083591],0
d3,1,0.078958,3.086226,[174  84] ; [285 101],[183.88509317  74.11490683] ; [275.11490683 110.88509317],0
d2,1,0.094416,2.797429,[116 142] ; [199 186],[126.39191291 131.60808709] ; [188.60808709 196.39191291],0
a1,1,0.096222,2.767073,[  8 251] ; [ 23 364],[ 12.42879257 246.57120743] ; [ 18.57120743 368.42879257],0
n5,1,0.102903,2.659964,[196  62] ; [313  72],[204.23328149  53.76671851] ; [304.76671851  80.23328149],0
s1,1,0.110672,2.544594,[ 11 246] ; [  8 374],[  7.64162754 249.35837246] ; [ 11.35837246 370.64162754],0
a6,1,0.141533,2.161207,[173  86] ; [278 107],[181.38043478  77.61956522] ; [269.61956522 115.38043478],0
s7,1,0.142599,2.149691,[122 125] ; [205 165],[130.90599676 116.09400324] ; [196.09400324 173.90599676],0
n4,1,0.161826,1.957079,[202  57] ; [319  68],[208.88390093  50.11609907] ; [312.11609907  74.88390093],0
s8,1,0.172599,1.860228,[118 141] ; [196 188],[126.47900467 132.52099533] ; [187.52099533 196.47900467],0
u4,1,0.191334,1.707317,[  2 257] ; [  8 379],[  4.00928793 254.99071207] ; [  5.99071207 381.00928793],0
a2,1,0.193581,1.690151,[ 56 203] ; [101 286],[ 62.94582043 196.05417957] ; [ 94.05417957 292.94582043],0
n6,1,0.274442,1.19441,[227  32] ; [347  37],[231.20684292  27.79315708] ; [342.79315708  41.20684292],0
b4,1,0.318141,0.996573,[143 116] ; [229 158],[149.14551084 109.85448916] ; [222.85448916 164.14551084],0
p4,1,0.334578,0.931098,[162  96] ; [256 129],[167.72006221  90.27993779] ; [250.27993779 134.72006221],0
b5,1,0.3387,0.915345,[161  98] ; [226 161],[155.15944272 103.84055728] ; [231.84055728 155.15944272],0
a8,1,0.422691,0.642822,[ 31 209] ; [ 53 294],[ 34.34412266 205.65587734] ; [ 49.65587734 297.34412266],0
p9,1,0.426357,0.632725,[244  15] ; [369  17],[246.1503876  12.8496124] ; [366.8496124  19.1503876],0
p5,1,0.464376,0.535327,[ 30 226] ; [ 53 334],[ 33.04510109 222.95489891] ; [ 49.95489891 337.04510109],0
r3,1,0.515331,0.423228,[253   5] ; [382   5],[254.   4.] ; [381.   6.],0
p8,1,0.561184,0.337659,[146 112] ; [225 157],[149.559375 108.440625] ; [221.440625 160.559375],0
