Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000719,11.438394,[13 37] ; [15  7],[19.44444444 30.55555556] ; [ 8.55555556 13.44444444],1
p5,1,0.015956,5.807728,[ 1 51] ; [ 4 20],[ 3.42105263 48.57894737] ; [ 1.57894737 22.42105263],0
p10,1,0.01867,5.532166,[27 23] ; [19  4],[31.50684932 18.49315068] ; [14.49315068  8.50684932],0
s5,1,0.019307,5.47351,[ 8 43] ; [ 9 13],[11.87671233 39.12328767] ; [ 5.12328767 16.87671233],0
s3,1,0.027236,4.875819,[20 33] ; [15  8],[24.40789474 28.59210526] ; [10.59210526 12.40789474],0
s6,1,0.044598,4.033785,[26 27] ; [17  6],[29.98684211 23.01315789] ; [13.01315789  9.98684211],0
u1,1,0.050586,3.821921,[ 2 51] ; [ 4 20],[ 4.12987013 48.87012987] ; [ 1.87012987 22.12987013],0
n5,1,0.050664,3.819351,[20 32] ; [15  9],[23.94736842 28.05263158] ; [11.05263158 12.94736842],0
s2,1,0.064798,3.410115,[19 34] ; [14 10],[22.71428571 30.28571429] ; [10.28571429 13.71428571],0
r4,1,0.095394,2.780911,[37 16] ; [21  3],[39.92207792 13.07792208] ; [18.07792208  5.92207792],0
a8,1,0.112477,2.519072,[ 2 47] ; [ 3 17],[ 3.55072464 45.44927536] ; [ 1.44927536 18.55072464],0
a2,1,0.121295,2.400513,[ 9 44] ; [ 1 23],[ 6.88311688 46.11688312] ; [ 3.11688312 20.88311688],0
r2,1,0.149183,2.080585,[44  9] ; [21  1],[45.93333333  7.06666667] ; [19.06666667  2.93333333],0
a4,1,0.187629,1.736134,[19 34] ; [ 5 19],[16.51948052 36.48051948] ; [ 7.48051948 16.51948052],0
v3,1,0.191975,1.702398,[18 32] ; [12 11],[20.54794521 29.45205479] ; [ 9.45205479 13.54794521],0
b1,1,0.212356,1.555289,[25 28] ; [15  9],[27.53246753 25.46753247] ; [12.46753247 11.53246753],0
p2,1,0.267375,1.230167,[34 17] ; [19  5],[36.04 14.96] ; [16.96  7.04],0
n2,1,0.269007,1.221805,[12  6] ; [7 1],[13.15384615  4.84615385] ; [5.84615385 2.15384615],0
