Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6.7e-05,15.884838,[6 5] ; [78  5],[9.82978723 1.17021277] ; [74.17021277  8.82978723],1
p9,1,0.000509,12.083184,[9 4] ; [79  3],[12.04210526  0.95789474] ; [75.95789474  6.04210526],1
p3,1,0.000701,11.485525,[5 7] ; [70 13],[9.47368421 2.52631579] ; [65.52631579 17.47368421],1
p7,1,0.003987,8.28963,[6 6] ; [69 12],[9.67741935 2.32258065] ; [65.32258065 15.67741935],0
r3,1,0.005145,7.827761,[9 4] ; [76  5],[11.75531915  1.24468085] ; [73.24468085  7.75531915],0
p10,1,0.005884,7.585637,[8 4] ; [77  6],[10.73684211  1.26315789] ; [74.26315789  8.73684211],0
b5,1,0.030066,4.70551,[10  3] ; [37 46],[6.36458333 6.63541667] ; [40.63541667 42.36458333],0
a3,1,0.032044,4.59612,[7 6] ; [67 16],[10.02083333  2.97916667] ; [63.97916667 19.02083333],0
p6,1,0.037113,4.345221,[5 8] ; [56 26],[8.34736842 4.65263158] ; [52.65263158 29.34736842],0
s1,1,0.038593,4.278709,[ 3 10] ; [ 5 78],[ 1.08333333 11.91666667] ; [ 6.91666667 76.08333333],0
v2,1,0.039513,4.238696,[4 9] ; [49 31],[7.40860215 5.59139785] ; [45.59139785 34.40860215],0
p8,1,0.053298,3.734541,[8 5] ; [69 13],[10.53684211  2.46315789] ; [66.46315789 15.53684211],0
r4,1,0.108041,2.58265,[10  3] ; [76  7],[11.64583333  1.35416667] ; [74.35416667  8.64583333],0
s2,1,0.113986,2.498069,[5 8] ; [50 31],[7.60638298 5.39361702] ; [47.39361702 33.60638298],0
a6,1,0.121126,2.402706,[10  2] ; [50 33],[7.57894737 4.42105263] ; [52.42105263 30.57894737],0
d4,1,0.135515,2.228158,[8 4] ; [70 13],[9.85263158 2.14736842] ; [68.14736842 14.85263158],0
p1,1,0.160894,1.965801,[ 2 11] ; [29 54],[4.19791667 8.80208333] ; [26.80208333 56.19791667],0
b4,1,0.190589,1.71306,[10  3] ; [48 35],[7.85416667 5.14583333] ; [50.14583333 32.85416667],0
s7,1,0.260573,1.26571,[7 5] ; [57 20],[8.62921348 3.37078652] ; [55.37078652 21.62921348],0
d5,1,0.264257,1.246319,[8 4] ; [67 16],[9.47368421 2.52631579] ; [65.52631579 17.47368421],0
r2,1,0.330482,0.947009,[11  2] ; [76  6],[11.90526316  1.09473684] ; [75.09473684  6.90526316],0
v3,1,0.336446,0.923926,[9 4] ; [44 36],[7.40860215 5.59139785] ; [45.59139785 34.40860215],0
s5,1,0.337081,0.921501,[7 6] ; [50 24],[8.51724138 4.48275862] ; [48.48275862 25.51724138],0
a5,1,0.389204,0.741427,[11  2] ; [61 22],[9.75 3.25] ; [62.25 20.75],0
n6,1,0.397795,0.714981,[10  1] ; [80  3],[10.53191489  0.46808511] ; [79.46808511  3.53191489],0
p11,1,0.426131,0.633344,[10  3] ; [71 12],[10.96875  2.03125] ; [70.03125 12.96875],0
d1,1,0.434739,0.61013,[7 6] ; [54 29],[8.26041667 4.73958333] ; [52.73958333 30.26041667],0
v1,1,0.436129,0.606448,[8 5] ; [57 22],[9.18478261 3.81521739] ; [55.81521739 23.18478261],0
s8,1,0.438533,0.600118,[6 6] ; [50 31],[7.22580645 4.77419355] ; [48.77419355 32.22580645],0
d3,1,0.475125,0.510032,[7 5] ; [57 26],[8.08421053 3.91578947] ; [55.91578947 27.08421053],0
n4,1,0.493878,0.468066,[12  1] ; [80  3],[12.45833333  0.54166667] ; [79.54166667  3.45833333],0
a1,1,0.507405,0.439414,[ 1 12] ; [12 71],[ 1.76041667 11.23958333] ; [11.23958333 71.76041667],0
v4,1,0.508372,0.437417,[12  1] ; [78  3],[12.44680851  0.55319149] ; [77.55319149  3.44680851],0
r1,1,0.517925,0.418024,[10  3] ; [69 13],[10.81052632  2.18947368] ; [68.18947368 13.81052632],0
b1,1,0.532899,0.38886,[7 6] ; [37 46],[5.95833333 7.04166667] ; [38.04166667 44.95833333],0
a4,1,0.566171,0.329131,[5 8] ; [39 44],[5.95833333 7.04166667] ; [38.04166667 44.95833333],0
b2,1,0.590124,0.290151,[4 6] ; [30 31],[4.78873239 5.21126761] ; [29.21126761 31.78873239],0
b3,1,0.590124,0.290151,[4 6] ; [30 31],[4.78873239 5.21126761] ; [29.21126761 31.78873239],0
u3,1,0.59536,0.282051,[3 3] ; [10  6],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
u1,1,0.602889,0.27066,[ 2 11] ; [18 65],[ 2.70833333 10.29166667] ; [17.29166667 65.70833333],0
a2,1,0.602889,0.27066,[ 2 11] ; [18 65],[ 2.70833333 10.29166667] ; [17.29166667 65.70833333],0
s3,1,0.631476,0.230065,[7 5] ; [53 28],[7.74193548 4.25806452] ; [52.25806452 28.74193548],0
a8,1,0.761174,0.092379,[2 9] ; [11 64],[1.6627907 9.3372093] ; [11.3372093 63.6627907],0
p12,1,0.775302,0.081479,[ 3 10] ; [22 60],[3.42105263 9.57894737] ; [21.57894737 60.42105263],0
u2,1,0.793166,0.06875,[3 3] ; [9 7],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
d2,1,0.849441,0.036036,[7 5] ; [46 37],[6.69473684 5.30526316] ; [46.30526316 36.69473684],0
n1,1,0.8908,0.018849,[2 1] ; [10  6],[1.89473684 1.10526316] ; [10.10526316  5.89473684],0
s6,1,0.946303,0.004536,[11  2] ; [64 11],[11.07954545  1.92045455] ; [63.92045455 11.07954545],0
a7,1,0.967918,0.001618,[9 4] ; [57 26],[8.9375 4.0625] ; [57.0625 25.9375],0
n3,1,1.0,0.0,[2 2] ; [8 8],[2. 2.] ; [8. 8.],0
n2,1,1.0,0.0,[3 1] ; [12  4],[3. 1.] ; [12.  4.],0
