Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7.4e-05,15.70804,[10  3] ; [ 9 38],[4.11666667 8.88333333] ; [14.88333333 32.11666667],1
s7,1,0.000331,12.887609,[9 4] ; [ 8 37],[3.81034483 9.18965517] ; [13.18965517 31.81034483],1
p11,1,0.001943,9.602525,[11  2] ; [17 30],[6.06666667 6.93333333] ; [21.93333333 25.06666667],0
p10,1,0.002913,8.861229,[11  2] ; [17 28],[6.27586207 6.72413793] ; [21.72413793 23.27586207],0
s6,1,0.005908,7.57829,[9 4] ; [13 34],[4.76666667 8.23333333] ; [17.23333333 29.76666667],0
s3,1,0.006886,7.302383,[10  3] ; [16 30],[5.72881356 7.27118644] ; [20.27118644 25.72881356],0
r4,1,0.012286,6.269156,[7 6] ; [ 9 38],[3.46666667 9.53333333] ; [12.53333333 34.46666667],0
p4,1,0.017111,5.684967,[8 5] ; [12 34],[4.40677966 8.59322034] ; [15.59322034 30.40677966],0
v4,1,0.027123,4.882977,[11  1] ; [27 20],[7.72881356 4.27118644] ; [30.27118644 16.72881356],0
r3,1,0.029876,4.71639,[11  2] ; [24 23],[7.58333333 5.41666667] ; [27.41666667 19.58333333],0
p6,1,0.039537,4.237623,[6 7] ; [ 8 36],[3.19298246 9.80701754] ; [10.80701754 33.19298246],0
u3,1,0.050483,3.825353,[5 1] ; [ 8 13],[2.88888889 3.11111111] ; [10.11111111 10.88888889],0
p2,1,0.054054,3.711019,[10  3] ; [21 24],[6.94827586 6.05172414] ; [24.05172414 20.94827586],0
b3,1,0.069498,3.294828,[1 9] ; [12 17],[3.33333333 6.66666667] ; [ 9.66666667 19.33333333],0
b2,1,0.069498,3.294828,[1 9] ; [12 17],[3.33333333 6.66666667] ; [ 9.66666667 19.33333333],0
d1,1,0.076282,3.14239,[7 6] ; [13 34],[4.33333333 8.66666667] ; [15.66666667 31.33333333],0
s5,1,0.097505,2.745894,[4 8] ; [ 6 40],[2.06896552 9.93103448] ; [ 7.93103448 38.06896552],0
d5,1,0.124514,2.359598,[10  3] ; [25 22],[7.58333333 5.41666667] ; [27.41666667 19.58333333],0
p8,1,0.125748,2.344222,[5 8] ; [ 8 36],[ 2.96491228 10.03508772] ; [10.03508772 33.96491228],0
d4,1,0.159352,1.98036,[10  3] ; [26 21],[7.8 5.2] ; [28.2 18.8],0
b5,1,0.194238,1.685177,[9 4] ; [23 24],[6.93333333 6.06666667] ; [25.06666667 21.93333333],0
r2,1,0.235372,1.408103,[9 2] ; [29 17],[7.33333333 3.66666667] ; [30.66666667 15.33333333],0
a8,1,0.2536,1.303362,[ 2 10] ; [ 3 44],[ 1.01694915 10.98305085] ; [ 3.98305085 43.01694915],0
p7,1,0.290805,1.11589,[7 5] ; [19 27],[5.37931034 6.62068966] ; [20.62068966 25.37931034],0
a6,1,0.301654,1.066866,[9 4] ; [25 22],[7.36666667 5.63333333] ; [26.63333333 20.36666667],0
u1,1,0.322542,0.978611,[ 1 12] ; [ 1 46],[ 0.43333333 12.56666667] ; [ 1.56666667 45.43333333],0
v2,1,0.371352,0.799134,[5 7] ; [13 33],[3.72413793 8.27586207] ; [14.27586207 31.72413793],0
d3,1,0.421251,0.646824,[7 6] ; [19 27],[5.72881356 7.27118644] ; [20.27118644 25.72881356],0
b1,1,0.422543,0.643231,[7 6] ; [31 16],[8.23333333 4.76666667] ; [29.76666667 17.23333333],0
n2,1,0.444651,0.584251,[4 1] ; [13  8],[3.26923077 1.73076923] ; [13.73076923  7.26923077],0
s4,1,0.473862,0.512956,[4 9] ; [10 37],[3.03333333 9.96666667] ; [10.96666667 36.03333333],0
p9,1,0.49164,0.472935,[9 4] ; [27 19],[7.93220339 5.06779661] ; [28.06779661 17.93220339],0
a1,1,0.499026,0.457006,[ 1 12] ; [ 7 40],[ 1.73333333 11.26666667] ; [ 6.26666667 40.73333333],0
p1,1,0.499026,0.457006,[ 1 12] ; [ 7 40],[ 1.73333333 11.26666667] ; [ 6.26666667 40.73333333],0
p3,1,0.525865,0.402375,[4 9] ; [10 35],[3.13793103 9.86206897] ; [10.86206897 34.13793103],0
n1,1,0.537094,0.380952,[2 1] ; [10 11],[1.5 1.5] ; [10.5 10.5],0
v1,1,0.556596,0.345633,[5 7] ; [15 31],[4.13793103 7.86206897] ; [15.86206897 30.13793103],0
b4,1,0.557702,0.343699,[7 6] ; [21 26],[6.06666667 6.93333333] ; [21.93333333 25.06666667],0
a5,1,0.557702,0.343699,[7 6] ; [21 26],[6.06666667 6.93333333] ; [21.93333333 25.06666667],0
n5,1,0.557702,0.343699,[6 7] ; [26 21],[6.93333333 6.06666667] ; [25.06666667 21.93333333],0
d2,1,0.592366,0.286664,[5 8] ; [22 25],[5.85 7.15] ; [21.15 25.85],0
n4,1,0.592366,0.286664,[5 8] ; [22 25],[5.85 7.15] ; [21.15 25.85],0
a2,1,0.637063,0.222604,[ 2 11] ; [ 5 42],[ 1.51666667 11.48333333] ; [ 5.48333333 41.51666667],0
a7,1,0.754001,0.0982,[7 6] ; [23 24],[6.5 6.5] ; [23.5 23.5],0
n3,1,0.778244,0.079303,[3 2] ; [14  7],[3.26923077 1.73076923] ; [13.73076923  7.26923077],0
v3,1,0.901723,0.015249,[ 2 10] ; [ 7 39],[ 1.86206897 10.13793103] ; [ 7.13793103 38.86206897],0
a3,1,0.924725,0.008927,[7 6] ; [26 21],[7.15 5.85] ; [25.85 21.15],0
a4,1,0.937356,0.006177,[4 9] ; [15 32],[4.11666667 8.88333333] ; [14.88333333 32.11666667],0
