Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1.1e-05,19.350885,[190  70] ; [18 27],[177.31147541  82.68852459] ; [30.68852459 14.31147541],1
n6,1,2e-05,18.161024,[231  29] ; [29 16],[221.63934426  38.36065574] ; [38.36065574  6.63934426],1
r2,1,0.000232,13.552316,[237  21] ; [33 12],[229.9009901  28.0990099] ; [40.0990099  4.9009901],1
d1,1,0.000285,13.169259,[146 115] ; [12 33],[134.76470588 126.23529412] ; [23.23529412 21.76470588],1
d2,1,0.00189,9.653596,[133 124] ; [12 33],[123.39403974 133.60596026] ; [21.60596026 23.39403974],0
a4,1,0.004051,8.260752,[123 136] ; [11 34],[114.16447368 144.83552632] ; [19.83552632 25.16447368],0
r1,1,0.005677,7.650113,[197  64] ; [25 20],[189.35294118  71.64705882] ; [32.64705882 12.35294118],0
a2,1,0.006573,7.386207,[ 65 196] ; [ 3 42],[ 58. 203.] ; [10. 35.],0
a3,1,0.008155,6.99918,[179  80] ; [22 23],[171.24671053  87.75328947] ; [29.75328947 15.24671053],0
p3,1,0.013787,6.065252,[114 145] ; [11 34],[106.49671053 152.50328947] ; [18.50328947 26.49671053],0
v3,1,0.013947,6.044891,[ 81 173] ; [ 6 38],[ 74.15436242 179.84563758] ; [12.84563758 31.15436242],0
s5,1,0.025241,5.007274,[ 77 175] ; [ 6 37],[ 70.90169492 181.09830508] ; [12.09830508 30.90169492],0
p10,1,0.025995,4.95637,[195  62] ; [27 18],[188.9205298  68.0794702] ; [33.0794702 11.9205298],0
d5,1,0.026077,4.950876,[202  58] ; [28 17],[196.06557377  63.93442623] ; [33.93442623 11.06557377],0
u1,1,0.027889,4.834914,[ 45 216] ; [ 2 43],[ 40.08823529 220.91176471] ; [ 6.91176471 38.08823529],0
r4,1,0.029397,4.744185,[216  45] ; [31 14],[210.67647059  50.32352941] ; [36.32352941  8.67647059],0
d4,1,0.041605,4.151181,[196  62] ; [27 17],[190.50993377  67.49006623] ; [32.49006623 11.50993377],0
a8,1,0.056758,3.629658,[ 38 201] ; [ 2 40],[ 34.02135231 204.97864769] ; [ 5.97864769 36.02135231],0
p9,1,0.062487,3.470113,[200  54] ; [29 15],[195.18791946  58.81208054] ; [33.81208054 10.18791946],0
s7,1,0.066927,3.35682,[120 127] ; [14 28],[114.52595156 132.47404844] ; [19.47404844 22.52595156],0
s6,1,0.073988,3.192257,[160  94] ; [22 23],[154.60869565  99.39130435] ; [27.39130435 17.60869565],0
p5,1,0.084294,2.9801,[ 27 232] ; [ 1 43],[ 23.9339934 235.0660066] ; [ 4.0660066 39.9339934],0
p4,1,0.094798,2.79095,[138 120] ; [18 27],[132.83168317 125.16831683] ; [23.16831683 21.83168317],0
s4,1,0.095456,2.77987,[ 42 215] ; [12 33],[ 45.95364238 211.04635762] ; [ 8.04635762 36.95364238],0
s3,1,0.150044,2.071801,[144 113] ; [20 25],[139.56291391 117.43708609] ; [24.43708609 20.56291391],0
u4,1,0.157375,1.999274,[  1 260] ; [ 1 44],[  1.70588235 259.29411765] ; [ 0.29411765 44.70588235],0
v2,1,0.158718,1.986395,[100 150] ; [12 30],[ 95.89041096 154.10958904] ; [16.10958904 25.89041096],0
a7,1,0.200297,1.640209,[175  84] ; [26 19],[171.24671053  87.75328947] ; [29.75328947 15.24671053],0
p2,1,0.201522,1.631311,[196  63] ; [30 15],[192.54605263  66.45394737] ; [33.45394737 11.54605263],0
p1,1,0.207484,1.588899,[ 27 232] ; [ 2 43],[ 24.70723684 234.29276316] ; [ 4.29276316 40.70723684],0
s2,1,0.219025,1.510746,[120 139] ; [16 28],[116.25082508 142.74917492] ; [19.74917492 24.25082508],0
n1,1,0.227375,1.457207,[32 39] ; [ 6 14],[29.64835165 41.35164835] ; [ 8.35164835 11.64835165],0
n2,1,0.26542,1.240265,[55 19] ; [13  8],[52.96842105 21.03157895] ; [15.03157895  5.96842105],0
d3,1,0.267446,1.2298,[164  95] ; [24 20],[160.69966997  98.30033003] ; [27.30033003 16.69966997],0
a1,1,0.290513,1.117241,[ 16 245] ; [ 1 44],[ 14.5 246.5] ; [ 2.5 42.5],0
r3,1,0.325687,0.96597,[226  32] ; [37  8],[223.94059406  34.05940594] ; [39.05940594  5.94059406],0
p6,1,0.341605,0.9044,[ 81 176] ; [11 34],[ 78.29139073 178.70860927] ; [13.70860927 31.29139073],0
b1,1,0.372239,0.796178,[109 152] ; [22 23],[111.73529412 149.26470588] ; [19.26470588 25.73529412],0
a6,1,0.450045,0.570537,[176  83] ; [28 17],[173.80263158  85.19736842] ; [30.19736842 14.80263158],0
s8,1,0.472176,0.51688,[ 95 164] ; [14 31],[ 92.86513158 166.13486842] ; [16.13486842 28.86513158],0
p11,1,0.479293,0.500472,[193  68] ; [31 14],[191.05882353  69.94117647] ; [32.94117647 12.05882353],0
b4,1,0.485198,0.487157,[148 113] ; [23 22],[145.85294118 115.14705882] ; [25.14705882 19.85294118],0
b2,1,0.493709,0.468433,[55 97] ; [ 6 15],[53.59537572 98.40462428] ; [ 7.40462428 13.59537572],0
b3,1,0.493709,0.468433,[55 97] ; [ 6 15],[53.59537572 98.40462428] ; [ 7.40462428 13.59537572],0
b5,1,0.511474,0.43105,[137 124] ; [26 19],[139.02941176 121.97058824] ; [23.97058824 21.02941176],0
v4,1,0.521362,0.411197,[233  27] ; [38  6],[231.77631579  28.22368421] ; [39.22368421  4.77631579],0
u3,1,0.538812,0.377746,[38 44] ; [ 9 14],[36.7047619 45.2952381] ; [10.2952381 12.7047619],0
u2,1,0.545564,0.365324,[40 41] ; [13 10],[41.27884615 39.72115385] ; [11.72115385 11.27884615],0
p7,1,0.633302,0.22761,[141 115] ; [22 21],[139.55852843 116.44147157] ; [23.44147157 19.55852843],0
n3,1,0.776217,0.080799,[47 25] ; [13  8],[46.4516129 25.5483871] ; [13.5483871  7.4516129],0
s1,1,0.861186,0.030578,[ 13 244] ; [ 2 43],[ 12.76490066 244.23509934] ; [ 2.23509934 42.76490066],0
p8,1,0.98605,0.000306,[116 140] ; [20 24],[116.05333333 139.94666667] ; [19.94666667 24.05333333],0
