Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.659515,[334  80] ; [70 98],[287.3814433 126.6185567] ; [116.6185567  51.3814433],1
d3,1,0.0,71.187154,[326  88] ; [72 96],[283.11340206 130.88659794] ; [114.88659794  53.11340206],1
a2,1,0.0,36.063727,[134 282] ; [ 14 154],[105.42465753 310.57534247] ; [ 42.57534247 125.42465753],1
b5,1,0.0,25.821075,[271 145] ; [71 97],[243.61643836 172.38356164] ; [98.38356164 69.61643836],1
u1,1,2e-06,23.00017,[102 314] ; [ 12 156],[ 81.20547945 334.79452055] ; [ 32.79452055 135.20547945],1
r4,1,2.8e-05,17.520606,[392  24] ; [140  28],[378.95890411  37.04109589] ; [153.04109589  14.95890411],1
d1,1,0.000276,13.22955,[273 143] ; [83 85],[253.5890411 162.4109589] ; [102.4109589  65.5890411],1
r3,1,0.000953,10.917301,[401  11] ; [153  15],[393.53103448  18.46896552] ; [160.46896552   7.53103448],1
r1,1,0.001967,9.580484,[349  65] ; [123  45],[335.75257732  78.24742268] ; [136.24742268  31.75257732],0
v4,1,0.002082,9.475792,[403  11] ; [153  14],[396.1858864  17.8141136] ; [159.8141136   7.1858864],0
r2,1,0.007122,7.241934,[398  15] ; [149  15],[391.52686308  21.47313692] ; [155.47313692   8.52686308],0
u3,1,0.010639,6.524606,[68 44] ; [14 24],[61.22666667 50.77333333] ; [20.77333333 17.22666667],0
b1,1,0.014798,5.940396,[148 268] ; [78 90],[160.98630137 255.01369863] ; [ 65.01369863 102.98630137],0
v2,1,0.017525,5.642973,[249 148] ; [84 78],[236.49552773 160.50447227] ; [96.50447227 65.49552773],0
b2,1,0.022632,5.196561,[ 90 155] ; [55 56],[ 99.78932584 145.21067416] ; [45.21067416 65.78932584],0
b3,1,0.022632,5.196561,[ 90 155] ; [55 56],[ 99.78932584 145.21067416] ; [45.21067416 65.78932584],0
d4,1,0.042585,4.111807,[350  65] ; [129  38],[341.55498282  73.44501718] ; [137.44501718  29.55498282],0
d5,1,0.060683,3.518612,[348  67] ; [129  38],[340.12886598  74.87113402] ; [136.87113402  30.12886598],0
u2,1,0.10551,2.620212,[67 45] ; [17 21],[62.72 49.28] ; [21.28 16.72],0
p4,1,0.109332,2.563846,[284 130] ; [103  64],[275.76247849 138.23752151] ; [111.23752151  55.76247849],0
s8,1,0.135222,2.231504,[195 217] ; [91 77],[203.15862069 208.84137931] ; [82.84137931 85.15862069],0
a5,1,0.136943,2.211978,[326  90] ; [122  46],[319.12328767  96.87671233] ; [128.87671233  39.12328767],0
a8,1,0.144338,2.131091,[ 62 308] ; [ 19 142],[ 56.44067797 313.55932203] ; [ 24.55932203 136.44067797],0
b4,1,0.150068,2.071557,[245 171] ; [88 80],[237.20547945 178.79452055] ; [95.79452055 72.20547945],0
n2,1,0.230478,1.43791,[56  9] ; [34 10],[53.66972477 11.33027523] ; [36.33027523  7.66972477],0
p12,1,0.240912,1.375248,[ 46 369] ; [ 13 153],[ 42.14285714 372.85714286] ; [ 16.85714286 149.14285714],0
s7,1,0.273208,1.200569,[208 183] ; [95 68],[213.85018051 177.14981949] ; [89.14981949 73.85018051],0
a4,1,0.287118,1.133088,[198 217] ; [72 96],[192.19554031 222.80445969] ; [77.80445969 90.19554031],0
s2,1,0.302637,1.062536,[231 180] ; [86 81],[225.4100346 185.5899654] ; [91.5899654 75.4100346],0
p8,1,0.312167,1.021484,[246 164] ; [92 74],[240.59027778 169.40972222] ; [97.40972222 68.59027778],0
s4,1,0.313746,1.014842,[ 62 347] ; [ 31 136],[ 66.03645833 342.96354167] ; [ 26.96354167 140.03645833],0
a3,1,0.321269,0.983774,[304 110] ; [130  38],[308.72164948 105.27835052] ; [125.27835052  42.72164948],0
s5,1,0.322363,0.979336,[144 257] ; [65 96],[149.12633452 251.87366548] ; [ 59.87366548 101.12633452],0
p1,1,0.344429,0.893877,[ 43 373] ; [ 13 154],[ 39.95883362 376.04116638] ; [ 16.04116638 150.95883362],0
p3,1,0.371707,0.797952,[235 179] ; [88 79],[230.15834768 183.84165232] ; [92.84165232 74.15834768],0
s3,1,0.380369,0.769509,[244 165] ; [93 74],[239.29340278 169.70659722] ; [97.70659722 69.29340278],0
p11,1,0.381546,0.765716,[363  53] ; [142  26],[359.7260274  56.2739726] ; [145.2739726  22.7260274],0
s6,1,0.470507,0.520786,[292 116] ; [111  51],[288.46315789 119.53684211] ; [114.53684211  47.46315789],0
v1,1,0.472206,0.51681,[249 154] ; [96 68],[245.21164021 157.78835979] ; [99.78835979 64.21164021],0
p6,1,0.509432,0.435233,[171 242] ; [ 63 101],[167.49046794 245.50953206] ; [66.50953206 97.49046794],0
n6,1,0.546087,0.364375,[383  31] ; [152  15],[381.22203098  32.77796902] ; [153.77796902  13.22203098],0
p2,1,0.562831,0.334827,[363  53] ; [141  24],[360.86746988  55.13253012] ; [143.13253012  21.86746988],0
n4,1,0.580262,0.305811,[373  43] ; [148  20],[371.12328767  44.87671233] ; [149.87671233  18.12328767],0
a1,1,0.685907,0.163552,[ 19 397] ; [  9 159],[ 19.94520548 396.05479452] ; [  8.05479452 159.94520548],0
n3,1,0.754974,0.097399,[47 18] ; [33 11],[47.70642202 17.29357798] ; [32.29357798 11.70642202],0
d2,1,0.763139,0.090819,[205 209] ; [85 82],[206.64371773 207.35628227] ; [83.35628227 83.64371773],0
p9,1,0.800973,0.063548,[393  22] ; [159   8],[393.60824742  21.39175258] ; [158.39175258   8.60824742],0
s1,1,0.827663,0.047393,[ 11 399] ; [  5 161],[ 11.38888889 398.61111111] ; [  4.61111111 161.38888889],0
u4,1,0.875071,0.024718,[  9 406] ; [  4 164],[  9.25385935 405.74614065] ; [  3.74614065 164.25385935],0
p7,1,0.899577,0.015925,[278 127] ; [111  52],[277.36795775 127.63204225] ; [111.63204225  51.36795775],0
n1,1,0.900406,0.015662,[28 37] ; [18 25],[27.68518519 37.31481481] ; [18.31481481 24.68518519],0
p5,1,0.929228,0.007888,[ 61 352] ; [ 25 141],[ 61.34369603 351.65630397] ; [ 24.65630397 141.34369603],0
v3,1,0.996301,2.1e-05,[176 222] ; [73 92],[176.02486679 221.97513321] ; [72.97513321 92.02486679],0
