Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,25.11134,[25 87] ; [107 102],[46.05607477 65.94392523] ; [ 85.94392523 123.05607477],1
a6,1,1.7e-05,18.515428,[48 64] ; [142  68],[66.08695652 45.91304348] ; [123.91304348  86.08695652],1
r4,1,0.004596,8.031844,[85 27] ; [185  25],[93.91304348 18.08695652] ; [176.08695652  33.91304348],0
b3,1,0.008993,6.824228,[32 39] ; [28 79],[23.93258427 47.06741573] ; [36.06741573 70.93258427],0
b2,1,0.008993,6.824228,[32 39] ; [28 79],[23.93258427 47.06741573] ; [36.06741573 70.93258427],0
a5,1,0.037828,4.31274,[57 55] ; [132  78],[65.73913043 46.26086957] ; [123.26086957  86.73913043],0
p2,1,0.04292,4.098556,[87 24] ; [182  27],[93.309375 17.690625] ; [175.690625  33.309375],0
r3,1,0.046399,3.96704,[100  12] ; [198  10],[104.3   7.7] ; [193.7  14.3],0
u3,1,0.055575,3.66475,[17 26] ; [51 38],[22.15151515 20.84848485] ; [45.84848485 43.15151515],0
d5,1,0.072963,3.215066,[55 57] ; [125  85],[62.60869565 49.39130435] ; [117.39130435  92.60869565],0
n5,1,0.074914,3.171938,[89 22] ; [147  60],[82.37735849 28.62264151] ; [153.62264151  53.37735849],0
d2,1,0.077104,3.124904,[20 91] ; [ 23 187],[14.86915888 96.13084112] ; [ 28.13084112 181.86915888],0
r1,1,0.088454,2.902279,[71 41] ; [151  57],[77.7 34.3] ; [144.3  63.7],0
s8,1,0.109158,2.566367,[48 64] ; [ 71 139],[41.39130435 70.60869565] ; [ 77.60869565 132.39130435],0
r2,1,0.119226,2.427466,[95 16] ; [188  18],[99.09463722 11.90536278] ; [183.90536278  22.09463722],0
a1,1,0.122369,2.386739,[  8 104] ; [  7 203],[  5.2173913 106.7826087] ; [  9.7826087 200.2173913],0
b5,1,0.172627,1.859983,[60 52] ; [129  81],[65.73913043 46.26086957] ; [123.26086957  86.73913043],0
v2,1,0.177176,1.821151,[46 60] ; [103  97],[51.61437908 54.38562092] ; [ 97.38562092 102.61437908],0
p8,1,0.178777,1.807764,[51 60] ; [112  96],[56.71786834 54.28213166] ; [106.28213166 101.71786834],0
v4,1,0.242795,1.364292,[100  11] ; [194  13],[102.62264151   8.37735849] ; [191.37735849  15.62264151],0
s7,1,0.257768,1.280704,[53 56] ; [ 83 115],[48.28664495 60.71335505] ; [ 87.71335505 110.28664495],0
b1,1,0.263919,1.248083,[46 66] ; [ 73 137],[41.39130435 70.60869565] ; [ 77.60869565 132.39130435],0
n1,1,0.265286,1.240962,[16 22] ; [12 28],[13.64102564 24.35897436] ; [14.35897436 25.64102564],0
a2,1,0.274836,1.192451,[  5 107] ; [ 16 194],[  7.30434783 104.69565217] ; [ 13.69565217 196.30434783],0
s3,1,0.29472,1.097934,[61 49] ; [102 105],[56.5615142 53.4384858] ; [106.4384858 100.5615142],0
p5,1,0.297872,1.083695,[ 10 101] ; [ 27 182],[12.834375 98.165625] ; [ 24.165625 184.834375],0
b4,1,0.315674,1.006787,[58 54] ; [121  89],[62.26086957 49.73913043] ; [116.73913043  93.26086957],0
a3,1,0.324493,0.970749,[69 42] ; [118  91],[64.865625 46.134375] ; [122.134375  86.865625],0
n3,1,0.366228,0.816423,[26 12] ; [31  9],[27.76923077 10.23076923] ; [29.23076923 10.76923077],0
s6,1,0.372008,0.796945,[66 42] ; [137  70],[69.6 38.4] ; [133.4  73.6],0
p12,1,0.415813,0.662117,[  9 102] ; [ 12 197],[  7.284375 103.715625] ; [ 13.715625 195.284375],0
p4,1,0.424357,0.638217,[54 57] ; [112  98],[57.40186916 53.59813084] ; [108.59813084 101.40186916],0
u1,1,0.468358,0.525847,[  3 109] ; [  9 201],[  4.17391304 107.82608696] ; [  7.82608696 202.17391304],0
u2,1,0.502253,0.450173,[21 22] ; [49 40],[22.8030303 20.1969697] ; [47.1969697 41.8030303],0
p11,1,0.507908,0.438374,[93 19] ; [168  42],[90.7826087 21.2173913] ; [170.2173913  39.7826087],0
p7,1,0.535511,0.383923,[64 46] ; [126  78],[66.56050955 43.43949045] ; [123.43949045  80.56050955],0
p6,1,0.549068,0.35899,[32 78] ; [ 67 140],[34.3533123 75.6466877] ; [ 64.6466877 142.3533123],0
p10,1,0.558541,0.342237,[97 15] ; [183  23],[98.6163522 13.3836478] ; [181.3836478  24.6163522],0
d4,1,0.561964,0.336315,[64 48] ; [127  83],[66.43478261 45.56521739] ; [124.56521739  85.43478261],0
n4,1,0.57707,0.310996,[80 32] ; [143  66],[77.80685358 34.19314642] ; [145.19314642  63.80685358],0
a4,1,0.595776,0.281414,[28 84] ; [ 58 151],[30.00623053 81.99376947] ; [ 55.99376947 153.00623053],0
n2,1,0.655652,0.198849,[31  7] ; [31  9],[30.20512821  7.79487179] ; [31.79487179  8.20512821],0
a8,1,0.656641,0.197629,[14 91] ; [ 30 167],[15.29801325 89.70198675] ; [ 28.70198675 168.29801325],0
p1,1,0.66472,0.18784,[  9 102] ; [ 20 189],[ 10.059375 100.940625] ; [ 18.940625 190.059375],0
s1,1,0.731294,0.117927,[  4 107] ; [  6 201],[  3.49056604 107.50943396] ; [  6.50943396 200.49056604],0
n6,1,0.73569,0.113951,[89 22] ; [170  38],[90.12225705 20.87774295] ; [168.87774295  39.12225705],0
v3,1,0.780562,0.07761,[35 74] ; [ 63 143],[33.91111111 75.08888889] ; [ 64.08888889 141.91111111],0
p3,1,0.80561,0.060562,[48 64] ; [ 93 117],[49.04347826 62.95652174] ; [ 91.95652174 118.04347826],0
s2,1,0.809,0.058427,[47 64] ; [ 91 117],[48.01880878 62.98119122] ; [ 89.98119122 118.01880878],0
s5,1,0.90444,0.014413,[31 75] ; [ 61 143],[31.45806452 74.54193548] ; [ 60.54193548 143.45806452],0
s4,1,0.975036,0.000979,[19 93] ; [ 35 173],[18.9 93.1] ; [ 35.1 172.9],0
v1,1,0.980561,0.000594,[56 53] ; [104  99],[55.8974359 53.1025641] ; [104.1025641  98.8974359],0
