Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,94.079456,[105  34] ; [16 97],[66.74206349 72.25793651] ; [54.25793651 58.74206349],1
s7,1,0.0,46.784898,[94 40] ; [28 80],[67.55371901 66.44628099] ; [54.44628099 53.55371901],1
s6,1,0.0,36.974156,[107  26] ; [48 64],[84.14285714 48.85714286] ; [70.85714286 41.14285714],1
s8,1,0.0,33.827823,[88 51] ; [30 83],[65.08730159 73.91269841] ; [52.91269841 60.08730159],1
s4,1,0.001987,9.561397,[ 34 104] ; [ 11 103],[ 24.64285714 113.35714286] ; [20.35714286 93.64285714],0
s5,1,0.002332,9.268091,[62 71] ; [30 79],[50.56198347 82.43801653] ; [41.43801653 67.56198347],0
r3,1,0.002752,8.965295,[134   5] ; [98 16],[127.46245059  11.53754941] ; [104.53754941   9.46245059],0
p7,1,0.010768,6.503255,[93 41] ; [60 52],[83.34146341 50.65853659] ; [69.65853659 42.34146341],0
a3,1,0.011783,6.343249,[105  33] ; [70 44],[95.83333333 42.16666667] ; [79.16666667 34.83333333],0
r4,1,0.024515,5.057822,[124  15] ; [90 24],[117.57312253  21.42687747] ; [96.42687747 17.57312253],0
n2,1,0.026605,4.916279,[34  5] ; [25 13],[29.88311688  9.11688312] ; [29.11688312  8.88311688],0
n4,1,0.028369,4.805492,[111  27] ; [78 36],[103.5  34.5] ; [85.5 28.5],0
v1,1,0.029749,4.723723,[79 56] ; [50 62],[70.50607287 64.49392713] ; [58.49392713 53.50607287],0
r2,1,0.031889,4.604436,[132   7] ; [97 14],[127.324  11.676] ; [101.676   9.324],0
p10,1,0.037802,4.313891,[107  29] ; [75 37],[99.80645161 36.19354839] ; [82.19354839 29.80645161],0
p3,1,0.042151,4.129132,[72 66] ; [44 68],[64.032 73.968] ; [51.968 60.032],0
n1,1,0.060463,3.524638,[19 19] ; [11 27],[15. 23.] ; [15. 23.],0
r1,1,0.091108,2.854686,[106  33] ; [76 38],[99.99209486 39.00790514] ; [82.00790514 31.99209486],0
p4,1,0.098736,2.725841,[78 59] ; [52 60],[71.52610442 65.47389558] ; [58.47389558 53.52610442],0
p2,1,0.101774,2.677521,[110  27] ; [80 32],[104.53815261  32.46184739] ; [85.46184739 26.53815261],0
a4,1,0.134142,2.243898,[65 73] ; [43 71],[59.14285714 78.85714286] ; [48.85714286 65.14285714],0
d4,1,0.135294,2.230682,[106  32] ; [78 36],[100.76190476  37.23809524] ; [83.23809524 30.76190476],0
p9,1,0.138201,2.19788,[113  24] ; [83 28],[108.27419355  28.72580645] ; [87.72580645 23.27419355],0
a8,1,0.165029,1.927533,[ 19 115] ; [ 9 98],[ 15.56846473 118.43153527] ; [12.43153527 94.56846473],0
p11,1,0.187086,1.740418,[111  28] ; [83 31],[106.58498024  32.41501976] ; [87.41501976 26.58498024],0
p12,1,0.199108,1.648906,[ 10 126] ; [  4 108],[  7.67741935 128.32258065] ; [  6.32258065 105.67741935],0
v3,1,0.20253,1.624036,[57 79] ; [37 72],[52.17959184 83.82040816] ; [41.82040816 67.17959184],0
a1,1,0.251366,1.315698,[ 11 128] ; [  5 109],[  8.79051383 130.20948617] ; [  7.20948617 106.79051383],0
a2,1,0.259401,1.271949,[ 14 125] ; [  7 107],[ 11.53754941 127.46245059] ; [  9.46245059 104.53754941],0
p6,1,0.26466,1.244216,[51 83] ; [35 77],[46.84552846 87.15447154] ; [39.15447154 72.84552846],0
p5,1,0.275438,1.189464,[ 18 118] ; [ 10 103],[ 15.29317269 120.70682731] ; [ 12.70682731 100.29317269],0
v2,1,0.276236,1.185514,[59 74] ; [57 54],[63.2295082 69.7704918] ; [52.7704918 58.2295082],0
b5,1,0.331997,0.941093,[61 78] ; [57 57],[64.83003953 74.16996047] ; [53.16996047 60.83003953],0
p8,1,0.339218,0.913385,[69 67] ; [50 62],[65.25806452 70.74193548] ; [53.74193548 58.25806452],0
s1,1,0.344587,0.893292,[  4 133] ; [  6 108],[  5.45816733 131.54183267] ; [  4.54183267 109.45816733],0
p1,1,0.393648,0.727644,[ 11 127] ; [  6 108],[  9.30952381 128.69047619] ; [  7.69047619 106.30952381],0
d3,1,0.41113,0.675531,[62 77] ; [45 69],[58.78656126 80.21343874] ; [48.21343874 65.78656126],0
n5,1,0.432485,0.61614,[106  30] ; [84 30],[103.36  32.64] ; [86.64 27.36],0
d5,1,0.440854,0.594059,[104  34] ; [81 33],[101.30952381  36.69047619] ; [83.69047619 30.30952381],0
u1,1,0.469652,0.522794,[  9 130] ; [  5 109],[  7.6916996 131.3083004] ; [  6.3083004 107.6916996],0
n6,1,0.470775,0.520156,[108  29] ; [94 20],[110.25498008  26.74501992] ; [91.74501992 22.25498008],0
b1,1,0.530734,0.392986,[64 75] ; [57 57],[66.47826087 72.52173913] ; [54.52173913 59.47826087],0
u3,1,0.549192,0.358766,[17 17] ; [19 25],[15.69230769 18.30769231] ; [20.30769231 23.69230769],0
d1,1,0.565063,0.331014,[66 73] ; [50 64],[63.7312253 75.2687747] ; [52.2687747 61.7312253],0
b3,1,0.565994,0.329431,[42 53] ; [27 41],[40.21472393 54.78527607] ; [28.78527607 39.21472393],0
b2,1,0.565994,0.329431,[42 53] ; [27 41],[40.21472393 54.78527607] ; [28.78527607 39.21472393],0
n3,1,0.623928,0.240385,[27 12] ; [23 13],[26. 13.] ; [24. 12.],0
u2,1,0.760948,0.09256,[17 17] ; [23 20],[17.66233766 16.33766234] ; [22.33766234 20.66233766],0
a6,1,0.770029,0.085461,[56 83] ; [48 66],[57.13833992 81.86166008] ; [46.86166008 67.13833992],0
b4,1,0.835521,0.043109,[75 64] ; [63 51],[75.81818182 63.18181818] ; [62.18181818 51.81818182],0
d2,1,0.837331,0.042151,[67 72] ; [53 60],[66.19047619 72.80952381] ; [53.80952381 59.19047619],0
a5,1,0.967854,0.001624,[93 46] ; [76 38],[92.84980237 46.15019763] ; [76.15019763 37.84980237],0
