Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4.4e-05,16.702343,[56 19] ; [21 33],[44.76744186 30.23255814] ; [32.23255814 21.76744186],1
p2,1,5e-05,16.437746,[62 12] ; [29 28],[51.40458015 22.59541985] ; [39.59541985 17.40458015],1
n2,1,9e-05,15.337851,[20  1] ; [11 16],[13.5625  7.4375] ; [17.4375  9.5625],1
r3,1,0.00019,13.926449,[73  3] ; [42 15],[65.71428571 10.28571429] ; [49.28571429  7.71428571],1
p9,1,0.000231,13.557538,[59 17] ; [25 29],[49.10769231 26.89230769] ; [34.89230769 19.10769231],1
p7,1,0.000322,12.935295,[46 27] ; [17 38],[35.9296875 37.0703125] ; [27.0703125 27.9296875],1
r4,1,0.001833,9.709379,[64 12] ; [35 23],[56.14925373 19.85074627] ; [42.85074627 15.14925373],0
p4,1,0.002734,8.976832,[42 33] ; [17 40],[33.52272727 41.47727273] ; [25.47727273 31.52272727],0
p8,1,0.007494,7.150595,[36 38] ; [14 41],[28.68217054 45.31782946] ; [21.31782946 33.68217054],0
v4,1,0.008473,6.930637,[70  5] ; [45 13],[64.84962406 10.15037594] ; [50.15037594  7.84962406],0
s8,1,0.01353,6.098469,[31 45] ; [12 46],[24.3880597 51.6119403] ; [18.6119403 39.3880597],0
n1,1,0.013586,6.0911,[11  8] ; [ 6 21],[ 7.02173913 11.97826087] ; [ 9.97826087 17.02173913],0
n4,1,0.02791,4.833593,[46 30] ; [24 34],[39.70149254 36.29850746] ; [30.29850746 27.70149254],0
s7,1,0.088407,2.903139,[29 43] ; [13 38],[24.58536585 47.41463415] ; [17.41463415 33.58536585],0
p5,1,0.117687,2.447842,[ 6 69] ; [ 1 55],[ 4.00763359 70.99236641] ; [ 2.99236641 53.00763359],0
n5,1,0.139364,2.18497,[35 41] ; [19 38],[30.85714286 45.14285714] ; [23.14285714 33.85714286],0
a4,1,0.147728,2.09556,[26 50] ; [27 31],[30.05970149 45.94029851] ; [22.94029851 35.05970149],0
b5,1,0.147728,2.09556,[50 26] ; [31 27],[45.94029851 30.05970149] ; [35.05970149 22.94029851],0
s4,1,0.159166,1.982133,[10 66] ; [13 45],[13.04477612 62.95522388] ; [ 9.95522388 48.04477612],0
r2,1,0.162483,1.950964,[69  6] ; [48  9],[66.47727273  8.52272727] ; [50.52272727  6.47727273],0
v1,1,0.168799,1.893579,[36 36] ; [22 36],[32.12307692 39.87692308] ; [25.87692308 32.12307692],0
d2,1,0.192413,1.699043,[32 44] ; [31 27],[35.73134328 40.26865672] ; [27.26865672 30.73134328],0
s6,1,0.193031,1.694331,[42 34] ; [25 32],[38.28571429 37.71428571] ; [28.71428571 28.28571429],0
s3,1,0.210799,1.565932,[38 36] ; [23 34],[34.45801527 39.54198473] ; [26.54198473 30.45801527],0
a2,1,0.225963,1.466094,[12 64] ; [14 44],[14.74626866 61.25373134] ; [11.25373134 46.74626866],0
s1,1,0.248717,1.330493,[ 2 71] ; [ 4 53],[ 3.36923077 69.63076923] ; [ 2.63076923 54.36923077],0
p1,1,0.277086,1.181327,[ 4 71] ; [ 6 52],[ 5.63909774 69.36090226] ; [ 4.36090226 53.63909774],0
a5,1,0.289035,1.124112,[55 21] ; [37 21],[52.17910448 23.82089552] ; [39.82089552 18.17910448],0
v2,1,0.319586,0.99064,[40 30] ; [26 28],[37.25806452 32.74193548] ; [28.74193548 25.25806452],0
p3,1,0.324277,0.971619,[29 46] ; [17 39],[26.33587786 48.66412214] ; [19.66412214 36.33587786],0
s5,1,0.360744,0.8353,[15 60] ; [14 38],[17.12598425 57.87401575] ; [11.87401575 40.12598425],0
