Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1.4e-05,18.811985,[3 2] ; [ 16 217],[0.39915966 4.60084034] ; [ 18.60084034 214.39915966],1
s6,1,0.059745,3.544444,[1 4] ; [141  88],[3.03418803 1.96581197] ; [138.96581197  90.03418803],0
p8,1,0.092742,2.826128,[4 1] ; [ 97 132],[2.15811966 2.84188034] ; [ 98.84188034 130.15811966],0
s3,1,0.112973,2.51213,[1 4] ; [128 102],[2.74468085 2.25531915] ; [126.25531915 103.74468085],0
a1,1,0.148233,2.090342,[1 4] ; [ 12 221],[0.27310924 4.72689076] ; [ 12.72689076 220.27310924],0
a2,1,0.215535,1.533852,[3 2] ; [ 78 155],[1.70168067 3.29831933] ; [ 79.29831933 153.70168067],0
v2,1,0.247816,1.335575,[1 4] ; [104 122],[2.27272727 2.72727273] ; [102.72727273 123.27272727],0
a4,1,0.27675,1.182982,[4 1] ; [129 103],[2.80590717 2.19409283] ; [130.19409283 101.80590717],0
b5,1,0.296569,1.089557,[4 1] ; [132 101],[2.85714286 2.14285714] ; [133.14285714  99.85714286],0
r3,1,0.320901,0.985269,[4 1] ; [213  18],[4.59745763 0.40254237] ; [212.40254237  18.59745763],0
s8,1,0.327176,0.960043,[1 4] ; [ 97 135],[2.06751055 2.93248945] ; [ 95.93248945 136.06751055],0
p9,1,0.327237,0.9598,[3 2] ; [181  50],[3.89830508 1.10169492] ; [180.10169492  50.89830508],0
b4,1,0.354022,0.858988,[2 3] ; [141  92],[3.00420168 1.99579832] ; [139.99579832  93.00420168],0
v4,1,0.4039,0.696685,[4 1] ; [211  21],[4.53586498 0.46413502] ; [210.46413502  21.53586498],0
p10,1,0.410628,0.676981,[3 2] ; [177  56],[3.78151261 1.21848739] ; [176.21848739  56.78151261],0
b1,1,0.43724,0.603514,[1 4] ; [ 86 147],[1.82773109 3.17226891] ; [ 85.17226891 147.82773109],0
p4,1,0.544081,0.368028,[2 3] ; [124 107],[2.66949153 2.33050847] ; [123.33050847 107.66949153],0
n3,1,0.612293,0.256849,[1 1] ; [49 24],[1.33333333 0.66666667] ; [48.66666667 24.33333333],0
p6,1,0.628586,0.233983,[1 4] ; [ 69 161],[1.4893617 3.5106383] ; [ 68.5106383 161.4893617],0
p11,1,0.654255,0.200578,[4 1] ; [165  68],[3.55042017 1.44957983] ; [165.44957983  67.55042017],0
s5,1,0.670007,0.181594,[1 4] ; [ 64 159],[1.4254386 3.5745614] ; [ 63.5745614 159.4254386],0
v3,1,0.672078,0.179181,[1 4] ; [ 65 162],[1.42241379 3.57758621] ; [ 64.57758621 162.42241379],0
r4,1,0.688304,0.160927,[4 1] ; [201  32],[4.30672269 0.69327731] ; [200.69327731  32.30672269],0
p3,1,0.723121,0.125522,[2 2] ; [ 96 137],[1.65400844 2.34599156] ; [ 96.34599156 136.65400844],0
s2,1,0.735708,0.113935,[2 3] ; [110 121],[2.37288136 2.62711864] ; [109.62711864 121.37288136],0
n2,1,0.757593,0.09526,[1 1] ; [45 29],[1.21052632 0.78947368] ; [44.78947368 29.21052632],0
p2,1,0.798089,0.065445,[4 1] ; [174  58],[3.75527426 1.24472574] ; [174.24472574  57.75527426],0
a7,1,0.802049,0.062849,[4 1] ; [175  58],[3.7605042 1.2394958] ; [175.2394958  57.7605042],0
p7,1,0.816579,0.053799,[3 2] ; [126 104],[2.74468085 2.25531915] ; [126.25531915 103.74468085],0
u1,1,0.818071,0.052912,[1 4] ; [ 57 176],[1.21848739 3.78151261] ; [ 56.78151261 176.21848739],0
s7,1,0.914552,0.011513,[2 2] ; [105 117],[1.89380531 2.10619469] ; [105.10619469 116.89380531],0
n6,1,0.933545,0.006953,[4 1] ; [189  43],[4.07172996 0.92827004] ; [188.92827004  43.07172996],0
r1,1,0.988641,0.000203,[4 1] ; [185  47],[3.98734177 1.01265823] ; [185.01265823  46.98734177],0
b2,1,0.993386,6.9e-05,[1 2] ; [49 97],[1.00671141 1.99328859] ; [48.99328859 97.00671141],0
b3,1,0.993386,6.9e-05,[1 2] ; [49 97],[1.00671141 1.99328859] ; [48.99328859 97.00671141],0
s4,1,0.996173,2.3e-05,[1 4] ; [ 46 185],[0.99576271 4.00423729] ; [ 46.00423729 184.99576271],0
