Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.006246,[13  2] ; [14 53],[ 4.93902439 10.06097561] ; [22.06097561 44.93902439],1
s8,1,0.00025,13.412527,[10  7] ; [12 61],[ 4.15555556 12.84444444] ; [17.84444444 55.15555556],1
s6,1,0.002584,9.079951,[13  3] ; [29 44],[7.5505618 8.4494382] ; [34.4494382 38.5505618],0
s2,1,0.002912,8.861831,[12  5] ; [23 50],[ 6.61111111 10.38888889] ; [28.38888889 44.61111111],0
d3,1,0.011241,6.426796,[13  4] ; [30 41],[8.30681818 8.69318182] ; [34.69318182 36.30681818],0
v1,1,0.011576,6.374646,[10  6] ; [21 51],[ 5.63636364 10.36363636] ; [25.36363636 46.63636364],0
p9,1,0.017408,5.654785,[12  4] ; [29 40],[7.71764706 8.28235294] ; [33.28235294 35.71764706],0
p10,1,0.019611,5.446164,[12  5] ; [27 42],[7.70930233 9.29069767] ; [31.29069767 37.70930233],0
p2,1,0.028886,4.774369,[15  2] ; [44 29],[11.14444444  5.85555556] ; [47.85555556 25.14444444],0
r4,1,0.036719,4.363417,[14  3] ; [40 33],[10.2  6.8] ; [43.8 29.2],0
a3,1,0.042585,4.111782,[9 7] ; [21 50],[ 5.51724138 10.48275862] ; [24.48275862 46.51724138],0
b4,1,0.046063,3.9793,[14  3] ; [41 32],[10.38888889  6.61111111] ; [44.61111111 28.38888889],0
r2,1,0.068461,3.319533,[16  1] ; [53 19],[13.17977528  3.82022472] ; [55.82022472 16.17977528],0
d5,1,0.075677,3.155374,[13  4] ; [38 34],[9.74157303 7.25842697] ; [41.25842697 30.74157303],0
d4,1,0.080304,3.058745,[14  3] ; [43 29],[10.88764045  6.11235955] ; [46.11235955 25.88764045],0
v4,1,0.083596,2.993565,[16  1] ; [54 18],[13.37078652  3.62921348] ; [56.62921348 15.37078652],0
s3,1,0.095529,2.77864,[11  6] ; [30 41],[7.92045455 9.07954545] ; [33.07954545 37.92045455],0
r3,1,0.098508,2.729529,[14  2] ; [48 24],[11.27272727  4.72727273] ; [50.72727273 21.27272727],0
a8,1,0.114657,2.488831,[ 2 14] ; [ 2 64],[ 0.7804878 15.2195122] ; [ 3.2195122 62.7804878],0
p6,1,0.126323,2.337117,[ 6 11] ; [13 58],[ 3.67045455 13.32954545] ; [15.32954545 55.67045455],0
