Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.960201,[98 13] ; [15 26],[82.51973684 28.48026316] ; [30.48026316 10.51973684],1
r3,1,1e-06,23.893274,[97 13] ; [21 20],[85.9602649 24.0397351] ; [32.0397351  8.9602649],1
s6,1,2e-06,22.520564,[78 31] ; [11 28],[65.5472973 43.4527027] ; [23.4527027 15.5472973],1
v4,1,8e-06,19.83654,[100  11] ; [24 17],[90.55263158 20.44736842] ; [33.44736842  7.55263158],1
s8,1,3.2e-05,17.284652,[51 59] ; [ 4 37],[40.06622517 69.93377483] ; [14.93377483 26.06622517],1
a3,1,0.000208,13.761383,[84 24] ; [19 22],[74.65771812 33.34228188] ; [28.34228188 12.65771812],1
s7,1,0.000214,13.70557,[58 42] ; [ 9 30],[48.20143885 51.79856115] ; [18.79856115 20.20143885],1
d4,1,0.000438,12.363038,[90 20] ; [22 19],[81.58940397 28.41059603] ; [30.41059603 10.58940397],1
a5,1,0.000999,10.830055,[85 26] ; [20 21],[76.67763158 34.32236842] ; [28.32236842 12.67763158],1
a7,1,0.002129,9.434929,[81 30] ; [19 22],[73.02631579 37.97368421] ; [26.97368421 14.02631579],0
s2,1,0.003305,8.631176,[59 51] ; [11 30],[50.99337748 59.00662252] ; [19.00662252 21.99337748],0
u3,1,0.00757,7.132483,[15 12] ; [ 4 18],[10.46938776 16.53061224] ; [ 8.53061224 13.46938776],0
p2,1,0.008056,7.020903,[79 31] ; [20 21],[72.1192053 37.8807947] ; [26.8807947 14.1192053],0
r2,1,0.009691,6.690819,[103   7] ; [30  8],[98.85135135 11.14864865] ; [34.14864865  3.85135135],0
d5,1,0.011314,6.415245,[89 21] ; [25 16],[83.04635762 26.95364238] ; [30.95364238 10.04635762],0
p10,1,0.012303,6.266687,[66 43] ; [15 25],[59.25503356 49.74496644] ; [21.74496644 18.25503356],0
p6,1,0.014838,5.935631,[43 66] ; [ 7 32],[36.82432432 72.17567568] ; [13.17567568 25.82432432],0
d1,1,0.01604,5.798481,[65 46] ; [15 26],[58.42105263 52.57894737] ; [21.57894737 19.42105263],0
v2,1,0.02026,5.389366,[56 53] ; [12 28],[49.74496644 59.25503356] ; [18.25503356 21.74496644],0
n6,1,0.023701,5.116369,[87 23] ; [25 16],[81.58940397 28.41059603] ; [30.41059603 10.58940397],0
s5,1,0.023866,5.104368,[38 67] ; [ 6 31],[32.53521127 72.46478873] ; [11.46478873 25.53521127],0
p4,1,0.026102,4.949266,[55 54] ; [12 28],[49.01342282 59.98657718] ; [17.98657718 22.01342282],0
s3,1,0.035831,4.405142,[61 49] ; [14 25],[55.36912752 54.63087248] ; [19.63087248 19.36912752],0
v1,1,0.040969,4.177305,[53 58] ; [12 29],[47.46710526 63.53289474] ; [17.53289474 23.46710526],0
b2,1,0.047317,3.934081,[18 44] ; [12 11],[21.88235294 40.11764706] ; [ 8.11764706 14.88235294],0
b3,1,0.047317,3.934081,[18 44] ; [12 11],[21.88235294 40.11764706] ; [ 8.11764706 14.88235294],0
a4,1,0.054635,3.693182,[58 52] ; [14 26],[52.8 57.2] ; [19.2 20.8],0
d3,1,0.060173,3.532619,[77 33] ; [22 19],[72.1192053 37.8807947] ; [26.8807947 14.1192053],0
p3,1,0.072149,3.233437,[50 60] ; [12 29],[45.16556291 64.83443709] ; [16.83443709 24.16556291],0
v3,1,0.091143,2.854073,[44 61] ; [11 30],[39.55479452 65.44520548] ; [15.44520548 25.55479452],0
u1,1,0.093966,2.805076,[24 87] ; [ 4 37],[20.44736842 90.55263158] ; [ 7.55263158 33.44736842],0
p9,1,0.117648,2.44835,[72 38] ; [20 19],[67.91946309 42.08053691] ; [24.08053691 14.91946309],0
p7,1,0.12976,2.295369,[54 53] ; [15 26],[49.88513514 57.11486486] ; [19.11486486 21.88513514],0
p8,1,0.132559,2.262283,[39 71] ; [ 9 31],[35.2 74.8] ; [12.8 27.2],0
d2,1,0.182314,1.778656,[63 47] ; [18 22],[59.4 50.6] ; [21.6 18.4],0
b4,1,0.213614,1.546764,[64 47] ; [19 22],[60.61184211 50.38815789] ; [22.38815789 18.61184211],0
a8,1,0.259667,1.270532,[17 77] ; [ 4 35],[14.84210526 79.15789474] ; [ 6.15789474 32.84210526],0
a1,1,0.329103,0.952424,[  8 103] ; [ 5 36],[  9.49342105 101.50657895] ; [ 3.50657895 37.49342105],0
n3,1,0.334187,0.932603,[25 12] ; [8 7],[23.48076923 13.51923077] ; [9.51923077 5.48076923],0
a2,1,0.342305,0.90178,[30 81] ; [ 8 33],[27.75 83.25] ; [10.25 30.75],0
p5,1,0.415032,0.66434,[13 96] ; [ 3 38],[11.62666667 97.37333333] ; [ 4.37333333 36.62666667],0
n1,1,0.459461,0.547207,[22 16] ; [7 8],[20.79245283 17.20754717] ; [8.20754717 6.79245283],0
b5,1,0.587753,0.293866,[65 46] ; [26 15],[66.45394737 44.54605263] ; [24.54605263 16.45394737],0
p1,1,0.623694,0.24071,[ 11 100] ; [ 3 38],[ 10.22368421 100.77631579] ; [ 3.77631579 37.22368421],0
n2,1,0.671412,0.179955,[29 11] ; [10  5],[28.36363636 11.63636364] ; [10.63636364  4.36363636],0
p12,1,0.714584,0.133741,[  4 106] ; [ 1 40],[  3.64238411 106.35761589] ; [ 1.35761589 39.64238411],0
b1,1,0.732757,0.116595,[63 48] ; [22 19],[62.07236842 48.92763158] ; [22.92763158 18.07236842],0
u2,1,0.790116,0.070841,[10 17] ; [ 7 14],[ 9.5625 17.4375] ; [ 7.4375 13.5625],0
n5,1,0.794455,0.067876,[90 21] ; [34  7],[90.55263158 20.44736842] ; [33.44736842  7.55263158],0
s4,1,0.91691,0.010884,[18 92] ; [ 7 34],[18.21192053 91.78807947] ; [ 6.78807947 34.21192053],0
a6,1,0.950896,0.003792,[65 45] ; [24 17],[64.83443709 45.16556291] ; [24.16556291 16.83443709],0
