Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,107.489952,[268  60] ; [132 182],[204.36137072 123.63862928] ; [195.63862928 118.36137072],1
p7,1,0.0,35.465943,[253  71] ; [172 136],[217.87974684 106.12025316] ; [207.12025316 100.87974684],1
p8,1,0.0,34.167056,[217 108] ; [135 174],[180.44164038 144.55835962] ; [171.55835962 137.44164038],1
p5,1,0.0,33.606837,[ 65 262] ; [ 15 300],[ 40.74766355 286.25233645] ; [ 39.25233645 275.74766355],1
p6,1,0.0,28.963751,[151 171] ; [ 82 230],[118.33753943 203.66246057] ; [114.66246057 197.33753943],1
s7,1,1e-06,23.735944,[174 132] ; [113 191],[143.9704918 162.0295082] ; [143.0295082 160.9704918],1
s8,1,3e-06,21.856056,[171 154] ; [108 207],[141.6796875 183.3203125] ; [137.3203125 177.6796875],1
v3,1,2.4e-05,17.843029,[154 161] ; [ 99 208],[128.12700965 186.87299035] ; [124.87299035 182.12700965],1
p1,1,5.4e-05,16.308503,[ 43 284] ; [ 13 301],[ 28.56786271 298.43213729] ; [ 27.43213729 286.56786271],1
s5,1,0.000104,15.062981,[121 197] ; [ 73 235],[ 98.54952077 219.45047923] ; [ 95.45047923 212.54952077],1
p9,1,0.000136,14.552438,[300  25] ; [255  55],[284.05511811  40.94488189] ; [270.94488189  39.05511811],1
p10,1,0.000155,14.310584,[286  38] ; [240  72],[267.96226415  56.03773585] ; [258.03773585  53.96226415],1
v1,1,0.000577,11.848534,[202 117] ; [152 154],[180.6816 138.3184] ; [173.3184 132.6816],1
p12,1,0.000599,11.778586,[ 39 287] ; [ 14 299],[ 27.03912363 298.96087637] ; [ 25.96087637 287.03912363],1
a5,1,0.000654,11.614363,[260  68] ; [213 103],[240.9068323  87.0931677] ; [232.0931677  83.9068323],1
u1,1,0.00074,11.38704,[ 71 257] ; [ 37 279],[ 55.00621118 272.99378882] ; [ 52.99378882 263.00621118],1
a3,1,0.00085,11.128586,[252  74] ; [206 109],[232.92979719  93.07020281] ; [225.07020281  89.92979719],1
n4,1,0.001108,10.637594,[276  51] ; [233  82],[259.25700935  67.74299065] ; [249.74299065  65.25700935],0
a2,1,0.003425,8.565989,[ 91 237] ; [ 57 259],[ 75.37888199 252.62111801] ; [ 72.62111801 243.37888199],0
v2,1,0.003682,8.434536,[206 112] ; [161 141],[188.23548387 129.76451613] ; [178.76451613 123.23548387],0
d1,1,0.004001,8.283248,[207 121] ; [164 152],[188.95652174 139.04347826] ; [182.04347826 133.95652174],0
s2,1,0.006101,7.520081,[168 158] ; [127 185],[150.73667712 175.26332288] ; [144.26332288 167.73667712],0
r4,1,0.008952,6.832341,[304  24] ; [273  43],[293.8757764  34.1242236] ; [283.1242236  32.8757764],0
r2,1,0.009007,6.821384,[312  12] ; [284  27],[304.1007874  19.8992126] ; [291.8992126  19.1007874],0
