Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.968162,[55  2] ; [40 29],[42.97619048 14.02380952] ; [52.02380952 16.97619048],1
p10,1,5.1e-05,16.400701,[39 18] ; [21 45],[27.80487805 29.19512195] ; [32.19512195 33.80487805],1
r4,1,8e-05,15.56939,[48  9] ; [35 34],[37.54761905 19.45238095] ; [45.45238095 23.54761905],1
p9,1,9.9e-05,15.152595,[38 19] ; [20 44],[27.32231405 29.67768595] ; [30.67768595 33.32231405],1
n6,1,0.000598,11.780979,[45 11] ; [35 34],[35.84 20.16] ; [44.16 24.84],1
p12,1,0.006327,7.454673,[ 8 49] ; [ 1 68],[ 4.07142857 52.92857143] ; [ 4.92857143 64.07142857],0
v4,1,0.015801,5.824933,[48  9] ; [45 24],[42.07142857 14.92857143] ; [50.92857143 18.07142857],0
s8,1,0.021667,5.272311,[18 39] ; [10 59],[12.66666667 44.33333333] ; [15.33333333 53.66666667],0
d5,1,0.042476,4.11614,[33 24] ; [51 17],[38.304 18.696] ; [45.696 22.304],0
u2,1,0.043127,4.090435,[15  9] ; [ 8 16],[11.5 12.5] ; [11.5 12.5],0
n5,1,0.060463,3.524639,[40 16] ; [38 31],[34.944 21.056] ; [43.056 25.944],0
n3,1,0.062595,3.467251,[14  5] ; [14 16],[10.85714286  8.14285714] ; [17.14285714 12.85714286],0
n2,1,0.090191,2.870953,[15  5] ; [17 16],[12.0754717  7.9245283] ; [19.9245283 13.0754717],0
b3,1,0.101824,2.676733,[ 7 24] ; [19 28],[10.33333333 20.66666667] ; [15.66666667 31.33333333],0
b2,1,0.101824,2.676733,[ 7 24] ; [19 28],[10.33333333 20.66666667] ; [15.66666667 31.33333333],0
v2,1,0.120082,2.416245,[24 26] ; [23 45],[19.91525424 30.08474576] ; [27.08474576 40.91525424],0
r1,1,0.126062,2.340337,[39 18] ; [38 31],[34.83333333 22.16666667] ; [42.16666667 26.83333333],0
a6,1,0.129875,2.294,[37 20] ; [35 33],[32.832 24.168] ; [39.168 28.832],0
a1,1,0.138655,2.192822,[ 3 54] ; [ 9 60],[ 5.42857143 51.57142857] ; [ 6.57142857 62.42857143],0
p4,1,0.158883,1.984823,[17 39] ; [13 54],[13.65853659 42.34146341] ; [16.34146341 50.65853659],0
p8,1,0.164202,1.935097,[15 42] ; [11 57],[11.856 45.144] ; [14.144 53.856],0
s7,1,0.168406,1.897076,[18 38] ; [13 49],[14.71186441 41.28813559] ; [16.28813559 45.71186441],0
s3,1,0.18144,1.78579,[22 34] ; [19 49],[18.51612903 37.48387097] ; [22.48387097 45.51612903],0
r2,1,0.189277,1.723239,[50  7] ; [52 14],[47.26829268  9.73170732] ; [54.73170732 11.26829268],0
s6,1,0.216117,1.529967,[26 31] ; [24 45],[22.61904762 34.38095238] ; [27.38095238 41.61904762],0
s1,1,0.220927,1.498337,[ 3 53] ; [ 8 61],[ 4.928 51.072] ; [ 6.072 62.928],0
n4,1,0.22733,1.457489,[39 18] ; [40 29],[35.73809524 21.26190476] ; [43.26190476 25.73809524],0
a3,1,0.250527,1.320363,[32 25] ; [45 23],[35.112 21.888] ; [41.888 26.112],0
s2,1,0.272247,1.205392,[17 39] ; [15 54],[14.336 41.664] ; [17.664 51.336],0
p7,1,0.284628,1.144856,[18 38] ; [16 52],[15.35483871 40.64516129] ; [18.64516129 49.35483871],0
u3,1,0.296385,1.090391,[12 13] ; [ 8 16],[10.20408163 14.79591837] ; [ 9.79591837 14.20408163],0
p3,1,0.299366,1.077018,[17 40] ; [15 54],[14.47619048 42.52380952] ; [17.52380952 51.47619048],0
b4,1,0.379738,0.771548,[35 22] ; [37 32],[32.57142857 24.42857143] ; [39.42857143 29.57142857],0
d2,1,0.382742,0.761876,[24 32] ; [34 33],[26.40650407 29.59349593] ; [31.59349593 35.40650407],0
u4,1,0.450407,0.569627,[ 2 55] ; [ 1 68],[ 1.35714286 55.64285714] ; [ 1.64285714 67.35714286],0
a5,1,0.481896,0.49457,[32 25] ; [43 26],[33.92857143 23.07142857] ; [41.07142857 27.92857143],0
d3,1,0.514124,0.425665,[31 26] ; [33 35],[29.184 27.816] ; [34.816 33.184],0
p1,1,0.51622,0.42144,[ 6 51] ; [ 5 64],[ 4.97619048 52.02380952] ; [ 6.02380952 62.97619048],0
n1,1,0.638271,0.221011,[ 9 10] ; [13 19],[ 8.19607843 10.80392157] ; [13.80392157 18.19607843],0
b1,1,0.638551,0.220642,[29 28] ; [38 31],[30.30952381 26.69047619] ; [36.69047619 32.30952381],0
a2,1,0.653409,0.201629,[ 9 48] ; [13 56],[ 9.95238095 47.04761905] ; [12.04761905 56.95238095],0
s4,1,0.653409,0.201629,[ 9 48] ; [13 56],[ 9.95238095 47.04761905] ; [12.04761905 56.95238095],0
u1,1,0.704175,0.144165,[ 7 50] ; [ 7 62],[ 6.33333333 50.66666667] ; [ 7.66666667 61.33333333],0
p6,1,0.70512,0.143201,[ 8 49] ; [ 8 60],[ 7.296 49.704] ; [ 8.704 59.296],0
s5,1,0.731731,0.117528,[11 43] ; [12 55],[10.26446281 43.73553719] ; [12.73553719 54.26446281],0
a4,1,0.742999,0.107508,[21 36] ; [27 41],[21.888 35.112] ; [26.112 41.888],0
b5,1,0.758703,0.094362,[29 28] ; [37 32],[29.85714286 27.14285714] ; [36.14285714 32.85714286],0
p5,1,0.824483,0.049188,[ 3 54] ; [ 3 65],[ 2.736 54.264] ; [ 3.264 64.736],0
a7,1,0.862554,0.029972,[33 24] ; [41 28],[33.47619048 23.52380952] ; [40.52380952 28.47619048],0
d1,1,0.959168,0.002621,[27 30] ; [33 36],[27.14285714 29.85714286] ; [32.85714286 36.14285714],0
a8,1,0.975113,0.000973,[ 5 51] ; [ 6 60],[ 5.04918033 50.95081967] ; [ 5.95081967 60.04918033],0
d4,1,0.984398,0.000382,[42 15] ; [50 18],[41.952 15.048] ; [50.048 17.952],0
v3,1,0.991727,0.000108,[15 39] ; [18 47],[14.97478992 39.02521008] ; [18.02521008 46.97478992],0
