Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,1e-06,23.907556,[29  1] ; [21 29],[18.75 11.25] ; [31.25 18.75],1
d2,1,1.3e-05,19.005605,[22  9] ; [11 39],[12.62962963 18.37037037] ; [20.37037037 29.62962963],1
d3,1,1.7e-05,18.471546,[26  5] ; [17 32],[16.6625 14.3375] ; [26.3375 22.6625],1
d5,1,5.3e-05,16.330645,[29  2] ; [25 25],[20.66666667 10.33333333] ; [33.33333333 16.66666667],1
a5,1,0.003972,8.296596,[25  7] ; [23 27],[18.73170732 13.26829268] ; [29.26829268 20.73170732],0
a2,1,0.006344,7.449769,[10 22] ; [ 4 46],[ 5.46341463 26.53658537] ; [ 8.53658537 41.46341463],0
a3,1,0.010275,6.58656,[27  5] ; [28 21],[21.72839506 10.27160494] ; [33.27160494 15.72839506],0
r1,1,0.010871,6.486328,[25  7] ; [25 25],[19.51219512 12.48780488] ; [30.48780488 19.51219512],0
b4,1,0.011064,6.45506,[22 10] ; [20 30],[16.3902439 15.6097561] ; [25.6097561 24.3902439],0
s8,1,0.011343,6.410744,[14 18] ; [ 9 41],[ 8.97560976 23.02439024] ; [14.02439024 35.97560976],0
u1,1,0.020827,5.341239,[ 5 27] ; [ 1 49],[ 2.34146341 29.65853659] ; [ 3.65853659 46.34146341],0
a4,1,0.022091,5.238586,[17 15] ; [14 36],[12.09756098 19.90243902] ; [18.90243902 31.09756098],0
v1,1,0.030176,4.699248,[18 13] ; [16 32],[13.34177215 17.65822785] ; [20.65822785 27.34177215],0
s2,1,0.032435,4.575347,[16 15] ; [14 36],[11.48148148 19.51851852] ; [18.51851852 31.48148148],0
a8,1,0.038793,4.269892,[ 2 26] ; [13 36],[ 5.45454545 22.54545455] ; [ 9.54545455 39.45454545],0
r3,1,0.039758,4.228178,[28  4] ; [33 16],[24.09876543  7.90123457] ; [36.90123457 12.09876543],0
v2,1,0.048837,3.880939,[18 12] ; [17 29],[13.81578947 16.18421053] ; [21.18421053 24.81578947],0
s3,1,0.049362,3.862991,[20 10] ; [22 28],[15.75 14.25] ; [26.25 23.75],0
v3,1,0.072033,3.23608,[10 17] ; [ 9 40],[ 6.75 20.25] ; [12.25 36.75],0
u3,1,0.076309,3.141818,[4 1] ; [ 8 14],[2.22222222 2.77777778] ; [ 9.77777778 12.22222222],0
s6,1,0.124672,2.357622,[19 13] ; [21 29],[15.6097561 16.3902439] ; [24.3902439 25.6097561],0
s4,1,0.127777,2.319309,[ 2 30] ; [ 9 41],[ 4.29268293 27.70731707] ; [ 6.70731707 43.29268293],0
n4,1,0.133744,2.248504,[26  6] ; [33 17],[23.02439024  8.97560976] ; [35.97560976 14.02439024],0
r4,1,0.148134,2.091363,[23  9] ; [28 22],[19.90243902 12.09756098] ; [31.09756098 18.90243902],0
p4,1,0.19796,1.657361,[15 16] ; [17 33],[12.24691358 18.75308642] ; [19.75308642 30.24691358],0
v4,1,0.206876,1.593153,[27  4] ; [37 12],[24.8  6.2] ; [39.2  9.8],0
n3,1,0.218089,1.516901,[4 5] ; [15  7],[5.51612903 3.48387097] ; [13.48387097  8.51612903],0
b5,1,0.223679,1.480611,[21 11] ; [26 24],[18.34146341 13.65853659] ; [28.65853659 21.34146341],0
s1,1,0.281156,1.161492,[ 2 27] ; [ 1 48],[ 1.11538462 27.88461538] ; [ 1.88461538 47.11538462],0
b1,1,0.283864,1.148498,[16 16] ; [31 19],[18.34146341 13.65853659] ; [28.65853659 21.34146341],0
u2,1,0.295722,1.093388,[4 1] ; [12 10],[2.96296296 2.03703704] ; [13.03703704  8.96296296],0
s5,1,0.341471,0.904902,[ 7 24] ; [ 7 42],[ 5.425 25.575] ; [ 8.575 40.425],0
p5,1,0.345779,0.888889,[ 3 29] ; [ 2 46],[ 2. 30.] ; [ 3. 45.],0
p10,1,0.419029,0.653036,[20 11] ; [26 21],[18.28205128 12.71794872] ; [27.71794872 19.28205128],0
a7,1,0.422298,0.64391,[22 10] ; [30 20],[20.29268293 11.70731707] ; [31.70731707 18.29268293],0
