Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,37.987806,[73 71] ; [ 27 130],[47.84053156 96.15946844] ; [ 52.15946844 104.84053156],1
v1,1,1e-06,23.496351,[86 57] ; [ 51 107],[65.08637874 77.91362126] ; [71.91362126 86.08637874],1
r1,1,0.001143,10.579548,[122  25] ; [109  54],[109.53870968  37.46129032] ; [121.46129032  41.53870968],0
p12,1,0.002806,8.929308,[ 16 131] ; [  4 157],[  9.54545455 137.45454545] ; [ 10.45454545 150.54545455],0
d1,1,0.00415,8.216969,[93 55] ; [76 87],[80.4244373 67.5755627] ; [88.5755627 74.4244373],0
r3,1,0.006064,7.531123,[141   6] ; [142  21],[134.19677419  12.80322581] ; [148.80322581  14.19677419],0
s1,1,0.006741,7.340631,[  2 144] ; [ 13 149],[  7.11038961 138.88961039] ; [  7.88961039 154.11038961],0
a7,1,0.009431,6.739283,[116  31] ; [107  56],[105.74516129  41.25483871] ; [117.25483871  45.74516129],0
a5,1,0.014961,5.921034,[114  34] ; [105  58],[104.21864952  43.78135048] ; [114.78135048  48.21864952],0
d4,1,0.018974,5.503896,[125  22] ; [121  42],[116.6516129  30.3483871] ; [129.3483871  33.6516129],0
s6,1,0.023954,5.097971,[95 50] ; [85 76],[85.29411765 59.70588235] ; [94.70588235 66.29411765],0
d5,1,0.035147,4.438025,[122  26] ; [118  45],[114.21221865  33.78778135] ; [125.78778135  37.21221865],0
s8,1,0.056798,3.628499,[59 87] ; [ 49 114],[51.02912621 94.97087379] ; [ 56.97087379 106.02912621],0
b1,1,0.084272,2.980518,[ 46 102] ; [66 97],[53.29903537 94.70096463] ; [ 58.70096463 104.29903537],0
p10,1,0.089065,2.891185,[109  38] ; [105  56],[102.13636364  44.86363636] ; [111.86363636  49.13636364],0
a1,1,0.089169,2.889309,[  8 140] ; [  3 160],[  5.23472669 142.76527331] ; [  5.76527331 157.23472669],0
p9,1,0.104414,2.6368,[118  28] ; [116  43],[112.01311475  33.98688525] ; [121.98688525  37.01311475],0
s2,1,0.130934,2.281401,[71 74] ; [65 96],[64.44444444 80.55555556] ; [71.55555556 89.44444444],0
a3,1,0.140868,2.168448,[104  44] ; [101  61],[97.87096774 50.12903226] ; [107.12903226  54.87096774],0
u2,1,0.163768,1.939088,[28 16] ; [31 31],[24.49056604 19.50943396] ; [34.50943396 27.49056604],0
p4,1,0.164186,1.935245,[71 77] ; [65 97],[64.92903226 83.07096774] ; [71.07096774 90.92903226],0
p5,1,0.166431,1.914797,[  7 141] ; [ 14 147],[ 10.05825243 137.94174757] ; [ 10.94174757 150.05825243],0
d3,1,0.167569,1.904561,[101  47] ; [99 64],[95.17684887 52.82315113] ; [104.82315113  58.17684887],0
n3,1,0.200847,1.636206,[30 11] ; [34 22],[27.05154639 13.94845361] ; [36.94845361 19.05154639],0
p11,1,0.219482,1.507758,[105  43] ; [105  58],[99.93569132 48.06430868] ; [110.06430868  52.93569132],0
s7,1,0.220722,1.49967,[60 80] ; [ 56 100],[54.86486486 85.13513514] ; [61.13513514 94.86486486],0
r2,1,0.238191,1.391269,[141   7] ; [149  13],[138.4516129   9.5483871] ; [151.5483871  10.4516129],0
p2,1,0.24191,1.369428,[108  40] ; [109  54],[103.26688103  44.73311897] ; [113.73311897  49.26688103],0
b2,1,0.24465,1.353599,[34 48] ; [31 63],[30.28409091 51.71590909] ; [34.71590909 59.28409091],0
b3,1,0.24465,1.353599,[34 48] ; [31 63],[30.28409091 51.71590909] ; [34.71590909 59.28409091],0
r4,1,0.270405,1.214691,[130  18] ; [136  27],[126.585209  21.414791] ; [139.414791  23.585209],0
p6,1,0.284211,1.146841,[ 26 119] ; [ 22 141],[ 22.5974026 122.4025974] ; [ 25.4025974 137.5974026],0
n6,1,0.306609,1.045227,[123  25] ; [128  35],[119.44694534  28.55305466] ; [131.55305466  31.44694534],0
d2,1,0.323861,0.973291,[74 72] ; [73 89],[69.68181818 76.31818182] ; [77.31818182 84.68181818],0
n1,1,0.372827,0.79422,[13 27] ; [24 34],[15.10204082 24.89795918] ; [21.89795918 36.10204082],0
p3,1,0.404043,0.696261,[51 96] ; [ 49 113],[47.57281553 99.42718447] ; [ 52.42718447 109.57281553],0
s4,1,0.405594,0.691678,[ 22 124] ; [ 30 131],[ 24.72964169 121.27035831] ; [ 27.27035831 133.72964169],0
p8,1,0.465822,0.53187,[ 41 107] ; [ 39 123],[ 38.19354839 109.80645161] ; [ 41.80645161 120.19354839],0
n4,1,0.488988,0.478753,[107  41] ; [112  51],[104.21864952  43.78135048] ; [114.78135048  48.21864952],0
b4,1,0.493866,0.468092,[87 61] ; [102  61],[89.94212219 58.05787781] ; [99.05787781 63.94212219],0
u3,1,0.574265,0.315599,[30 14] ; [39 23],[28.64150943 15.35849057] ; [40.35849057 21.64150943],0
u1,1,0.595782,0.281405,[ 26 122] ; [ 25 138],[ 24.27009646 123.72990354] ; [ 26.72990354 136.27009646],0
a6,1,0.636588,0.223232,[100  48] ; [106  57],[98.03215434 49.96784566] ; [107.96784566  55.03215434],0
p1,1,0.696049,0.152615,[ 11 137] ; [ 14 148],[ 11.93548387 136.06451613] ; [ 13.06451613 148.93548387],0
b5,1,0.7093,0.138977,[96 52] ; [109  54],[97.5562701 50.4437299] ; [107.4437299  55.5562701],0
a8,1,0.711968,0.136319,[ 11 118] ; [ 15 138],[ 11.89361702 117.10638298] ; [ 14.10638298 138.89361702],0
n2,1,0.746881,0.10417,[29 11] ; [41 18],[28.28282828 11.71717172] ; [41.71717172 17.28282828],0
n5,1,0.788293,0.072107,[98 49] ; [111  52],[99.10645161 47.89354839] ; [109.89354839  53.10645161],0
s3,1,0.802869,0.062318,[71 75] ; [76 85],[69.90879479 76.09120521] ; [77.09120521 83.90879479],0
a2,1,0.888085,0.019804,[ 30 118] ; [ 32 131],[ 29.50482315 118.49517685] ; [ 32.49517685 130.50482315],0
s5,1,0.892335,0.01832,[ 35 103] ; [ 38 116],[ 34.5 103.5] ; [ 38.5 115.5],0
u4,1,0.904928,0.014265,[  3 145] ; [  3 160],[  2.85530547 145.14469453] ; [  3.14469453 159.85530547],0
a4,1,0.925853,0.008661,[65 83] ; [72 90],[65.40645161 82.59354839] ; [71.59354839 90.40645161],0
