Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.4e-05,18.87811,[116  11] ; [23 14],[107.6402439  19.3597561] ; [31.3597561  5.6402439],1
n6,1,0.00025,13.411557,[111  20] ; [21 16],[102.92857143  28.07142857] ; [29.07142857  7.92857143],1
b1,1,0.00234,9.26205,[45 86] ; [23 14],[53.02380952 77.97619048] ; [14.97619048 22.02380952],0
p8,1,0.003007,8.803006,[64 64] ; [ 8 28],[56.19512195 71.80487805] ; [15.80487805 20.19512195],0
r3,1,0.004938,7.901982,[120  10] ; [28  9],[115.20958084  14.79041916] ; [32.79041916  4.20958084],0
n5,1,0.006348,7.448652,[100  30] ; [20 17],[93.41317365 36.58682635] ; [26.58682635 10.41317365],0
v4,1,0.024255,5.076324,[116  13] ; [28  9],[111.90361446  17.09638554] ; [32.09638554  4.90361446],0
d5,1,0.03192,4.602775,[97 34] ; [20 16],[91.77844311 39.22155689] ; [25.22155689 10.77844311],0
s6,1,0.041088,4.172378,[76 52] ; [14 21],[70.67484663 57.32515337] ; [19.32515337 15.67484663],0
n4,1,0.041761,4.144883,[94 37] ; [20 17],[88.89285714 42.10714286] ; [25.10714286 11.89285714],0
s5,1,0.061067,3.508155,[29 96] ; [13 20],[33.2278481 91.7721519] ; [ 8.7721519 24.2278481],0
d4,1,0.06799,3.330885,[98 33] ; [22 15],[93.57142857 37.42857143] ; [26.42857143 10.57142857],0
r4,1,0.077146,3.124017,[88 43] ; [19 18],[83.43452381 47.56547619] ; [23.56547619 13.43452381],0
p2,1,0.09298,2.822002,[106  22] ; [26 11],[102.4  25.6] ; [29.6  7.4],0
v2,1,0.10973,2.5581,[56 70] ; [11 26],[51.79141104 74.20858896] ; [15.20858896 21.79141104],0
s8,1,0.16232,1.952482,[48 83] ; [ 9 28],[44.44642857 86.55357143] ; [12.55357143 24.44642857],0
a3,1,0.172068,1.864837,[82 49] ; [18 18],[78.44311377 52.55688623] ; [21.55688623 14.44311377],0
p3,1,0.175459,1.835677,[62 68] ; [13 24],[58.38323353 71.61676647] ; [16.61676647 20.38323353],0
a2,1,0.220441,1.501498,[ 12 119] ; [ 6 31],[ 14.03571429 116.96428571] ; [ 3.96428571 33.03571429],0
a6,1,0.222424,1.488662,[75 56] ; [17 20],[71.73809524 59.26190476] ; [20.26190476 16.73809524],0
p4,1,0.225594,1.468424,[69 61] ; [15 21],[65.78313253 64.21686747] ; [18.21686747 17.78313253],0
d1,1,0.226423,1.463189,[57 74] ; [12 25],[53.80357143 77.19642857] ; [15.19642857 21.80357143],0
b5,1,0.277408,1.179743,[83 48] ; [27 10],[85.77380952 45.22619048] ; [24.22619048 12.77380952],0
u1,1,0.279087,1.171529,[  5 126] ; [ 3 34],[  6.23809524 124.76190476] ; [ 1.76190476 35.23809524],0
p7,1,0.344966,0.891887,[69 57] ; [17 20],[66.47852761 59.52147239] ; [19.52147239 17.47852761],0
s4,1,0.354627,0.856831,[ 23 108] ; [ 9 28],[ 24.95238095 106.04761905] ; [ 7.04761905 29.95238095],0
p6,1,0.37516,0.786503,[45 81] ; [10 26],[42.77777778 83.22222222] ; [12.22222222 23.77777778],0
p5,1,0.403614,0.697533,[ 17 112] ; [ 3 34],[ 15.54216867 113.45783133] ; [ 4.45783133 32.54216867],0
a5,1,0.420153,0.649887,[77 54] ; [19 18],[74.85714286 56.14285714] ; [21.14285714 15.85714286],0
d2,1,0.452274,0.564947,[44 86] ; [15 22],[45.92814371 84.07185629] ; [13.07185629 23.92814371],0
v3,1,0.453062,0.56298,[40 87] ; [ 9 27],[38.17791411 88.82208589] ; [10.82208589 25.17791411],0
s7,1,0.468886,0.524601,[50 75] ; [12 24],[48.13664596 76.86335404] ; [13.86335404 22.13664596],0
a7,1,0.495094,0.465437,[81 50] ; [20 16],[79.22754491 51.77245509] ; [21.77245509 14.22754491],0
u2,1,0.509232,0.435646,[25 24] ; [ 8 11],[23.77941176 25.22058824] ; [9.22058824 9.77941176],0
a8,1,0.54146,0.372841,[ 13 110] ; [ 5 30],[ 14.01265823 108.98734177] ; [ 3.98734177 31.01265823],0
b4,1,0.576715,0.311575,[81 50] ; [21 16],[79.53571429 51.46428571] ; [22.46428571 14.53571429],0
n2,1,0.603498,0.269752,[32  8] ; [8 3],[31.37254902  8.62745098] ; [8.62745098 2.37254902],0
u3,1,0.671148,0.180262,[20 28] ; [ 9 10],[20.7761194 27.2238806] ; [ 8.2238806 10.7761194],0
d3,1,0.709364,0.138913,[72 59] ; [18 17],[71.02409639 59.97590361] ; [18.97590361 16.02409639],0
n1,1,0.714195,0.134123,[17 23] ; [4 7],[16.47058824 23.52941176] ; [4.52941176 6.47058824],0
v1,1,0.767676,0.087271,[56 70] ; [17 19],[56.77777778 69.22222222] ; [16.22222222 19.77777778],0
a4,1,0.792328,0.069321,[43 88] ; [13 24],[43.66666667 87.33333333] ; [12.33333333 24.66666667],0
b3,1,0.844498,0.038472,[29 54] ; [ 6 10],[29.34343434 53.65656566] ; [ 5.65656566 10.34343434],0
b2,1,0.844498,0.038472,[29 54] ; [ 6 10],[29.34343434 53.65656566] ; [ 5.65656566 10.34343434],0
s3,1,0.870186,0.026707,[63 67] ; [18 18],[63.43373494 66.56626506] ; [17.56626506 18.43373494],0
n3,1,0.878258,0.023463,[30 10] ; [8 3],[29.80392157 10.19607843] ; [8.19607843 2.80392157],0
r2,1,0.894842,0.017472,[104  23] ; [29  6],[104.2654321  22.7345679] ; [28.7345679  6.2654321],0
s1,1,0.911725,0.012291,[  4 127] ; [ 1 36],[  3.89880952 127.10119048] ; [ 1.10119048 35.89880952],0
s2,1,0.92196,0.009597,[59 72] ; [17 20],[59.26190476 71.73809524] ; [16.73809524 20.26190476],0
a1,1,0.924004,0.009099,[ 10 121] ; [ 3 34],[ 10.13690476 120.86309524] ; [ 2.86309524 34.13690476],0
p1,1,0.994259,5.2e-05,[ 14 116] ; [ 4 33],[ 14.01197605 115.98802395] ; [ 3.98802395 33.01197605],0
