Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000204,13.792452,[163  24] ; [7 7],[158.15920398  28.84079602] ; [11.84079602  2.15920398],1
p11,1,0.000285,13.164999,[163  25] ; [7 7],[158.21782178  29.78217822] ; [11.78217822  2.21782178],1
r3,1,0.004866,7.928564,[175  13] ; [10  4],[172.17821782  15.82178218] ; [12.82178218  1.17821782],0
r4,1,0.005399,7.740827,[161  27] ; [8 6],[157.28712871  30.71287129] ; [11.71287129  2.28712871],0
n5,1,0.007267,7.205709,[159  28] ; [8 6],[155.3681592  31.6318408] ; [11.6318408  2.3681592],0
s6,1,0.033172,4.536869,[128  54] ; [6 8],[124.42857143  57.57142857] ; [9.57142857 4.42857143],0
p4,1,0.039662,4.232279,[112  75] ; [4 9],[108.46  78.54] ; [7.54 5.46],0
p8,1,0.047753,3.918659,[104  82] ; [ 4 10],[100.44  85.56] ; [7.56 6.44],0
v4,1,0.051295,3.798599,[173  14] ; [10  3],[171.105  15.895] ; [11.895  1.105],0
b5,1,0.065576,3.390424,[ 88 100] ; [ 3 11],[ 84.69306931 103.30693069] ; [6.30693069 7.69306931],0
p3,1,0.078484,3.096025,[99 88] ; [ 4 10],[95.82587065 91.17412935] ; [7.17412935 6.82587065],0
a5,1,0.084932,2.967903,[135  53] ; [7 7],[132.15841584  55.84158416] ; [9.84158416 4.15841584],0
n4,1,0.106914,2.599257,[154  34] ; [9 5],[151.7029703  36.2970297] ; [11.2970297  2.7029703],0
v1,1,0.11157,2.531834,[106  78] ; [5 9],[103.15151515  80.84848485] ; [7.84848485 6.15151515],0
b3,1,0.13462,2.238406,[58 64] ; [3 9],[55.53731343 66.46268657] ; [5.46268657 6.53731343],0
b2,1,0.13462,2.238406,[58 64] ; [3 9],[55.53731343 66.46268657] ; [5.46268657 6.53731343],0
p6,1,0.222893,1.485651,[ 69 114] ; [ 3 11],[ 66.88324873 116.11675127] ; [5.11675127 8.88324873],0
d2,1,0.228122,1.452533,[89 98] ; [9 5],[91.17412935 95.82587065] ; [6.82587065 7.17412935],0
p2,1,0.236312,1.40246,[155  30] ; [10  4],[153.3919598  31.6080402] ; [11.6080402  2.3919598],0
s3,1,0.308652,1.036435,[107  79] ; [10  4],[108.81  77.19] ; [8.19 5.81],0
a6,1,0.323747,0.973749,[ 79 109] ; [ 4 10],[ 77.24752475 110.75247525] ; [5.75247525 8.24752475],0
a3,1,0.324567,0.970455,[143  45] ; [9 5],[141.46534653  46.53465347] ; [10.53465347  3.46534653],0
u3,1,0.390008,0.738916,[18 27] ; [3 2],[18.9 26.1] ; [2.1 2.9],0
d5,1,0.404413,0.695165,[142  45] ; [12  2],[143.27363184  43.72636816] ; [10.72636816  3.27363184],0
n1,1,0.44008,0.596074,[22 27] ; [1 3],[21.26415094 27.73584906] ; [1.73584906 2.26415094],0
s1,1,0.441851,0.591472,[  6 180] ; [ 1 13],[  6.51 179.49] ; [ 0.49 13.51],0
b4,1,0.44393,0.586104,[101  87] ; [9 5],[102.37623762  85.62376238] ; [7.62376238 6.37623762],0
n2,1,0.45092,0.568338,[37 12] ; [3 2],[36.2962963 12.7037037] ; [3.7037037 1.2962963],0
r2,1,0.463503,0.537423,[168  17] ; [11  2],[167.24747475  17.75252525] ; [11.75252525  1.24747475],0
s8,1,0.478805,0.501584,[99 89] ; [6 8],[97.72277228 90.27722772] ; [7.27722772 6.72277228],0
a4,1,0.490301,0.475866,[ 85 103] ; [5 9],[ 83.76237624 104.23762376] ; [6.23762376 7.76237624],0
d1,1,0.528045,0.398152,[91 97] ; [8 6],[92.13861386 95.86138614] ; [6.86138614 7.13861386],0
d4,1,0.530823,0.392817,[147  40] ; [10  4],[146.06467662  40.93532338] ; [10.93532338  3.06467662],0
n3,1,0.541744,0.372317,[35 13] ; [3 2],[34.41509434 13.58490566] ; [3.58490566 1.41509434],0
b1,1,0.642579,0.215385,[ 82 106] ; [7 7],[ 82.83168317 105.16831683] ; [6.16831683 7.83168317],0
d3,1,0.670884,0.18057,[ 83 105] ; [7 7],[ 83.76237624 104.23762376] ; [6.23762376 7.76237624],0
v3,1,0.698803,0.14972,[ 75 108] ; [5 9],[ 74.31472081 108.68527919] ; [5.68527919 8.31472081],0
r1,1,0.701951,0.14645,[139  49] ; [11  3],[139.6039604  48.3960396] ; [10.3960396  3.6039604],0
u2,1,0.705857,0.14245,[23 22] ; [3 2],[23.4 21.6] ; [2.6 2.4],0
s5,1,0.727789,0.121151,[ 72 106] ; [5 9],[ 71.38541667 106.61458333] ; [5.61458333 8.38541667],0
s4,1,0.804248,0.061431,[ 38 150] ; [ 3 10],[ 38.34825871 149.65174129] ; [ 2.65174129 10.34825871],0
p1,1,0.805513,0.060624,[ 17 170] ; [ 1 13],[ 16.74626866 170.25373134] ; [ 1.25373134 12.74626866],0
p7,1,0.84951,0.036003,[122  61] ; [9 4],[122.31122449  60.68877551] ; [8.68877551 4.31122449],0
a2,1,0.85885,0.031626,[ 16 172] ; [ 1 13],[ 15.82178218 172.17821782] ; [ 1.17821782 12.82178218],0
s7,1,0.864095,0.029297,[103  80] ; [7 6],[102.70408163  80.29591837] ; [7.29591837 5.70408163],0
u1,1,0.910999,0.012495,[ 12 176] ; [ 1 13],[ 12.0990099 175.9009901] ; [ 0.9009901 13.0990099],0
a1,1,0.910999,0.012495,[ 12 176] ; [ 1 13],[ 12.0990099 175.9009901] ; [ 0.9009901 13.0990099],0
s2,1,0.953824,0.003353,[95 92] ; [7 7],[94.89552239 92.10447761] ; [7.10447761 6.89552239],0
v2,1,0.968055,0.001604,[91 89] ; [7 7],[90.92783505 89.07216495] ; [7.07216495 6.92783505],0
