Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000246,13.442036,[ 5 24] ; [11  4],[10.54545455 18.45454545] ; [5.45454545 9.54545455],1
p8,1,0.000769,11.314286,[ 3 27] ; [8 6],[ 7.5 22.5] ; [ 3.5 10.5],1
n6,1,0.001206,10.481484,[ 8 22] ; [11  3],[12.95454545 17.04545455] ; [6.04545455 7.95454545],0
s2,1,0.00143,10.167112,[ 3 27] ; [8 7],[ 7.33333333 22.66666667] ; [ 3.66666667 11.33333333],0
p6,1,0.006962,7.282759,[ 2 27] ; [6 9],[ 5.27272727 23.72727273] ; [ 2.72727273 12.27272727],0
p11,1,0.015423,5.867457,[ 7 23] ; [9 6],[10.66666667 19.33333333] ; [5.33333333 9.66666667],0
s8,1,0.018881,5.5125,[ 1 29] ; [ 4 11],[ 3.33333333 26.66666667] ; [ 1.66666667 13.33333333],0
d3,1,0.018896,5.511134,[ 9 21] ; [10  5],[12.66666667 17.33333333] ; [6.33333333 8.66666667],0
p10,1,0.019075,5.494581,[ 7 22] ; [9 6],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
b5,1,0.020364,5.380435,[11 19] ; [11  4],[14.66666667 15.33333333] ; [7.33333333 7.66666667],0
p2,1,0.033895,4.5,[10 20] ; [10  5],[13.33333333 16.66666667] ; [6.66666667 8.33333333],0
a5,1,0.03497,4.44664,[12 18] ; [11  4],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
p9,1,0.037558,4.324943,[ 9 18] ; [10  5],[12.21428571 14.78571429] ; [6.78571429 8.21428571],0
p3,1,0.042522,4.114286,[ 4 26] ; [6 9],[ 6.66666667 23.33333333] ; [ 3.33333333 11.66666667],0
s1,1,0.064027,3.429878,[ 1 29] ; [ 3 12],[ 2.66666667 27.33333333] ; [ 1.33333333 13.66666667],0
s6,1,0.085991,2.947861,[ 5 25] ; [6 9],[ 7.33333333 22.66666667] ; [ 3.66666667 11.33333333],0
v1,1,0.110972,2.540323,[ 7 23] ; [7 8],[ 9.33333333 20.66666667] ; [ 4.66666667 10.33333333],0
s3,1,0.128864,2.306134,[ 6 23] ; [6 8],[ 8.09302326 20.90697674] ; [ 3.90697674 10.09302326],0
d4,1,0.139919,2.178854,[13 17] ; [10  5],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
a6,1,0.139919,2.178854,[13 17] ; [10  5],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
s7,1,0.14338,2.141301,[ 4 24] ; [ 5 10],[ 5.86046512 22.13953488] ; [ 3.13953488 11.86046512],0
a7,1,0.196706,1.666667,[10 20] ; [8 7],[12. 18.] ; [6. 9.],0
d5,1,0.204894,1.607143,[14 16] ; [10  5],[16. 14.] ; [8. 7.],0
v4,1,0.204894,1.607143,[14 16] ; [10  5],[16. 14.] ; [8. 7.],0
u2,1,0.221099,1.497222,[ 6 10] ; [4 2],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
s5,1,0.222225,1.489947,[ 4 26] ; [ 4 10],[ 5.45454545 24.54545455] ; [ 2.54545455 11.45454545],0
a1,1,0.244687,1.353383,[ 6 24] ; [ 1 14],[ 4.66666667 25.33333333] ; [ 2.33333333 12.66666667],0
d1,1,0.2449,1.352163,[ 7 23] ; [6 9],[ 8.66666667 21.33333333] ; [ 4.33333333 10.66666667],0
d2,1,0.245513,1.348659,[15 14] ; [ 5 10],[13.18181818 15.81818182] ; [6.81818182 8.18181818],0
u3,1,0.262193,1.257143,[ 4 12] ; [3 3],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
v2,1,0.293958,1.101405,[ 4 25] ; [ 4 11],[ 5.27272727 23.72727273] ; [ 2.72727273 12.27272727],0
n3,1,0.310596,1.028139,[4 8] ; [4 3],[5.05263158 6.94736842] ; [2.94736842 4.05263158],0
p1,1,0.352236,0.865385,[ 5 25] ; [ 1 14],[ 4. 26.] ; [ 2. 13.],0
a3,1,0.398959,0.711462,[14 16] ; [9 6],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
n1,1,0.41923,0.652473,[3 9] ; [3 4],[3.78947368 8.21052632] ; [2.21052632 4.78947368],0
a2,1,0.458816,0.54878,[ 2 28] ; [ 2 13],[ 2.66666667 27.33333333] ; [ 1.33333333 13.66666667],0
b2,1,0.551815,0.354075,[10  9] ; [5 7],[9.19354839 9.80645161] ; [5.80645161 6.19354839],0
b3,1,0.551815,0.354075,[10  9] ; [5 7],[9.19354839 9.80645161] ; [5.80645161 6.19354839],0
a4,1,0.552041,0.353674,[ 9 20] ; [6 9],[ 9.88636364 19.11363636] ; [5.11363636 9.88636364],0
s4,1,0.61209,0.257143,[ 6 24] ; [ 4 11],[ 6.66666667 23.33333333] ; [ 3.33333333 11.66666667],0
n2,1,0.678044,0.172336,[4 8] ; [3 4],[4.42105263 7.57894737] ; [2.57894737 4.42105263],0
v3,1,0.782774,0.076014,[ 5 25] ; [ 3 12],[ 5.33333333 24.66666667] ; [ 2.66666667 12.33333333],0
n5,1,0.816099,0.054087,[21  9] ; [11  4],[21.33333333  8.66666667] ; [10.66666667  4.33333333],0
n4,1,0.825709,0.048491,[19 11] ; [10  5],[19.33333333 10.66666667] ; [9.66666667 5.33333333],0
b1,1,0.832004,0.045,[17 13] ; [8 7],[16.66666667 13.33333333] ; [8.33333333 6.66666667],0
b4,1,0.832988,0.044466,[15 15] ; [7 8],[14.66666667 15.33333333] ; [7.33333333 7.66666667],0
r2,1,0.887933,0.019858,[18 11] ; [9 5],[18.20930233 10.79069767] ; [8.79069767 5.20930233],0
