Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,174.874176,[308  37] ; [ 53 111],[244.68565815 100.31434185] ; [116.31434185  47.68565815],1
s7,1,0.0,58.344624,[243  90] ; [ 60 101],[204.24898785 128.75101215] ; [98.75101215 62.24898785],1
s8,1,0.0,39.529811,[227 119] ; [ 60 106],[193.94921875 152.05078125] ; [93.05078125 72.94921875],1
s5,1,0.0,28.603077,[178 154] ; [ 47 119],[150. 182.] ; [75. 91.],1
d1,1,0.011058,6.455902,[258  89] ; [106  61],[245.73540856 101.26459144] ; [118.26459144  48.73540856],0
p6,1,0.01583,5.821663,[155 186] ; [ 56 108],[142.47722772 198.52277228] ; [68.52277228 95.47722772],0
p4,1,0.017434,5.652165,[241 105] ; [98 68],[229.08984375 116.91015625] ; [109.91015625  56.08984375],0
a3,1,0.019268,5.477004,[273  73] ; [116  51],[262.36647173  83.63352827] ; [126.63352827  40.36647173],0
s4,1,0.022508,5.206104,[ 82 260] ; [ 25 140],[ 72.17751479 269.82248521] ; [ 34.82248521 130.17751479],0
a2,1,0.023695,5.116811,[108 239] ; [ 36 131],[ 97.21400778 249.78599222] ; [ 46.78599222 120.21400778],0
v4,1,0.027767,4.842463,[337   9] ; [155  11],[332.484375  13.515625] ; [159.515625   6.484375],0
d2,1,0.040583,4.19334,[199 147] ; [80 87],[188.1754386 157.8245614] ; [90.8245614 76.1754386],0
u3,1,0.06364,3.439884,[52 20] ; [28 22],[47.21311475 24.78688525] ; [32.78688525 17.21311475],0
r3,1,0.07009,3.280919,[336   8] ; [158   9],[332.55577299  11.44422701] ; [161.44422701   5.55577299],0
u1,1,0.071867,3.239846,[ 87 260] ; [ 30 137],[ 78.98638132 268.01361868] ; [ 38.01361868 128.98638132],0
p3,1,0.078022,3.105639,[196 151] ; [80 86],[186.69005848 160.30994152] ; [89.30994152 76.69005848],0
p9,1,0.084942,2.967719,[304  37] ; [139  27],[297.95463511  43.04536489] ; [145.04536489  20.95463511],0
p12,1,0.090451,2.866321,[ 42 304] ; [ 12 154],[ 36.4921875 309.5078125] ; [ 17.5078125 148.4921875],0
a4,1,0.094166,2.801675,[180 167] ; [73 93],[171.13255361 175.86744639] ; [81.86744639 84.13255361],0
r4,1,0.103846,2.645467,[324  23] ; [149  18],[319.32101167  27.67898833] ; [153.67898833  13.32101167],0
b1,1,0.174742,1.841781,[140 207] ; [ 57 110],[132.99416342 214.00583658] ; [ 64.00583658 102.99416342],0
s1,1,0.178973,1.806128,[ 14 328] ; [  3 163],[ 11.44488189 330.55511811] ; [  5.55511811 160.44488189],0
u4,1,0.183877,1.766005,[ 14 333] ; [  3 164],[ 11.4766537 335.5233463] ; [  5.5233463 161.4766537],0
r2,1,0.193228,1.692835,[330  14] ; [152  11],[327.03747535  16.96252465] ; [154.96252465   8.03747535],0
p1,1,0.207,1.592283,[ 32 312] ; [ 10 156],[ 28.32941176 315.67058824] ; [ 13.67058824 152.32941176],0
v3,1,0.230148,1.439949,[143 189] ; [ 61 102],[136.82424242 195.17575758] ; [67.17575758 95.82424242],0
p10,1,0.261468,1.26097,[293  52] ; [132  31],[288.63188976  56.36811024] ; [136.36811024  26.63188976],0
n6,1,0.263429,1.250649,[300  43] ; [140  27],[295.92156863  47.07843137] ; [144.07843137  22.92156863],0
n5,1,0.297074,1.087282,[268  77] ; [122  44],[263.3072407  81.6927593] ; [126.6927593  39.3072407],0
r1,1,0.316291,1.004222,[290  56] ; [134  33],[285.97270955  60.02729045] ; [138.02729045  28.97270955],0
v2,1,0.349577,0.87499,[201 128] ; [93 71],[196.19878296 132.80121704] ; [97.80121704 66.19878296],0
b5,1,0.368541,0.808577,[222 125] ; [100  67],[217.38132296 129.61867704] ; [104.61867704  62.38132296],0
u2,1,0.389394,0.740835,[48 23] ; [30 20],[45.76859504 25.23140496] ; [32.23140496 17.76859504],0
v1,1,0.44733,0.577408,[199 135] ; [93 73],[195.056 138.944] ; [96.944 69.056],0
n4,1,0.464886,0.534106,[273  73] ; [127  40],[269.78557505  76.21442495] ; [130.21442495  36.78557505],0
n1,1,0.484004,0.489828,[32 41] ; [16 27],[30.20689655 42.79310345] ; [17.79310345 25.20689655],0
a5,1,0.502055,0.45059,[273  74] ; [127  40],[270.03891051  76.96108949] ; [129.96108949  37.03891051],0
