Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,25.015285,[54 24] ; [ 9 33],[40.95 37.05] ; [22.05 19.95],1
p6,1,5e-06,20.975883,[49 29] ; [ 8 34],[37.05 40.95] ; [19.95 22.05],1
p2,1,9e-06,19.809745,[76  3] ; [28 14],[67.90082645 11.09917355] ; [36.09917355  5.90082645],1
p4,1,9.9e-05,15.165039,[61 18] ; [17 24],[51.35 27.65] ; [26.65 14.35],1
s1,1,0.001172,10.53376,[ 1 76] ; [ 7 34],[ 5.22033898 71.77966102] ; [ 2.77966102 38.22033898],0
r3,1,0.002197,9.377289,[75  3] ; [33  9],[70.2  7.8] ; [37.8  4.2],0
p9,1,0.005046,7.86296,[71  6] ; [30 11],[65.90677966 11.09322034] ; [35.09322034  5.90677966],0
p11,1,0.006341,7.450728,[65 14] ; [25 17],[58.76033058 20.23966942] ; [31.23966942 10.76033058],0
r1,1,0.013355,6.121457,[67 11] ; [28 14],[61.75 16.25] ; [33.25  8.75],0
s8,1,0.021637,5.274725,[45 33] ; [15 27],[39. 39.] ; [21. 21.],0
r4,1,0.03455,4.4673,[75  4] ; [35  7],[71.81818182  7.18181818] ; [38.18181818  3.81818182],0
s7,1,0.040347,4.203225,[48 26] ; [18 22],[42.84210526 31.15789474] ; [23.15789474 16.84210526],0
n4,1,0.046703,3.956044,[63 15] ; [27 15],[58.5 19.5] ; [31.5 10.5],0
s3,1,0.053566,3.726169,[59 19] ; [24 17],[54.40336134 23.59663866] ; [28.59663866 12.40336134],0
p3,1,0.062781,3.462351,[46 33] ; [17 25],[41.1322314 37.8677686] ; [21.8677686 20.1322314],0
p10,1,0.068933,3.308252,[69  9] ; [31 10],[65.54621849 12.45378151] ; [34.45378151  6.54621849],0
s6,1,0.072842,3.21779,[70  6] ; [34  8],[66.98305085  9.01694915] ; [37.01694915  4.98305085],0
v4,1,0.091676,2.844696,[77  2] ; [38  4],[75.08264463  3.91735537] ; [39.91735537  2.08264463],0
a5,1,0.104798,2.63096,[60 19] ; [26 16],[56.14876033 22.85123967] ; [29.85123967 12.14876033],0
b4,1,0.194124,1.686041,[45 34] ; [29 13],[48.31404959 30.68595041] ; [25.68595041 16.31404959],0
a8,1,0.197367,1.66175,[12 63] ; [ 3 37],[ 9.7826087 65.2173913] ; [ 5.2173913 34.7826087],0
n5,1,0.210414,1.568574,[61 18] ; [28 14],[58.10743802 20.89256198] ; [30.89256198 11.10743802],0
n2,1,0.230918,1.4352,[16  5] ; [12  1],[17.29411765  3.70588235] ; [10.70588235  2.29411765],0
b5,1,0.231183,1.43357,[38 41] ; [25 17],[41.1322314 37.8677686] ; [21.8677686 20.1322314],0
b2,1,0.233195,1.42127,[24 26] ; [ 8 16],[21.62162162 28.37837838] ; [10.37837838 13.62162162],0
b3,1,0.233195,1.42127,[24 26] ; [ 8 16],[21.62162162 28.37837838] ; [10.37837838 13.62162162],0
a6,1,0.239435,1.383915,[42 37] ; [27 15],[45.04958678 33.95041322] ; [23.95041322 18.04958678],0
d5,1,0.24251,1.365946,[63 15] ; [30 12],[60.45 17.55] ; [32.55  9.45],0
a3,1,0.246885,1.340844,[58 20] ; [27 15],[55.25 22.75] ; [29.75 12.25],0
