Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.244965,[ 3 12] ; [56 12],[10.6626506  4.3373494] ; [48.3373494 19.6626506],1
r3,1,3e-06,22.008093,[7 8] ; [63  4],[12.80487805  2.19512195] ; [57.19512195  9.80487805],1
p2,1,9e-06,19.653844,[ 1 14] ; [47 21],[8.6746988 6.3253012] ; [39.3253012 28.6746988],1
n6,1,0.002557,9.099667,[5 9] ; [52 16],[9.73170732 4.26829268] ; [47.26829268 20.73170732],0
r1,1,0.003442,8.556776,[7 8] ; [56 12],[11.38554217  3.61445783] ; [51.61445783 16.38554217],0
p8,1,0.005058,7.858484,[ 1 14] ; [31 37],[5.78313253 9.21686747] ; [26.21686747 41.78313253],0
p7,1,0.035199,4.435508,[ 2 13] ; [28 38],[5.55555556 9.44444444] ; [24.44444444 41.55555556],0
p4,1,0.039049,4.25875,[ 3 12] ; [33 34],[6.58536585 8.41463415] ; [29.41463415 37.58536585],0
n2,1,0.039218,4.251379,[2 7] ; [15  9],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
s2,1,0.044338,4.043652,[ 2 13] ; [27 39],[5.37037037 9.62962963] ; [23.62962963 42.37037037],0
a7,1,0.055067,3.680048,[8 7] ; [52 15],[10.97560976  4.02439024] ; [49.02439024 17.97560976],0
a6,1,0.057428,3.610153,[7 8] ; [49 19],[10.12048193  4.87951807] ; [45.87951807 22.12048193],0
s8,1,0.062951,3.457885,[ 1 14] ; [20 47],[ 3.84146341 11.15853659] ; [17.15853659 49.84146341],0
s1,1,0.092603,2.828524,[ 2 13] ; [ 2 65],[ 0.73170732 14.26829268] ; [ 3.26829268 63.73170732],0
r2,1,0.111168,2.537534,[11  3] ; [62  5],[12.61728395  1.38271605] ; [60.38271605  6.61728395],0
n3,1,0.181904,1.782,[2 6] ; [13 12],[3.63636364 4.36363636] ; [11.36363636 13.63636364],0
s6,1,0.185468,1.753258,[ 5 10] ; [35 32],[7.31707317 7.68292683] ; [32.68292683 34.31707317],0
d2,1,0.228282,1.451531,[13  1] ; [53 14],[11.40740741  2.59259259] ; [54.59259259 12.40740741],0
d4,1,0.240288,1.378905,[14  1] ; [66  1],[14.63414634  0.36585366] ; [65.36585366  1.63414634],0
p6,1,0.255941,1.290579,[ 1 14] ; [12 52],[ 2.46835443 12.53164557] ; [10.53164557 53.46835443],0
a2,1,0.296115,1.091611,[ 3 12] ; [23 45],[ 4.69879518 10.30120482] ; [21.30120482 46.69879518],0
a1,1,0.313152,1.017333,[ 2 13] ; [ 4 64],[ 1.08433735 13.91566265] ; [ 4.91566265 63.08433735],0
n5,1,0.333352,0.935833,[7 8] ; [41 27],[8.6746988 6.3253012] ; [39.3253012 28.6746988],0
p11,1,0.364198,0.823365,[6 9] ; [36 32],[7.59036145 7.40963855] ; [34.40963855 33.59036145],0
v1,1,0.398583,0.712598,[ 4 11] ; [26 42],[5.42168675 9.57831325] ; [24.57831325 43.42168675],0
p10,1,0.400094,0.708045,[ 3 12] ; [21 47],[ 4.3373494 10.6626506] ; [19.6626506 48.3373494],0
v3,1,0.424397,0.638108,[ 3 12] ; [20 46],[ 4.25925926 10.74074074] ; [18.74074074 47.25925926],0
a4,1,0.437281,0.603407,[9 5] ; [36 32],[7.68292683 6.31707317] ; [37.31707317 30.68292683],0
b5,1,0.451043,0.56803,[7 8] ; [39 29],[8.31325301 6.68674699] ; [37.68674699 30.31325301],0
v2,1,0.45166,0.566482,[6 9] ; [34 33],[7.31707317 7.68292683] ; [32.68292683 34.31707317],0
a3,1,0.461016,0.543427,[12  3] ; [48 20],[10.84337349  4.15662651] ; [49.15662651 18.84337349],0
d5,1,0.48411,0.489592,[14  1] ; [66  2],[14.45783133  0.54216867] ; [65.54216867  2.45783133],0
p5,1,0.48411,0.489592,[ 1 14] ; [ 2 66],[ 0.54216867 14.45783133] ; [ 2.45783133 65.54216867],0
b2,1,0.563386,0.333875,[4 8] ; [11 33],[3.21428571 8.78571429] ; [11.78571429 32.21428571],0
b3,1,0.563386,0.333875,[4 8] ; [11 33],[3.21428571 8.78571429] ; [11.78571429 32.21428571],0
p1,1,0.592166,0.286974,[ 2 13] ; [ 6 62],[ 1.44578313 13.55421687] ; [ 6.55421687 61.44578313],0
b4,1,0.649733,0.206237,[9 6] ; [45 23],[9.75903614 5.24096386] ; [44.24096386 23.75903614],0
b1,1,0.770849,0.084835,[9 6] ; [38 30],[8.4939759 6.5060241] ; [38.5060241 29.4939759],0
p3,1,0.780698,0.077512,[ 4 11] ; [20 46],[ 4.44444444 10.55555556] ; [19.55555556 46.44444444],0
a8,1,0.808833,0.058531,[ 1 14] ; [ 3 56],[ 0.81081081 14.18918919] ; [ 3.18918919 55.81081081],0
n1,1,0.816571,0.053804,[3 6] ; [ 7 17],[2.72727273 6.27272727] ; [ 7.27272727 16.72727273],0
s5,1,0.818604,0.052597,[ 3 12] ; [15 51],[ 3.33333333 11.66666667] ; [14.66666667 51.33333333],0
s4,1,0.841049,0.040221,[ 2 13] ; [10 55],[ 2.25 12.75] ; [ 9.75 55.25],0
s3,1,0.850948,0.03531,[6 9] ; [29 39],[6.3253012 8.6746988] ; [28.6746988 39.3253012],0
s7,1,0.885945,0.020574,[4 9] ; [21 43],[4.22077922 8.77922078] ; [20.77922078 43.22077922],0
d3,1,0.891174,0.01872,[13  2] ; [58 10],[12.8313253  2.1686747] ; [58.1686747  9.8313253],0
a5,1,0.89309,0.018062,[11  4] ; [51 17],[11.20481928  3.79518072] ; [50.79518072 17.20481928],0
n4,1,0.971007,0.001321,[10  5] ; [45 23],[9.93975904 5.06024096] ; [45.06024096 22.93975904],0
