Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5.7e-05,16.216439,[ 95 207] ; [40 30],[109.59677419 192.40322581] ; [25.40322581 44.59677419],1
d2,1,0.000459,12.277002,[116 191] ; [43 28],[129.13492063 177.86507937] ; [29.86507937 41.13492063],1
s2,1,0.000497,12.128677,[ 76 230] ; [32 38],[ 87.89361702 218.10638298] ; [20.10638298 49.89361702],1
s6,1,0.001154,10.562833,[142 160] ; [48 22],[154.24731183 147.75268817] ; [35.75268817 34.24731183],0
p3,1,0.005745,7.628474,[115 195] ; [39 32],[125.30183727 184.69816273] ; [28.69816273 42.30183727],0
d1,1,0.006792,7.327101,[155 156] ; [48 23],[165.26963351 145.73036649] ; [37.73036649 33.26963351],0
p6,1,0.007208,7.220487,[ 73 234] ; [28 43],[ 82.02910053 224.97089947] ; [18.97089947 52.02910053],0
n4,1,0.033074,4.541936,[219  91] ; [59 12],[226.19422572  83.80577428] ; [51.80577428 19.19422572],0
r4,1,0.039,4.260875,[265  46] ; [67  4],[270.29319372  40.70680628] ; [61.70680628  9.29319372],0
r1,1,0.041231,4.166513,[219  90] ; [58 12],[225.83905013  83.16094987] ; [51.16094987 18.83905013],0
p8,1,0.044482,4.038189,[139 168] ; [41 29],[146.57824934 160.42175066] ; [33.42175066 36.57824934],0
p10,1,0.063687,3.438672,[231  74] ; [61 10],[236.86170213  68.13829787] ; [55.13829787 15.86170213],0
p4,1,0.086906,2.93077,[147 160] ; [42 29],[153.5 153.5] ; [35.5 35.5],0
d5,1,0.102301,2.669297,[234  76] ; [60 11],[239.21259843  70.78740157] ; [54.78740157 16.21259843],0
p5,1,0.118825,2.432736,[ 25 284] ; [ 2 69],[ 21.95526316 287.04473684] ; [ 5.04473684 65.95526316],0
a5,1,0.138368,2.19602,[199 112] ; [52 19],[204.34816754 106.65183246] ; [46.65183246 24.34816754],0
p7,1,0.146825,2.104935,[167 138] ; [45 25],[172.42666667 132.57333333] ; [39.57333333 30.42666667],0
a6,1,0.148017,2.092572,[216  95] ; [43 28],[210.86125654 100.13874346] ; [48.13874346 22.86125654],0
p2,1,0.163541,1.941176,[242  66] ; [61 10],[246.23746702  61.76253298] ; [56.76253298 14.23746702],0
v1,1,0.164066,1.936347,[142 163] ; [38 30],[147.1849866 157.8150134] ; [32.8150134 35.1849866],0
n2,1,0.180493,1.793562,[56 19] ; [8 6],[53.93258427 21.06741573] ; [10.06741573  3.93258427],0
v3,1,0.181189,1.787848,[ 90 211] ; [26 42],[ 94.62330623 206.37669377] ; [21.37669377 46.62330623],0
p9,1,0.187879,1.734172,[241  64] ; [61 10],[244.97340426  60.02659574] ; [57.02659574 13.97340426],0
p11,1,0.192048,1.701837,[246  65] ; [61 10],[249.93979058  61.06020942] ; [57.06020942 13.93979058],0
s1,1,0.216226,1.529243,[  3 303] ; [ 2 68],[  4.06914894 301.93085106] ; [ 0.93085106 69.06914894],0
s5,1,0.225442,1.469387,[ 69 233] ; [20 47],[ 72.8401084 229.1598916] ; [16.1598916 50.8401084],0
n3,1,0.26072,1.264931,[58 18] ; [8 5],[56.35955056 19.64044944] ; [9.64044944 3.35955056],0
b2,1,0.269556,1.219003,[ 50 109] ; [17 25],[ 53. 106.] ; [14. 28.],0
b3,1,0.269556,1.219003,[ 50 109] ; [17 25],[ 53. 106.] ; [14. 28.],0
b5,1,0.32009,0.988581,[195 116] ; [40 31],[191.32198953 119.67801047] ; [43.67801047 27.32198953],0
u3,1,0.35184,0.866809,[62 68] ; [15 11],[64.16666667 65.83333333] ; [12.83333333 13.16666667],0
v2,1,0.358654,0.8426,[149 146] ; [38 29],[152.38950276 142.61049724] ; [34.61049724 32.38950276],0
r3,1,0.371953,0.797128,[286  22] ; [68  3],[287.68337731  20.31662269] ; [66.31662269  4.68337731],0
a3,1,0.39977,0.709017,[179 130] ; [45 26],[182.14736842 126.85263158] ; [41.85263158 29.14736842],0
b1,1,0.462472,0.539906,[104 207] ; [27 44],[106.65183246 204.34816754] ; [24.34816754 46.65183246],0
d4,1,0.46528,0.533162,[241  69] ; [58 13],[243.2808399  66.7191601] ; [55.7191601 15.2808399],0
a4,1,0.473603,0.513557,[116 192] ; [30 41],[118.64907652 189.35092348] ; [27.35092348 43.64907652],0
a8,1,0.476435,0.507014,[ 29 254] ; [ 9 59],[ 30.63817664 252.36182336] ; [ 7.36182336 60.63817664],0
u4,1,0.51158,0.430834,[  2 308] ; [ 1 70],[  2.44094488 307.55905512] ; [ 0.55905512 70.44094488],0
b4,1,0.512985,0.427974,[184 127] ; [45 26],[186.43717277 124.56282723] ; [42.56282723 28.43717277],0
s4,1,0.518826,0.416226,[ 42 260] ; [12 59],[ 43.72117962 258.27882038] ; [10.27882038 60.72117962],0
p1,1,0.530795,0.39287,[ 24 284] ; [ 4 67],[ 22.75461741 285.24538259] ; [ 5.24538259 65.75461741],0
p12,1,0.591407,0.288153,[ 17 293] ; [ 5 65],[ 17.94736842 292.05263158] ; [ 4.05263158 65.94736842],0
n1,1,0.656137,0.19825,[22 52] ; [5 9],[22.70454545 51.29545455] ; [4.29545455 9.70454545],0
a7,1,0.680299,0.169789,[222  87] ; [52 18],[223.39313984  85.60686016] ; [50.60686016 19.39313984],0
v4,1,0.703071,0.145296,[290  18] ; [66  5],[289.30870712  18.69129288] ; [66.69129288  4.30870712],0
r2,1,0.704986,0.143337,[279  26] ; [65  5],[279.78666667  25.21333333] ; [64.21333333  5.78666667],0
a1,1,0.76269,0.091174,[ 11 300] ; [ 2 69],[ 10.58376963 300.41623037] ; [ 2.41623037 68.58376963],0
u1,1,0.795217,0.067362,[ 36 275] ; [ 9 62],[ 36.63612565 274.36387435] ; [ 8.36387435 62.63612565],0
a2,1,0.798712,0.065032,[ 53 258] ; [13 58],[ 53.73298429 257.26701571] ; [12.26701571 58.73298429],0
n5,1,0.814351,0.055139,[225  84] ; [50 20],[224.20844327  84.79155673] ; [50.79155673 19.20844327],0
u2,1,0.911238,0.012427,[58 71] ; [12 14],[58.25806452 70.74193548] ; [11.74193548 14.25806452],0
d3,1,0.911589,0.012329,[203 107] ; [46 25],[202.5984252 107.4015748] ; [46.4015748 24.5984252],0
