Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,7.4e-05,15.714386,[60 63] ; [ 9 44],[48.22159091 74.77840909] ; [20.77840909 32.22159091],1
a3,1,0.000303,13.051063,[100  22] ; [29 23],[90.44827586 31.55172414] ; [38.55172414 13.44827586],1
d5,1,0.000372,12.665793,[101  22] ; [30 23],[91.55113636 31.44886364] ; [39.44886364 13.55113636],1
a4,1,0.000413,12.472766,[64 59] ; [12 40],[53.41714286 69.58285714] ; [22.58285714 29.41714286],1
d1,1,0.000428,12.405927,[68 55] ; [14 39],[57.30681818 65.69318182] ; [24.69318182 28.30681818],1
r1,1,0.009192,6.785099,[103  18] ; [36 17],[96.66091954 24.33908046] ; [42.33908046 10.66091954],0
a6,1,0.023178,5.155134,[82 40] ; [26 27],[75.29142857 46.70857143] ; [32.70857143 20.29142857],0
u1,1,0.028403,4.803414,[ 19 104] ; [ 2 51],[ 14.67613636 108.32386364] ; [ 6.32386364 46.67613636],0
s7,1,0.046055,3.979597,[57 62] ; [16 35],[51.1 67.9] ; [21.9 29.1],0
p8,1,0.064956,3.40609,[45 75] ; [12 40],[39.76744186 80.23255814] ; [17.23255814 34.76744186],0
n5,1,0.081397,3.036791,[87 34] ; [31 22],[82.05747126 38.94252874] ; [35.94252874 17.05747126],0
n3,1,0.082823,3.008609,[23 13] ; [14  2],[25.61538462 10.38461538] ; [11.38461538  4.61538462],0
s8,1,0.099238,2.717747,[53 69] ; [16 37],[48.10285714 73.89714286] ; [20.89714286 32.10285714],0
r4,1,0.108949,2.569397,[107  16] ; [41 12],[103.43181818  19.56818182] ; [44.56818182  8.43181818],0
s5,1,0.109363,2.563403,[41 78] ; [11 39],[36.61538462 82.38461538] ; [15.38461538 34.61538462],0
b5,1,0.172911,1.857525,[85 38] ; [31 22],[81.06818182 41.93181818] ; [34.93181818 18.06818182],0
d4,1,0.198149,1.655963,[101  22] ; [39 14],[97.84090909 25.15909091] ; [42.15909091 10.84090909],0
v2,1,0.203176,1.619399,[77 39] ; [28 22],[73.37349398 42.62650602] ; [31.62650602 18.37349398],0
n4,1,0.206023,1.599153,[87 34] ; [33 20],[83.44827586 37.55172414] ; [36.55172414 16.44827586],0
s3,1,0.21244,1.554721,[62 59] ; [32 20],[65.74566474 55.25433526] ; [28.25433526 23.74566474],0
b1,1,0.223703,1.48046,[49 74] ; [16 37],[45.42613636 77.57386364] ; [19.57386364 33.42613636],0
p5,1,0.258469,1.276938,[  7 114] ; [ 1 52],[  5.56321839 115.43678161] ; [ 2.43678161 50.56321839],0
d3,1,0.326862,0.961289,[77 46] ; [29 24],[74.07954545 48.92045455] ; [31.92045455 21.07954545],0
v3,1,0.336521,0.923641,[52 65] ; [19 33],[49.15384615 67.84615385] ; [21.84615385 30.15384615],0
n6,1,0.339849,0.911003,[92 28] ; [37 16],[89.47976879 30.52023121] ; [39.52023121 13.47976879],0
s2,1,0.350096,0.87311,[60 62] ; [22 31],[57.16571429 64.83428571] ; [24.83428571 28.16571429],0
p3,1,0.359059,0.841182,[38 83] ; [13 40],[35.46551724 85.53448276] ; [15.53448276 37.46551724],0
b2,1,0.362543,0.829064,[36 34] ; [12 17],[33.93939394 36.06060606] ; [14.06060606 14.93939394],0
b3,1,0.362543,0.829064,[36 34] ; [12 17],[33.93939394 36.06060606] ; [14.06060606 14.93939394],0
p7,1,0.371107,0.799954,[54 60] ; [28 23],[56.65454545 57.34545455] ; [25.34545455 25.65454545],0
r3,1,0.379527,0.772233,[112   9] ; [46  6],[110.50867052  10.49132948] ; [47.49132948  4.50867052],0
v4,1,0.390195,0.738334,[113   7] ; [48  5],[111.67630058   8.32369942] ; [49.32369942  3.67630058],0
a8,1,0.459632,0.54679,[19 94] ; [ 6 43],[17.4382716 95.5617284] ; [ 7.5617284 41.4382716],0
n1,1,0.503454,0.447649,[14 21] ; [8 8],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
p2,1,0.512211,0.429548,[91 31] ; [37 16],[89.23428571 32.76571429] ; [38.76571429 14.23428571],0
p11,1,0.552021,0.35371,[89 34] ; [36 17],[87.35795455 35.64204545] ; [37.64204545 15.35795455],0
