Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.7e-05,17.592441,[ 4 33] ; [48 47],[14.57575758 22.42424242] ; [37.42424242 57.57575758],1
p7,1,0.000207,13.763819,[10 25] ; [60 32],[19.29133858 15.70866142] ; [50.70866142 41.29133858],1
b1,1,0.005624,7.666982,[23 14] ; [35 63],[15.8962963 21.1037037] ; [42.1037037 55.8962963],0
p9,1,0.018527,5.545641,[27  9] ; [88  9],[31.12781955  4.87218045] ; [83.87218045 13.12781955],0
n1,1,0.043614,4.071429,[10  4] ; [ 9 15],[7. 7.] ; [12. 12.],0
p12,1,0.048424,3.895212,[ 5 31] ; [ 4 92],[ 2.45454545 33.54545455] ; [ 6.54545455 89.45454545],0
p11,1,0.054973,3.682909,[24 13] ; [79 19],[28.22962963  8.77037037] ; [74.77037037 23.22962963],0
p10,1,0.080345,3.057915,[27  9] ; [84 12],[30.27272727  5.72727273] ; [80.72727273 15.27272727],0
s4,1,0.124504,2.359723,[10 27] ; [15 82],[ 6.90298507 30.09701493] ; [18.09701493 78.90298507],0
a7,1,0.1334,2.252482,[21 16] ; [69 29],[24.66666667 12.33333333] ; [65.33333333 32.66666667],0
b2,1,0.146572,2.107564,[ 9 21] ; [28 33],[12.1978022 17.8021978] ; [24.8021978 36.1978022],0
b3,1,0.146572,2.107564,[ 9 21] ; [28 33],[12.1978022 17.8021978] ; [24.8021978 36.1978022],0
p1,1,0.161463,1.960474,[ 5 32] ; [ 6 92],[ 3.01481481 33.98518519] ; [ 7.98518519 90.01481481],0
p5,1,0.19086,1.710964,[ 3 33] ; [ 3 95],[ 1.6119403 34.3880597] ; [ 4.3880597 93.6119403],0
r3,1,0.204366,1.610895,[34  3] ; [95  3],[35.35555556  1.64444444] ; [93.64444444  4.35555556],0
a1,1,0.204366,1.610895,[ 3 34] ; [ 3 95],[ 1.64444444 35.35555556] ; [ 4.35555556 93.64444444],0
p3,1,0.207894,1.586032,[ 9 28] ; [35 63],[12.05925926 24.94074074] ; [31.94074074 66.05925926],0
u2,1,0.240848,1.375624,[9 3] ; [12 10],[7.41176471 4.58823529] ; [13.58823529  8.41176471],0
a3,1,0.246118,1.345205,[25 12] ; [75 22],[27.6119403  9.3880597] ; [72.3880597 24.6119403],0
a8,1,0.268717,1.223282,[ 4 32] ; [17 71],[ 6.09677419 29.90322581] ; [14.90322581 73.09677419],0
b4,1,0.342516,0.900993,[23 14] ; [52 46],[20.55555556 16.44444444] ; [54.44444444 43.55555556],0
v4,1,0.346636,0.885735,[34  3] ; [94  4],[35.08148148  1.91851852] ; [92.91851852  5.08148148],0
a5,1,0.354417,0.857578,[29  8] ; [69 29],[26.85925926 10.14074074] ; [71.14074074 26.85925926],0
p6,1,0.3731,0.793314,[ 7 30] ; [25 70],[ 8.96969697 28.03030303] ; [23.03030303 71.96969697],0
s6,1,0.377441,0.779021,[31  5] ; [77 20],[29.23308271  6.76691729] ; [78.76691729 18.23308271],0
n4,1,0.405406,0.692232,[30  7] ; [72 25],[28.1641791  8.8358209] ; [73.8358209 23.1641791],0
d2,1,0.42006,0.650146,[21 16] ; [48 50],[18.91111111 18.08888889] ; [50.08888889 47.91111111],0
s5,1,0.430747,0.620809,[16 19] ; [35 57],[14.05511811 20.94488189] ; [36.94488189 55.05511811],0
n5,1,0.431755,0.618097,[28  9] ; [66 30],[26.15037594 10.84962406] ; [67.84962406 28.15037594],0
a2,1,0.440224,0.595698,[ 9 28] ; [18 80],[ 7.4 29.6] ; [19.6 78.4],0
s2,1,0.457188,0.55277,[22 15] ; [65 33],[23.84444444 13.15555556] ; [63.15555556 34.84444444],0
d1,1,0.459815,0.546345,[23 14] ; [54 44],[21.1037037 15.8962963] ; [55.8962963 42.1037037],0
v3,1,0.474481,0.511522,[17 16] ; [43 54],[15.23076923 17.76923077] ; [44.76923077 52.23076923],0
v1,1,0.484618,0.488454,[18 19] ; [51 41],[19.79069767 17.20930233] ; [49.20930233 42.79069767],0
s3,1,0.496425,0.462571,[25 12] ; [72 26],[26.58518519 10.41481481] ; [70.41481481 27.58518519],0
n3,1,0.510416,0.433215,[8 5] ; [18  7],[8.89473684 4.10526316] ; [17.10526316  7.89473684],0
r2,1,0.532706,0.389228,[36  1] ; [91  5],[35.33082707  1.66917293] ; [91.66917293  4.33082707],0
s1,1,0.535547,0.383856,[ 2 35] ; [ 3 93],[ 1.39097744 35.60902256] ; [ 3.60902256 92.39097744],0
a4,1,0.545817,0.364865,[18 19] ; [42 56],[16.44444444 20.55555556] ; [43.55555556 54.44444444],0
s7,1,0.567377,0.32709,[27  8] ; [70 27],[25.71969697  9.28030303] ; [71.28030303 25.71969697],0
