Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,33.825124,[ 9 60] ; [44 29],[25.75352113 43.24647887] ; [27.24647887 45.75352113],1
s3,1,0.0,29.482486,[14 52] ; [49 24],[29.91366906 36.08633094] ; [33.08633094 39.91366906],1
s5,1,4.6e-05,16.596194,[ 4 61] ; [24 45],[13.58208955 51.41791045] ; [14.41791045 54.58208955],1
s8,1,6.9e-05,15.84869,[10 59] ; [33 40],[20.8943662 48.1056338] ; [22.1056338 50.8943662],1
v4,1,8.6e-05,15.417233,[46 23] ; [67  5],[55.29787234 13.70212766] ; [57.70212766 14.29787234],1
p10,1,0.000168,14.154436,[37 30] ; [60 11],[47.0942029 19.9057971] ; [49.9057971 21.0942029],1
p2,1,0.000223,13.627888,[38 29] ; [62 11],[47.85714286 19.14285714] ; [52.14285714 20.85714286],1
s7,1,0.000248,13.429707,[14 51] ; [36 33],[24.25373134 40.74626866] ; [25.74626866 43.25373134],1
v1,1,0.000389,12.586098,[17 49] ; [39 31],[27.17647059 38.82352941] ; [28.82352941 41.17647059],1
p11,1,0.000664,11.588329,[41 28] ; [62 11],[50.04929577 18.95070423] ; [52.95070423 20.04929577],1
r3,1,0.000833,11.166786,[46 22] ; [66  7],[54.0141844 13.9858156] ; [57.9858156 15.0141844],1
u2,1,0.001801,9.742351,[ 6 19] ; [17  8],[11.5 13.5] ; [11.5 13.5],0
p9,1,0.002508,9.134598,[45 21] ; [65  8],[52.23021583 13.76978417] ; [57.76978417 15.23021583],0
p7,1,0.004055,8.258828,[26 43] ; [44 27],[34.5 34.5] ; [35.5 35.5],0
r4,1,0.004578,8.039018,[31 38] ; [50 23],[39.35915493 29.64084507] ; [41.64084507 31.35915493],0
b2,1,0.004967,7.891402,[22 20] ; [12 38],[15.52173913 26.47826087] ; [18.47826087 31.52173913],0
b3,1,0.004967,7.891402,[22 20] ; [12 38],[15.52173913 26.47826087] ; [18.47826087 31.52173913],0
u3,1,0.005479,7.714286,[ 3 22] ; [12 13],[ 7.5 17.5] ; [ 7.5 17.5],0
p4,1,0.006637,7.368557,[25 42] ; [44 29],[33.02142857 33.97857143] ; [35.97857143 37.02142857],0
v2,1,0.011419,6.398847,[22 45] ; [38 32],[29.34306569 37.65693431] ; [30.65693431 39.34306569],0
d4,1,0.014291,6.00189,[43 26] ; [59 14],[49.56338028 19.43661972] ; [52.43661972 20.56338028],0
d3,1,0.019359,5.46877,[29 40] ; [45 28],[35.95774648 33.04225352] ; [38.04225352 34.95774648],0
p12,1,0.022529,5.204494,[ 1 66] ; [ 8 65],[ 4.30714286 62.69285714] ; [ 4.69285714 68.30714286],0
p5,1,0.025443,4.993459,[ 4 65] ; [13 59],[ 8.31914894 60.68085106] ; [ 8.68085106 63.31914894],0
p1,1,0.04263,4.110008,[11 58] ; [ 4 69],[ 7.28873239 61.71126761] ; [ 7.71126761 65.28873239],0
p6,1,0.046339,3.969246,[15 49] ; [28 43],[20.38518519 43.61481481] ; [22.61481481 48.38518519],0
p3,1,0.065297,3.397459,[24 44] ; [37 36],[29.41843972 38.58156028] ; [31.58156028 41.41843972],0
s4,1,0.072698,3.221027,[ 6 63] ; [14 59],[ 9.71830986 59.28169014] ; [10.28169014 62.71830986],0
n6,1,0.088343,2.90432,[51 17] ; [63 10],[54.9787234 13.0212766] ; [59.0212766 13.9787234],0
v3,1,0.130404,2.287685,[18 51] ; [27 44],[22.17857143 46.82142857] ; [22.82142857 48.17857143],0
a7,1,0.139256,2.186164,[35 34] ; [46 27],[39.35915493 29.64084507] ; [41.64084507 31.35915493],0
p8,1,0.16059,1.968661,[22 45] ; [32 40],[26.02877698 40.97122302] ; [27.97122302 44.02877698],0
a4,1,0.170685,1.876913,[29 39] ; [23 50],[25.07801418 42.92198582] ; [26.92198582 46.07801418],0
u1,1,0.262269,1.256742,[ 6 63] ; [ 3 70],[ 4.37323944 64.62676056] ; [ 4.62676056 68.37323944],0
a2,1,0.368304,0.809378,[10 59] ; [ 7 66],[ 8.26056338 60.73943662] ; [ 8.73943662 64.26056338],0
b1,1,0.427088,0.630728,[31 38] ; [28 45],[28.66901408 40.33098592] ; [30.33098592 42.66901408],0
n2,1,0.434089,0.611858,[16  7] ; [16  4],[17.11627907  5.88372093] ; [14.88372093  5.11627907],0
n3,1,0.434089,0.611858,[16  7] ; [16  4],[17.11627907  5.88372093] ; [14.88372093  5.11627907],0
a1,1,0.443252,0.58785,[ 5 64] ; [ 8 65],[ 6.31690141 62.68309859] ; [ 6.68309859 66.31690141],0
a8,1,0.532676,0.389284,[ 8 58] ; [ 6 62],[ 6.89552239 59.10447761] ; [ 7.10447761 60.89552239],0
r2,1,0.546624,0.363401,[50 15] ; [56 13],[51.41791045 13.58208955] ; [54.58208955 14.41791045],0
n5,1,0.573625,0.316655,[56 13] ; [61 11],[57.25531915 11.74468085] ; [59.74468085 12.25531915],0
b5,1,0.665224,0.187239,[42 27] ; [47 26],[43.24647887 25.75352113] ; [45.75352113 27.24647887],0
d5,1,0.689741,0.159365,[48 21] ; [53 20],[49.07746479 19.92253521] ; [51.92253521 21.07746479],0
a5,1,0.773922,0.082511,[39 30] ; [43 30],[39.84507042 29.15492958] ; [42.15492958 30.84507042],0
b4,1,0.780216,0.077862,[40 29] ; [44 29],[40.81690141 28.18309859] ; [43.18309859 29.81690141],0
