Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000386,12.6,[ 2 33] ; [4 3],[ 5. 30.] ; [1. 6.],1
s6,1,0.000722,11.430895,[ 6 29] ; [5 1],[ 9.3902439 25.6097561] ; [1.6097561 4.3902439],1
p2,1,0.002492,9.146667,[ 9 26] ; [6 1],[12.5 22.5] ; [2.5 4.5],0
s3,1,0.003043,8.781739,[ 9 25] ; [6 1],[12.43902439 21.56097561] ; [2.56097561 4.43902439],0
p7,1,0.011163,6.439257,[ 8 27] ; [5 2],[10.83333333 24.16666667] ; [2.16666667 4.83333333],0
p4,1,0.011163,6.439257,[ 8 27] ; [5 2],[10.83333333 24.16666667] ; [2.16666667 4.83333333],0
p3,1,0.011163,6.439257,[ 8 27] ; [5 2],[10.83333333 24.16666667] ; [2.16666667 4.83333333],0
v2,1,0.013137,6.150568,[ 8 26] ; [5 2],[10.7804878 23.2195122] ; [2.2195122 4.7804878],0
r4,1,0.01796,5.6,[ 3 32] ; [3 4],[ 5. 30.] ; [1. 6.],0
s2,1,0.023313,5.145,[ 6 29] ; [4 3],[ 8.33333333 26.66666667] ; [1.66666667 5.33333333],0
b1,1,0.038434,4.285714,[15 20] ; [6 1],[17.5 17.5] ; [3.5 3.5],0
s5,1,0.038787,4.270153,[ 2 32] ; [2 4],[ 3.4 30.6] ; [0.6 5.4],0
a8,1,0.04167,4.148571,[ 4 31] ; [3 4],[ 5.83333333 29.16666667] ; [1.16666667 5.83333333],0
p8,1,0.051906,3.77879,[ 4 29] ; [3 4],[ 5.775 27.225] ; [1.225 5.775],0
p9,1,0.052696,3.75354,[15 18] ; [6 1],[17.325 15.675] ; [3.675 3.325],0
s7,1,0.080175,3.061354,[ 6 28] ; [3 3],[ 7.65 26.35] ; [1.35 4.65],0
p10,1,0.107071,2.596933,[13 21] ; [5 2],[14.92682927 19.07317073] ; [3.07317073 3.92682927],0
v3,1,0.11387,2.499677,[ 7 28] ; [3 3],[ 8.53658537 26.46341463] ; [1.46341463 4.53658537],0
a2,1,0.135805,2.224865,[ 3 32] ; [2 5],[ 4.16666667 30.83333333] ; [0.83333333 6.16666667],0
u2,1,0.179712,1.8,[ 2 14] ; [1 1],[ 2.66666667 13.33333333] ; [0.33333333 1.66666667],0
a5,1,0.269004,1.221818,[17 18] ; [5 2],[18.33333333 16.66666667] ; [3.66666667 3.33333333],0
d4,1,0.325062,0.968471,[22 13] ; [3 4],[20.83333333 14.16666667] ; [4.16666667 2.83333333],0
a6,1,0.331796,0.941876,[18 17] ; [5 2],[19.16666667 15.83333333] ; [3.83333333 3.16666667],0
b5,1,0.331796,0.941876,[18 17] ; [5 2],[19.16666667 15.83333333] ; [3.83333333 3.16666667],0
a4,1,0.385549,0.752934,[ 9 25] ; [3 4],[ 9.95121951 24.04878049] ; [2.04878049 4.95121951],0
d5,1,0.402784,0.7,[19 16] ; [5 2],[20. 15.] ; [4. 3.],0
a3,1,0.402784,0.7,[19 16] ; [5 2],[20. 15.] ; [4. 3.],0
p11,1,0.488174,0.480549,[15 20] ; [4 3],[15.83333333 19.16666667] ; [3.16666667 3.83333333],0
b2,1,0.565927,0.329545,[10 15] ; [1 3],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
b3,1,0.565927,0.329545,[10 15] ; [1 3],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
a7,1,0.580483,0.305455,[16 19] ; [4 3],[16.66666667 18.33333333] ; [3.33333333 3.66666667],0
r2,1,0.622496,0.242375,[15 17] ; [4 3],[15.58974359 16.41025641] ; [3.41025641 3.58974359],0
n4,1,0.665706,0.186667,[23 12] ; [4 3],[22.5 12.5] ; [4.5 2.5],0
b4,1,0.665706,0.186667,[23 12] ; [4 3],[22.5 12.5] ; [4.5 2.5],0
d3,1,0.678845,0.171429,[18 17] ; [3 4],[17.5 17.5] ; [3.5 3.5],0
d2,1,0.730626,0.118537,[17 17] ; [3 4],[16.58536585 17.41463415] ; [3.41463415 3.58536585],0
n6,1,0.730626,0.118537,[17 17] ; [4 3],[17.41463415 16.58536585] ; [3.58536585 3.41463415],0
n2,1,0.848936,0.036281,[6 8] ; [1 1],[6.125 7.875] ; [0.875 1.125],0
s4,1,0.8531,0.034286,[ 6 29] ; [1 6],[ 5.83333333 29.16666667] ; [1.16666667 5.83333333],0
p1,1,0.8531,0.034286,[ 6 29] ; [1 6],[ 5.83333333 29.16666667] ; [1.16666667 5.83333333],0
n5,1,0.881342,0.022281,[24 11] ; [5 2],[24.16666667 10.83333333] ; [4.83333333 2.16666667],0
d1,1,0.888196,0.019765,[14 21] ; [3 4],[14.16666667 20.83333333] ; [2.83333333 4.16666667],0
v1,1,0.909048,0.013051,[ 9 25] ; [2 5],[ 9.12195122 24.87804878] ; [1.87804878 5.12195122],0
n1,1,1.0,0.0,[7 7] ; [1 1],[7. 7.] ; [1. 1.],0
