Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.7e-05,18.553086,[8 4] ; [ 1 26],[2.76923077 9.23076923] ; [ 6.23076923 20.76923077],1
s6,1,2.4e-05,17.816346,[8 3] ; [ 2 26],[2.82051282 8.17948718] ; [ 7.17948718 20.82051282],1
p3,1,0.000281,13.190028,[8 4] ; [ 3 25],[3.3 8.7] ; [ 7.7 20.3],1
r4,1,0.001436,10.15873,[7 5] ; [ 3 25],[3. 9.] ; [ 7. 21.],0
p6,1,0.002424,9.197391,[5 7] ; [ 1 26],[ 1.84615385 10.15384615] ; [ 4.15384615 22.84615385],0
p7,1,0.004249,8.174354,[7 5] ; [ 4 24],[3.3 8.7] ; [ 7.7 20.3],0
p2,1,0.004249,8.174354,[7 5] ; [ 4 24],[3.3 8.7] ; [ 7.7 20.3],0
r3,1,0.006488,7.409573,[9 3] ; [ 8 20],[5.1 6.9] ; [11.9 16.1],0
n6,1,0.012903,6.182356,[7 5] ; [ 5 22],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
d3,1,0.042961,4.096943,[8 4] ; [ 9 19],[5.1 6.9] ; [11.9 16.1],0
s3,1,0.051508,3.791667,[7 5] ; [ 7 20],[4.30769231 7.69230769] ; [ 9.69230769 17.30769231],0
n3,1,0.060761,3.516484,[3 1] ; [ 4 12],[1.4 2.6] ; [ 5.6 10.4],0
a5,1,0.06211,3.480129,[9 3] ; [12 16],[6.3 5.7] ; [14.7 13.3],0
n4,1,0.07076,3.265306,[6 6] ; [22  6],[8.4 3.6] ; [19.6  8.4],0
b5,1,0.071355,3.251563,[8 4] ; [10 18],[5.4 6.6] ; [12.6 15.4],0
p8,1,0.090628,2.863178,[3 8] ; [ 2 26],[1.41025641 9.58974359] ; [ 3.58974359 24.41025641],0
s5,1,0.090628,2.863178,[3 8] ; [ 2 26],[1.41025641 9.58974359] ; [ 3.58974359 24.41025641],0
s2,1,0.111017,2.539683,[5 7] ; [ 5 23],[3. 9.] ; [ 7. 21.],0
n5,1,0.121274,2.400794,[5 7] ; [19  9],[7.2 4.8] ; [16.8 11.2],0
r2,1,0.214947,1.537793,[9 3] ; [14 12],[7.26315789 4.73684211] ; [15.73684211 10.26315789],0
v3,1,0.21706,1.523701,[4 7] ; [ 5 23],[2.53846154 8.46153846] ; [ 6.46153846 21.53846154],0
b2,1,0.227195,1.458333,[2 6] ; [10 10],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
b3,1,0.227195,1.458333,[2 6] ; [10 10],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
s7,1,0.257359,1.282909,[3 8] ; [ 3 22],[1.83333333 9.16666667] ; [ 4.16666667 20.83333333],0
v1,1,0.291841,1.111111,[5 7] ; [ 7 21],[3.6 8.4] ; [ 8.4 19.6],0
p9,1,0.325603,0.966307,[5 7] ; [ 7 20],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
p1,1,0.439506,0.597572,[ 1 11] ; [ 5 23],[ 1.8 10.2] ; [ 4.2 23.8],0
s1,1,0.439506,0.597572,[ 1 11] ; [ 5 23],[ 1.8 10.2] ; [ 4.2 23.8],0
u3,1,0.45675,0.553846,[1 4] ; [ 1 12],[0.55555556 4.44444444] ; [ 1.44444444 11.55555556],0
p10,1,0.463291,0.537931,[4 8] ; [ 6 21],[3.07692308 8.92307692] ; [ 6.92307692 20.07692308],0
d5,1,0.490153,0.47619,[7 5] ; [13 15],[6. 6.] ; [14. 14.],0
a7,1,0.490153,0.47619,[7 5] ; [13 15],[6. 6.] ; [14. 14.],0
s8,1,0.526572,0.401003,[ 1 11] ; [ 1 27],[ 0.6 11.4] ; [ 1.4 26.6],0
d2,1,0.590438,0.289661,[6 6] ; [11 16],[5.23076923 6.76923077] ; [11.76923077 15.23076923],0
a8,1,0.601921,0.272109,[ 1 11] ; [ 4 24],[ 1.5 10.5] ; [ 3.5 24.5],0
a2,1,0.601921,0.272109,[ 2 10] ; [ 3 25],[ 1.5 10.5] ; [ 3.5 24.5],0
a6,1,0.677318,0.17316,[6 6] ; [12 16],[5.4 6.6] ; [12.6 15.4],0
d1,1,0.763285,0.090703,[4 8] ; [ 8 20],[3.6 8.4] ; [ 8.4 19.6],0
a4,1,0.817085,0.053498,[4 8] ; [ 8 19],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
n2,1,0.822187,0.050505,[2 2] ; [7 9],[1.8 2.2] ; [7.2 8.8],0
n1,1,0.822187,0.050505,[2 2] ; [7 9],[1.8 2.2] ; [7.2 8.8],0
b4,1,0.835792,0.042965,[6 6] ; [15 13],[6.3 5.7] ; [14.7 13.3],0
s4,1,0.846758,0.037348,[ 2 10] ; [ 4 24],[ 1.8 10.2] ; [ 4.2 23.8],0
a3,1,0.871731,0.02607,[7 5] ; [15 12],[6.76923077 5.23076923] ; [15.23076923 11.76923077],0
r1,1,0.887981,0.019841,[5 7] ; [11 17],[4.8 7.2] ; [11.2 16.8],0
b1,1,0.887981,0.019841,[7 5] ; [17 11],[7.2 4.8] ; [16.8 11.2],0
u2,1,0.888153,0.01978,[1 4] ; [ 3 10],[1.11111111 3.88888889] ; [ 2.88888889 10.11111111],0
d4,1,0.944356,0.004872,[7 5] ; [16 12],[6.9 5.1] ; [16.1 11.9],0
