Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.00096,10.903319,[15  8] ; [16 45],[ 8.48809524 14.51190476] ; [22.51190476 38.48809524],1
p11,1,0.000971,10.881535,[ 6 17] ; [41 21],[12.71764706 10.28235294] ; [34.28235294 27.71764706],1
a3,1,0.002513,9.131382,[19  4] ; [28 33],[12.86904762 10.13095238] ; [34.13095238 26.86904762],0
a4,1,0.01383,6.059732,[12 11] ; [15 47],[ 7.30588235 15.69411765] ; [19.69411765 42.30588235],0
s6,1,0.019148,5.48796,[ 5 18] ; [31 31],[ 9.74117647 13.25882353] ; [26.25882353 35.74117647],0
p9,1,0.020478,5.370716,[ 9 12] ; [44 18],[13.40963855  7.59036145] ; [39.59036145 22.40963855],0
a1,1,0.023499,5.131257,[ 4 19] ; [ 2 60],[ 1.62352941 21.37647059] ; [ 4.37647059 57.62352941],0
d1,1,0.024644,5.048738,[14  9] ; [21 41],[ 9.47058824 13.52941176] ; [25.52941176 36.47058824],0
d5,1,0.032507,4.571537,[20  3] ; [39 23],[15.96470588  7.03529412] ; [43.03529412 18.96470588],0
a5,1,0.041065,4.173338,[15  8] ; [25 37],[10.82352941 12.17647059] ; [29.17647059 32.82352941],0
a2,1,0.041844,4.141487,[ 5 18] ; [ 4 58],[ 2.43529412 20.56470588] ; [ 6.56470588 55.43529412],0
p4,1,0.048364,3.897299,[ 5 17] ; [29 33],[ 8.9047619 13.0952381] ; [25.0952381 36.9047619],0
p7,1,0.050011,3.841092,[ 5 16] ; [29 31],[ 8.81481481 12.18518519] ; [25.18518519 34.81481481],0
p3,1,0.054162,3.707707,[ 3 19] ; [22 40],[ 6.54761905 15.45238095] ; [18.45238095 43.54761905],0
a6,1,0.081721,3.030336,[16  7] ; [30 32],[12.44705882 10.55294118] ; [33.55294118 28.44705882],0
s5,1,0.084998,2.966646,[ 1 21] ; [12 47],[ 3.5308642 18.4691358] ; [ 9.4691358 49.5308642],0
r3,1,0.102772,2.661988,[11 12] ; [41 20],[14.23809524  8.76190476] ; [37.76190476 23.23809524],0
n6,1,0.104451,2.636228,[12 11] ; [44 18],[15.15294118  7.84705882] ; [40.84705882 21.15294118],0
s1,1,0.115908,2.471764,[ 2 21] ; [ 1 61],[ 0.81176471 22.18823529] ; [ 2.18823529 59.81176471],0
s8,1,0.128915,2.305525,[ 3 20] ; [18 44],[ 5.68235294 17.31764706] ; [15.31764706 46.68235294],0
b3,1,0.134957,2.234535,[6 6] ; [ 9 25],[3.91304348 8.08695652] ; [11.08695652 22.91304348],0
b2,1,0.134957,2.234535,[6 6] ; [ 9 25],[3.91304348 8.08695652] ; [11.08695652 22.91304348],0
p6,1,0.142094,2.155132,[ 3 19] ; [18 43],[ 5.56626506 16.43373494] ; [15.43373494 45.56626506],0
d4,1,0.163686,1.939843,[19  4] ; [41 20],[16.42857143  6.57142857] ; [43.57142857 17.42857143],0
v2,1,0.188484,1.729424,[12 10] ; [23 37],[ 9.3902439 12.6097561] ; [25.6097561 34.3902439],0
n3,1,0.201537,1.631198,[6 8] ; [19 11],[7.95454545 6.04545455] ; [17.04545455 12.95454545],0
s7,1,0.213631,1.546645,[ 6 16] ; [25 34],[ 8.41975309 13.58024691] ; [22.58024691 36.41975309],0
u3,1,0.216962,1.524354,[3 1] ; [14 19],[1.83783784 2.16216216] ; [15.16216216 17.83783784],0
p8,1,0.225763,1.467358,[ 6 17] ; [25 37],[ 8.38823529 14.61176471] ; [22.61176471 39.38823529],0
n5,1,0.249609,1.325489,[16  7] ; [34 27],[13.69047619  9.30952381] ; [36.30952381 24.69047619],0
s4,1,0.263642,1.249529,[ 3 20] ; [15 47],[ 4.87058824 18.12941176] ; [13.12941176 48.87058824],0
v3,1,0.27601,1.186632,[ 7 16] ; [12 50],[ 5.14117647 17.85882353] ; [13.85882353 48.14117647],0
p1,1,0.290071,1.119293,[ 2 21] ; [ 2 60],[ 1.08235294 21.91764706] ; [ 2.91764706 59.08235294],0
u1,1,0.290071,1.119293,[ 2 21] ; [ 2 60],[ 1.08235294 21.91764706] ; [ 2.91764706 59.08235294],0
v1,1,0.31218,1.021432,[ 6 17] ; [22 36],[ 7.95061728 15.04938272] ; [20.04938272 37.95061728],0
b5,1,0.327544,0.958583,[11 12] ; [37 25],[12.98823529 10.01176471] ; [35.01176471 26.98823529],0
b1,1,0.372415,0.795592,[14  9] ; [31 31],[12.17647059 10.82352941] ; [32.82352941 29.17647059],0
s2,1,0.412836,0.670619,[ 6 17] ; [22 40],[ 7.57647059 15.42352941] ; [20.42352941 41.57647059],0
p10,1,0.43122,0.619536,[12 11] ; [37 23],[13.57831325  9.42168675] ; [35.42168675 24.57831325],0
d3,1,0.431965,0.617534,[15  8] ; [34 27],[13.41666667  9.58333333] ; [35.58333333 25.41666667],0
r2,1,0.450502,0.569389,[16  6] ; [37 21],[14.575  7.425] ; [38.425 19.575],0
s3,1,0.513886,0.426146,[ 8 15] ; [26 35],[ 9.30952381 13.69047619] ; [24.69047619 36.30952381],0
r1,1,0.559451,0.340656,[ 7 16] ; [15 47],[ 5.95294118 17.04705882] ; [16.04705882 45.95294118],0
n4,1,0.724537,0.124187,[12 11] ; [35 27],[12.71764706 10.28235294] ; [34.28235294 27.71764706],0
n1,1,0.752102,0.099773,[ 4 10] ; [10 20],[4.45454545 9.54545455] ; [ 9.54545455 20.45454545],0
b4,1,0.826619,0.047978,[12 11] ; [34 28],[12.44705882 10.55294118] ; [33.55294118 28.44705882],0
a7,1,0.842275,0.039595,[13 10] ; [33 28],[12.5952381 10.4047619] ; [33.4047619 27.5952381],0
u2,1,0.86322,0.029679,[2 2] ; [18 15],[2.16216216 1.83783784] ; [17.83783784 15.16216216],0
