Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.004409,8.107377,[ 5 10] ; [49 19],[9.75903614 5.24096386] ; [44.24096386 23.75903614],0
d1,1,0.004651,8.010217,[ 3 12] ; [41 27],[7.95180723 7.04819277] ; [36.04819277 31.95180723],0
s4,1,0.005145,7.827928,[ 5 10] ; [ 5 63],[ 1.80722892 13.19277108] ; [ 8.19277108 59.80722892],0
a3,1,0.006018,7.544773,[6 9] ; [51 16],[10.42682927  4.57317073] ; [46.57317073 20.42682927],0
r4,1,0.008211,6.98692,[9 6] ; [60  8],[12.46987952  2.53012048] ; [56.53012048 11.46987952],0
n4,1,0.015461,5.863106,[8 7] ; [56 12],[11.56626506  3.43373494] ; [52.43373494 15.56626506],0
r1,1,0.021193,5.310823,[7 8] ; [52 16],[10.6626506  4.3373494] ; [48.3373494 19.6626506],0
r2,1,0.036913,4.354438,[12  3] ; [64  3],[13.90243902  1.09756098] ; [62.09756098  4.90243902],0
p3,1,0.044313,4.044581,[ 5 10] ; [42 26],[8.4939759 6.5060241] ; [38.5060241 29.4939759],0
p4,1,0.057428,3.610153,[7 8] ; [49 19],[10.12048193  4.87951807] ; [45.87951807 22.12048193],0
n5,1,0.069952,3.284149,[8 7] ; [52 16],[10.84337349  4.15662651] ; [49.15662651 18.84337349],0
p10,1,0.069952,3.284149,[8 7] ; [52 16],[10.84337349  4.15662651] ; [49.15662651 18.84337349],0
b1,1,0.076779,3.131807,[9 6] ; [24 44],[5.96385542 9.03614458] ; [27.03614458 40.96385542],0
b5,1,0.102861,2.660613,[12  3] ; [39 29],[9.21686747 5.78313253] ; [41.78313253 26.21686747],0
a2,1,0.118876,2.432066,[ 1 14] ; [17 51],[ 3.25301205 11.74698795] ; [14.74698795 53.25301205],0
p9,1,0.127338,2.324659,[10  5] ; [57 11],[12.10843373  2.89156627] ; [54.89156627 13.10843373],0
u2,1,0.13147,2.275064,[7 2] ; [8 9],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
