Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,31.034972,[99 14] ; [92 72],[77.91696751 35.08303249] ; [113.08303249  50.91696751],1
s2,1,0.0,27.156239,[84 30] ; [69 95],[62.74100719 51.25899281] ; [90.25899281 73.74100719],1
s3,1,1.1e-05,19.306643,[84 29] ; [78 85],[66.32608696 46.67391304] ; [95.67391304 67.32608696],1
p5,1,1.7e-05,18.464378,[32 83] ; [ 14 151],[18.89285714 96.10714286] ; [ 27.10714286 137.89285714],1
s8,1,3.6e-05,17.054437,[80 33] ; [75 89],[63.23104693 49.76895307] ; [91.76895307 72.23104693],1
p10,1,0.000197,13.863418,[111   4] ; [134  30],[100.98566308  14.01433692] ; [144.01433692  19.98566308],1
s7,1,0.00036,12.729894,[75 36] ; [71 85],[60.69662921 50.30337079] ; [85.30337079 70.69662921],1
s4,1,0.002415,9.204257,[28 85] ; [ 18 146],[18.76534296 94.23465704] ; [ 27.23465704 136.76534296],0
p9,1,0.00247,9.162611,[110   5] ; [137  26],[102.17625899  12.82374101] ; [144.82374101  18.17625899],0
p7,1,0.0038,8.376825,[102  10] ; [126  36],[93.19708029 18.80291971] ; [134.80291971  27.19708029],0
p3,1,0.003999,8.284062,[87 27] ; [98 66],[75.86330935 38.13669065] ; [109.13669065  54.86330935],0
v1,1,0.004606,8.02791,[85 29] ; [94 68],[73.93478261 40.06521739] ; [105.06521739  56.93478261],0
a5,1,0.004909,7.912747,[107   8] ; [134  31],[98.98214286 16.01785714] ; [142.01785714  22.98214286],0
p4,1,0.005767,7.621724,[98 16] ; [118  46],[88.57553957 25.42446043] ; [127.42446043  36.57553957],0
b2,1,0.009136,6.796133,[38 38] ; [31 70],[29.62711864 46.37288136] ; [39.37288136 61.62711864],0
b3,1,0.009136,6.796133,[38 38] ; [31 70],[29.62711864 46.37288136] ; [39.37288136 61.62711864],0
b5,1,0.009187,6.786146,[53 62] ; [102  63],[63.66071429 51.33928571] ; [91.33928571 73.66071429],0
n5,1,0.017457,5.649807,[100  14] ; [126  39],[92.34408602 21.65591398] ; [133.65591398  31.34408602],0
p6,1,0.025417,4.995278,[68 46] ; [75 88],[58.85198556 55.14801444] ; [84.14801444 78.85198556],0
n6,1,0.041588,4.151904,[105   7] ; [141  23],[99.82608696 12.17391304] ; [146.17391304  17.82608696],0
p12,1,0.062285,3.475478,[17 97] ; [ 13 152],[ 12.25806452 101.74193548] ; [ 17.74193548 147.25806452],0
v3,1,0.0645,3.417725,[62 52] ; [68 90],[54.48529412 59.51470588] ; [75.51470588 82.48529412],0
r4,1,0.079006,3.085233,[113   2] ; [155  10],[110.07142857   4.92857143] ; [157.92857143   7.07142857],0
a4,1,0.132157,2.266981,[68 47] ; [82 82],[61.82795699 53.17204301] ; [88.17204301 75.82795699],0
r2,1,0.136642,2.215371,[114   1] ; [155   6],[112.08333333   2.91666667] ; [156.91666667   4.08333333],0
a7,1,0.172636,1.859903,[84 31] ; [132  33],[88.71428571 26.28571429] ; [127.28571429  37.71428571],0
u1,1,0.172636,1.859903,[31 84] ; [ 33 132],[26.28571429 88.71428571] ; [ 37.71428571 127.28571429],0
a6,1,0.182774,1.77492,[73 40] ; [119  46],[78.04316547 34.95683453] ; [113.95683453  51.04316547],0
a3,1,0.20151,1.631396,[96 18] ; [128  36],[91.85611511 22.14388489] ; [132.14388489  31.85611511],0
n2,1,0.278565,1.174077,[16  3] ; [19  8],[14.45652174  4.54347826] ; [20.54347826  6.45652174],0
u3,1,0.292872,1.10637,[14  5] ; [22 15],[12.21428571  6.78571429] ; [23.78571429 13.21428571],0
a1,1,0.304683,1.053582,[  9 106] ; [  8 157],[  6.98214286 108.01785714] ; [ 10.01785714 154.98214286],0
n3,1,0.373488,0.792026,[13  5] ; [16 11],[11.6  6.4] ; [17.4  9.6],0
p1,1,0.375461,0.78551,[15 99] ; [ 16 148],[ 12.71223022 101.28776978] ; [ 18.28776978 145.71223022],0
a8,1,0.416175,0.661092,[14 94] ; [ 24 120],[16.28571429 91.71428571] ; [ 21.71428571 122.28571429],0
v2,1,0.451046,0.568022,[73 40] ; [98 65],[70.01086957 42.98913043] ; [100.98913043  62.01086957],0
u2,1,0.492468,0.47113,[10  9] ; [23 14],[11.19642857  7.80357143] ; [21.80357143 15.19642857],0
s1,1,0.498069,0.459049,[  2 112] ; [  5 159],[  2.8705036 111.1294964] ; [  4.1294964 159.8705036],0
r1,1,0.507123,0.439999,[103  11] ; [144  20],[101.28776978  12.71223022] ; [145.71223022  18.28776978],0
b1,1,0.524172,0.405677,[44 71] ; [ 57 108],[41.48214286 73.51785714] ; [ 59.51785714 105.48214286],0
p11,1,0.527399,0.399401,[100  15] ; [139  26],[98.16071429 16.83928571] ; [140.83928571  24.16071429],0
n1,1,0.608757,0.261988,[ 8 11] ; [ 9 17],[ 7.17777778 11.82222222] ; [ 9.82222222 16.17777778],0
u4,1,0.631482,0.230056,[  3 112] ; [  6 159],[  3.69642857 111.30357143] ; [  5.30357143 159.69642857],0
d5,1,0.637265,0.222337,[110   3] ; [162   3],[110.56115108   2.43884892] ; [161.43884892   3.56115108],0
d3,1,0.690153,0.15892,[102  12] ; [150  15],[102.96774194  11.03225806] ; [149.03225806  15.96774194],0
r3,1,0.756907,0.095818,[110   4] ; [158   7],[109.50537634   4.49462366] ; [158.49462366   6.50537634],0
d2,1,0.820519,0.051473,[78 36] ; [115  50],[78.86021505 35.13978495] ; [114.13978495  50.86021505],0
b4,1,0.87404,0.025132,[68 47] ; [96 69],[67.35714286 47.64285714] ; [96.64285714 68.35714286],0
n4,1,0.921401,0.009736,[96 19] ; [137  28],[95.69642857 19.30357143] ; [137.30357143  27.69642857],0
v4,1,0.968504,0.001559,[112   2] ; [162   3],[111.95698925   2.04301075] ; [162.04301075   2.95698925],0
p2,1,0.975482,0.000945,[106   9] ; [151  13],[105.93189964   9.06810036] ; [151.06810036  12.93189964],0
d4,1,0.97627,0.000885,[111   2] ; [162   3],[110.9676259   2.0323741] ; [162.0323741   2.9676259],0
a2,1,0.981181,0.000556,[35 80] ; [ 50 115],[34.91071429 80.08928571] ; [ 50.08928571 114.91071429],0
