Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.000537,11.980914,[ 7 78] ; [ 9 16],[12.36363636 72.63636364] ; [ 3.63636364 21.36363636],1
s7,1,0.000654,11.615298,[23 58] ; [16  8],[30.08571429 50.91428571] ; [ 8.91428571 15.08571429],1
s6,1,0.001526,10.046806,[41 44] ; [21  4],[47.90909091 37.09090909] ; [14.09090909 10.90909091],0
s8,1,0.001666,9.884973,[25 60] ; [16  9],[31.68181818 53.31818182] ; [ 9.31818182 15.68181818],0
s2,1,0.004236,8.179749,[29 56] ; [16  8],[35.09174312 49.90825688] ; [ 9.90825688 14.09174312],0
b3,1,0.004548,8.050931,[ 9 38] ; [9 7],[13.42857143 33.57142857] ; [ 4.57142857 11.42857143],0
b2,1,0.004548,8.050931,[ 9 38] ; [9 7],[13.42857143 33.57142857] ; [ 4.57142857 11.42857143],0
s3,1,0.010068,6.622841,[38 46] ; [18  6],[43.55555556 40.44444444] ; [12.44444444 11.55555556],0
p3,1,0.022545,5.203189,[26 58] ; [14 11],[30.82568807 53.17431193] ; [ 9.17431193 15.82568807],0
d4,1,0.053996,3.712819,[62 22] ; [23  2],[65.50458716 18.49541284] ; [19.49541284  5.50458716],0
v1,1,0.079764,3.069695,[37 46] ; [15  8],[40.71698113 42.28301887] ; [11.28301887 11.71698113],0
b5,1,0.136847,2.213064,[61 24] ; [14 11],[57.95454545 27.04545455] ; [17.04545455  7.95454545],0
v3,1,0.150541,2.066758,[26 53] ; [ 4 19],[23.23529412 55.76470588] ; [ 6.76470588 16.23529412],0
d5,1,0.171636,1.868594,[59 25] ; [21  4],[61.65137615 22.34862385] ; [18.34862385  6.65137615],0
d1,1,0.178523,1.80988,[38 47] ; [15 10],[40.95454545 44.04545455] ; [12.04545455 12.95454545],0
p12,1,0.189594,1.720766,[ 2 82] ; [ 2 23],[ 3.08256881 80.91743119] ; [ 0.91743119 24.08256881],0
p6,1,0.200888,1.635909,[17 65] ; [ 8 16],[19.33962264 62.66037736] ; [ 5.66037736 18.33962264],0
n5,1,0.212567,1.553857,[45 38] ; [10 15],[42.26851852 40.73148148] ; [12.73148148 12.26851852],0
u3,1,0.254133,1.300438,[17 12] ; [5 1],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
n4,1,0.255291,1.294118,[45 40] ; [10 15],[42.5 42.5] ; [12.5 12.5],0
a3,1,0.290083,1.119237,[55 30] ; [19  6],[57.18181818 27.81818182] ; [16.81818182  8.18181818],0
p5,1,0.308729,1.036104,[ 5 79] ; [ 3 22],[ 6.16513761 77.83486239] ; [ 1.83486239 23.16513761],0
p11,1,0.322925,0.977061,[63 22] ; [16  9],[61.04545455 23.95454545] ; [17.95454545  7.04545455],0
