Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5e-06,21.02396,[87 26] ; [ 7 17],[77.53284672 35.46715328] ; [16.46715328  7.53284672],1
d2,1,0.000106,15.029656,[68 45] ; [ 4 20],[59.38686131 53.61313869] ; [12.61313869 11.38686131],1
d5,1,0.00033,12.89154,[100  13] ; [14 10],[94.02919708 18.97080292] ; [19.97080292  4.02919708],1
a4,1,0.003671,8.439716,[57 56] ; [ 4 19],[50.68382353 62.31617647] ; [10.31617647 12.68382353],0
a8,1,0.011076,6.453005,[ 9 94] ; [ 6 15],[12.45967742 90.54032258] ; [ 2.54032258 18.45967742],0
b3,1,0.047221,3.9375,[19 37] ; [ 1 13],[16. 40.] ; [ 4. 10.],0
b2,1,0.047221,3.9375,[19 37] ; [ 1 13],[16. 40.] ; [ 4. 10.],0
a2,1,0.055434,3.668981,[30 83] ; [ 2 22],[26.39416058 86.60583942] ; [ 5.60583942 18.39416058],0
a3,1,0.119427,2.424826,[78 35] ; [12 11],[74.77941176 38.22058824] ; [15.22058824  7.77941176],0
u2,1,0.123503,2.372326,[19 13] ; [4 8],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
p1,1,0.173744,1.85034,[ 12 100] ; [ 5 19],[14. 98.] ; [ 3. 21.],0
p3,1,0.184072,1.764437,[54 58] ; [ 8 16],[51.05882353 60.94117647] ; [10.94117647 13.05882353],0
b1,1,0.196344,1.66936,[59 54] ; [16  8],[61.86131387 51.13868613] ; [13.13868613 10.86131387],0
v2,1,0.222802,1.486235,[62 46] ; [10 13],[59.35877863 48.64122137] ; [12.64122137 10.35877863],0
b4,1,0.226547,1.462413,[67 46] ; [11 13],[64.33576642 48.66423358] ; [13.66423358 10.33576642],0
n5,1,0.232506,1.425466,[68 44] ; [17  6],[70.51851852 41.48148148] ; [14.48148148  8.51851852],0
n1,1,0.249528,1.325946,[20 23] ; [3 8],[18.31481481 24.68518519] ; [4.68518519 6.31481481],0
b5,1,0.257243,1.283536,[75 38] ; [13 11],[72.58394161 40.41605839] ; [15.41605839  8.58394161],0
s5,1,0.276266,1.185365,[51 57] ; [ 8 15],[48.64122137 59.35877863] ; [10.35877863 12.64122137],0
v4,1,0.280822,1.163106,[106   7] ; [21  3],[104.75182482   8.24817518] ; [22.24817518  1.75182482],0
r2,1,0.297323,1.086163,[109   4] ; [22  2],[108.05109489   4.94890511] ; [22.94890511  1.05109489],0
p4,1,0.309325,1.033556,[62 50] ; [16  8],[64.23529412 47.76470588] ; [13.76470588 10.23529412],0
p7,1,0.38427,0.756996,[56 54] ; [14  9],[57.89473684 52.10526316] ; [12.10526316 10.89473684],0
p6,1,0.464902,0.534068,[38 74] ; [ 6 17],[36.5037037 75.4962963] ; [ 7.4962963 15.5037037],0
a5,1,0.477344,0.504925,[79 34] ; [15  9],[77.53284672 35.46715328] ; [16.46715328  7.53284672],0
v3,1,0.496274,0.462896,[41 67] ; [ 7 16],[39.57251908 68.42748092] ; [ 8.42748092 14.57251908],0
s3,1,0.539796,0.375918,[71 42] ; [16  7],[72.28676471 40.71323529] ; [14.71323529  8.28676471],0
s1,1,0.544419,0.367411,[  6 105] ; [ 2 21],[  6.62686567 104.37313433] ; [ 1.37313433 21.62686567],0
s7,1,0.551112,0.355328,[59 45] ; [14  8],[60.25396825 43.74603175] ; [12.74603175  9.25396825],0
s4,1,0.559853,0.339959,[30 83] ; [ 5 19],[28.86861314 84.13138686] ; [ 6.13138686 17.86861314],0
v1,1,0.596588,0.280173,[58 54] ; [11 13],[56.82352941 55.17647059] ; [12.17647059 11.82352941],0
n4,1,0.628309,0.234361,[72 40] ; [16  7],[73.00740741 38.99259259] ; [14.99259259  8.00740741],0
p5,1,0.64433,0.213123,[ 11 101] ; [ 3 20],[ 11.61481481 100.38518519] ; [ 2.38518519 20.61481481],0
s2,1,0.654058,0.200822,[76 37] ; [15  9],[75.05839416 37.94160584] ; [15.94160584  8.05839416],0
r1,1,0.654413,0.200381,[94 19] ; [20  3],[94.72058824 18.27941176] ; [19.27941176  3.72058824],0
u4,1,0.689507,0.15962,[  3 110] ; [ 1 23],[  3.29927007 109.70072993] ; [ 0.70072993 23.29927007],0
a7,1,0.723263,0.125387,[84 29] ; [17  7],[83.30656934 29.69343066] ; [17.69343066  6.30656934],0
n6,1,0.793579,0.068469,[86 25] ; [18  6],[85.51111111 25.48888889] ; [18.48888889  5.51111111],0
p10,1,0.810465,0.057516,[68 42] ; [13  9],[67.5 42.5] ; [13.5  8.5],0
p2,1,0.811992,0.056576,[82 30] ; [17  7],[81.52941176 30.47058824] ; [17.47058824  6.52941176],0
s8,1,0.843828,0.038809,[54 59] ; [12 12],[54.4379562 58.5620438] ; [11.5620438 12.4379562],0
u3,1,0.851038,0.035266,[21 12] ; [8 4],[21.26666667 11.73333333] ; [7.73333333 4.26666667],0
a6,1,0.878867,0.023227,[64 49] ; [14 10],[64.33576642 48.66423358] ; [13.66423358 10.33576642],0
n3,1,0.881993,0.022035,[31 13] ; [8 3],[31.2 12.8] ; [7.8 3.2],0
r4,1,0.890304,0.019022,[100  13] ; [21  3],[99.80291971 13.19708029] ; [21.19708029  2.80291971],0
p8,1,0.937261,0.006196,[38 74] ; [ 8 15],[38.16296296 73.83703704] ; [ 7.83703704 15.16296296],0
p9,1,0.967016,0.00171,[77 33] ; [16  7],[76.91729323 33.08270677] ; [16.08270677  6.91729323],0
r3,1,0.970827,0.001337,[102   9] ; [22  2],[101.95555556   9.04444444] ; [22.04444444  1.95555556],0
n2,1,1.0,0.0,[32 12] ; [8 3],[32. 12.] ; [8. 3.],0
