Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000903,11.015912,[67 90] ; [ 2 23],[59.52197802 97.47802198] ; [ 9.47802198 15.52197802],1
b3,1,0.000903,11.015912,[67 90] ; [ 2 23],[59.52197802 97.47802198] ; [ 9.47802198 15.52197802],1
s2,1,0.006578,7.384651,[ 97 155] ; [24 15],[104.78350515 147.21649485] ; [16.21649485 22.78350515],0
v3,1,0.00774,7.092727,[ 96 153] ; [ 7 34],[ 88.43793103 160.56206897] ; [14.56206897 26.43793103],0
s5,1,0.01094,6.474983,[ 63 182] ; [17 20],[ 69.5035461 175.4964539] ; [10.4964539 26.5035461],0
s3,1,0.035441,4.423809,[123 125] ; [27 13],[129.16666667 118.83333333] ; [20.83333333 19.16666667],0
p5,1,0.037737,4.31682,[ 34 215] ; [ 1 41],[ 29.94845361 219.05154639] ; [ 5.05154639 36.94845361],0
d4,1,0.054748,3.689759,[148 104] ; [18 24],[142.28571429 109.71428571] ; [23.71428571 18.28571429],0
p6,1,0.058374,3.582977,[ 83 163] ; [ 8 34],[ 77.72916667 168.27083333] ; [13.27083333 28.72916667],0
r2,1,0.07139,3.250759,[225  24] ; [34  8],[221.6185567  27.3814433] ; [37.3814433  4.6185567],0
a8,1,0.132992,2.257228,[ 42 197] ; [ 3 35],[ 38.8267148 200.1732852] ; [ 6.1732852 31.8267148],0
s6,1,0.133381,2.252709,[152  97] ; [28 10],[156.16724739  92.83275261] ; [23.83275261 14.16724739],0
a6,1,0.134584,2.238815,[151 101] ; [20 22],[146.57142857 105.42857143] ; [24.42857143 17.57142857],0
s7,1,0.155337,2.019043,[100 133] ; [23 19],[104.21454545 128.78545455] ; [18.78545455 23.21454545],0
n1,1,0.170805,1.875862,[31 27] ; [3 7],[29. 29.] ; [5. 5.],0
a5,1,0.1744,1.844706,[154  98] ; [21 21],[150. 102.] ; [25. 17.],0
a7,1,0.175872,1.832161,[159  92] ; [22 20],[155.05460751  95.94539249] ; [25.94539249 16.05460751],0
p2,1,0.185717,1.751272,[201  49] ; [30 12],[197.7739726  52.2260274] ; [33.2260274  8.7739726],0
p4,1,0.19839,1.654188,[128 122] ; [17 25],[124.14383562 125.85616438] ; [20.85616438 21.14383562],0
v4,1,0.243243,1.361703,[224  27] ; [39  2],[226.07191781  24.92808219] ; [36.92808219  4.07191781],0
v2,1,0.261437,1.261132,[119 121] ; [16 24],[115.71428571 124.28571429] ; [19.28571429 20.71428571],0
n2,1,0.28522,1.142047,[44 15] ; [9 1],[45.31884058 13.68115942] ; [7.68115942 2.31884058],0
b5,1,0.347568,0.882316,[152 101] ; [22 20],[149.22711864 103.77288136] ; [24.77288136 17.22711864],0
r1,1,0.395625,0.721583,[184  68] ; [28 14],[181.71428571  70.28571429] ; [30.28571429 11.71428571],0
d3,1,0.402027,0.702256,[ 91 161] ; [18 24],[ 93.42857143 158.57142857] ; [15.57142857 26.42857143],0
r4,1,0.403431,0.698075,[212  41] ; [33  9],[210.11864407  42.88135593] ; [34.88135593  7.11864407],0
s1,1,0.418512,0.654491,[ 11 239] ; [ 3 38],[ 12.02749141 237.97250859] ; [ 1.97250859 39.02749141],0
a3,1,0.435638,0.607745,[147 103] ; [22 20],[144.69178082 105.30821918] ; [24.30821918 17.69178082],0
d2,1,0.466969,0.529139,[ 37 215] ; [ 8 34],[ 38.57142857 213.42857143] ; [ 6.42857143 35.57142857],0
