Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.002504,9.137373,[2 2] ; [ 3 50],[0.35087719 3.64912281] ; [ 4.64912281 48.35087719],0
n5,1,0.129076,2.303579,[3 1] ; [19 33],[1.57142857 2.42857143] ; [20.42857143 31.57142857],0
s2,1,0.142962,2.145786,[1 3] ; [33 20],[2.38596491 1.61403509] ; [31.61403509 21.38596491],0
a6,1,0.167011,1.909573,[1 3] ; [32 21],[2.31578947 1.68421053] ; [30.68421053 22.31578947],0
d4,1,0.178884,1.806868,[2 2] ; [42 11],[3.0877193 0.9122807] ; [40.9122807 12.0877193],0
s7,1,0.193048,1.694204,[3 1] ; [22 31],[1.75438596 2.24561404] ; [23.24561404 29.75438596],0
p12,1,0.234114,1.415693,[1 3] ; [ 4 49],[0.35087719 3.64912281] ; [ 4.64912281 48.35087719],0
b4,1,0.25105,1.317453,[1 3] ; [29 24],[2.10526316 1.89473684] ; [27.89473684 25.10526316],0
d5,1,0.276596,1.18374,[2 2] ; [39 13],[2.92857143 1.07142857] ; [38.07142857 13.92857143],0
p3,1,0.283001,1.152622,[1 3] ; [28 25],[2.03508772 1.96491228] ; [26.96491228 26.03508772],0
s3,1,0.316916,1.001632,[1 3] ; [27 26],[1.96491228 2.03508772] ; [26.03508772 26.96491228],0
b1,1,0.316916,1.001632,[3 1] ; [26 27],[2.03508772 1.96491228] ; [26.96491228 26.03508772],0
r2,1,0.327981,0.956853,[3 1] ; [48  5],[3.57894737 0.42105263] ; [47.42105263  5.57894737],0
n1,1,0.347755,0.881633,[2 1] ; [ 8 13],[1.25 1.75] ; [ 8.75 12.25],0
b5,1,0.360356,0.836654,[2 2] ; [38 15],[2.80701754 1.19298246] ; [37.19298246 15.80701754],0
d1,1,0.390661,0.736885,[1 3] ; [25 28],[1.8245614 2.1754386] ; [24.1754386 28.8245614],0
u1,1,0.421528,0.646051,[1 3] ; [ 6 47],[0.49122807 3.50877193] ; [ 6.50877193 46.49122807],0
s8,1,0.453899,0.560897,[1 3] ; [23 29],[1.71428571 2.28571429] ; [22.28571429 29.71428571],0
a2,1,0.512637,0.42868,[1 3] ; [ 7 46],[0.56140351 3.43859649] ; [ 7.43859649 45.56140351],0
a4,1,0.516349,0.421181,[1 3] ; [22 31],[1.61403509 2.38596491] ; [21.38596491 31.61403509],0
n6,1,0.556022,0.346639,[2 2] ; [33 18],[2.54545455 1.45454545] ; [32.45454545 18.54545455],0
d2,1,0.610625,0.259265,[1 3] ; [20 33],[1.47368421 2.52631579] ; [19.52631579 33.47368421],0
r1,1,0.627077,0.236045,[2 2] ; [33 20],[2.45614035 1.54385965] ; [32.54385965 20.45614035],0
s4,1,0.627077,0.236045,[2 2] ; [20 33],[1.54385965 2.45614035] ; [20.45614035 32.54385965],0
v3,1,0.627773,0.235093,[1 3] ; [ 8 43],[0.65454545 3.34545455] ; [ 8.34545455 42.65454545],0
b2,1,0.643297,0.214456,[2 2] ; [11 18],[1.57575758 2.42424242] ; [11.42424242 17.57575758],0
b3,1,0.643297,0.214456,[2 2] ; [11 18],[1.57575758 2.42424242] ; [11.42424242 17.57575758],0
p4,1,0.713878,0.134434,[3 1] ; [35 18],[2.66666667 1.33333333] ; [35.33333333 17.66666667],0
v1,1,0.764503,0.089744,[2 2] ; [22 30],[1.71428571 2.28571429] ; [22.28571429 29.71428571],0
d3,1,0.790564,0.070532,[3 1] ; [35 16],[2.76363636 1.23636364] ; [35.23636364 15.76363636],0
a3,1,0.797444,0.065873,[2 2] ; [30 23],[2.24561404 1.75438596] ; [29.75438596 23.24561404],0
a5,1,0.855078,0.033358,[2 2] ; [29 24],[2.1754386 1.8245614] ; [28.8245614 24.1754386],0
a7,1,0.869666,0.026923,[3 1] ; [37 15],[2.85714286 1.14285714] ; [37.14285714 14.85714286],0
n3,1,0.873382,0.025397,[2 1] ; [13  8],[1.875 1.125] ; [13.125  7.875],0
p11,1,0.887305,0.020083,[3 1] ; [38 15],[2.87719298 1.12280702] ; [38.12280702 14.87719298],0
p9,1,0.913676,0.011751,[3 1] ; [41 12],[3.0877193 0.9122807] ; [40.9122807 12.0877193],0
v2,1,1.0,0.0,[2 2] ; [26 26],[2. 2.] ; [26. 26.],0
