Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-06,20.414894,[ 6 22] ; [34 11],[15.34246575 12.65753425] ; [24.65753425 20.34246575],1
n6,1,0.000784,11.278322,[14 14] ; [38  6],[20.22222222  7.77777778] ; [31.77777778 12.22222222],1
r1,1,0.001571,9.993305,[14 14] ; [38  7],[19.94520548  8.05479452] ; [32.05479452 12.94520548],0
r4,1,0.004644,8.013194,[18 10] ; [41  4],[22.63013699  5.36986301] ; [36.36986301  8.63013699],0
p11,1,0.021871,5.256016,[11 17] ; [30 15],[15.7260274 12.2739726] ; [25.2739726 19.7260274],0
p2,1,0.041706,4.147091,[17 11] ; [37  8],[20.71232877  7.28767123] ; [33.28767123 11.71232877],0
b5,1,0.056094,3.649257,[11 17] ; [28 17],[14.95890411 13.04109589] ; [24.04109589 20.95890411],0
u1,1,0.060269,3.529967,[ 2 26] ; [11 34],[ 4.98630137 23.01369863] ; [ 8.01369863 36.98630137],0
s4,1,0.066515,3.366982,[ 9 19] ; [ 6 37],[ 5.91549296 22.08450704] ; [ 9.08450704 33.91549296],0
v3,1,0.068685,3.314161,[ 6 22] ; [19 26],[ 9.5890411 18.4109589] ; [15.4109589 29.5890411],0
b1,1,0.087466,2.920404,[13 15] ; [30 15],[16.49315068 11.50684932] ; [26.50684932 18.49315068],0
v1,1,0.094262,2.800031,[ 7 21] ; [20 25],[10.35616438 17.64383562] ; [16.64383562 28.35616438],0
u3,1,0.109281,2.56459,[9 4] ; [10 14],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
p1,1,0.110966,2.540404,[ 1 27] ; [ 7 38],[ 3.06849315 24.93150685] ; [ 4.93150685 40.06849315],0
a2,1,0.135402,2.229451,[ 2 26] ; [ 9 36],[ 4.21917808 23.78082192] ; [ 6.78082192 38.21917808],0
a7,1,0.179026,1.805688,[17 11] ; [34 11],[19.56164384  8.43835616] ; [31.43835616 13.56164384],0
p10,1,0.19009,1.716917,[ 5 23] ; [14 30],[ 7.38888889 20.61111111] ; [11.61111111 32.38888889],0
r2,1,0.25709,1.28436,[23  5] ; [41  4],[24.54794521  3.45205479] ; [39.45205479  5.54794521],0
b3,1,0.269005,1.221815,[ 3 16] ; [10 24],[ 4.66037736 14.33962264] ; [ 8.33962264 25.66037736],0
b2,1,0.269005,1.221815,[ 3 16] ; [10 24],[ 4.66037736 14.33962264] ; [ 8.33962264 25.66037736],0
d5,1,0.278378,1.174993,[20  8] ; [37  8],[21.8630137  6.1369863] ; [35.1369863  9.8630137],0
n2,1,0.279353,1.170236,[9 4] ; [8 1],[10.04545455  2.95454545] ; [6.95454545 2.04545455],0
v2,1,0.281886,1.157975,[11 17] ; [23 21],[13.22222222 14.77777778] ; [20.77777778 23.22222222],0
p3,1,0.33355,0.935065,[12 16] ; [24 20],[14. 14.] ; [22. 22.],0
d1,1,0.383995,0.757872,[12 16] ; [24 21],[13.80821918 14.19178082] ; [22.19178082 22.80821918],0
s7,1,0.39985,0.708776,[ 8 19] ; [17 26],[ 9.64285714 17.35714286] ; [15.35714286 27.64285714],0
a5,1,0.41245,0.671728,[16 12] ; [30 15],[17.64383562 10.35616438] ; [28.35616438 16.64383562],0
d3,1,0.412678,0.671072,[18 10] ; [33 12],[19.56164384  8.43835616] ; [31.43835616 13.56164384],0
a4,1,0.414293,0.666446,[ 7 21] ; [15 29],[ 8.55555556 19.44444444] ; [13.44444444 30.55555556],0
b4,1,0.465097,0.5336,[15 13] ; [28 17],[16.49315068 11.50684932] ; [26.50684932 18.49315068],0
v4,1,0.472901,0.515189,[24  4] ; [41  4],[24.93150685  3.06849315] ; [40.06849315  4.93150685],0
d2,1,0.492455,0.471159,[12 16] ; [23 22],[13.42465753 14.57534247] ; [21.57534247 23.42465753],0
n3,1,0.492519,0.471018,[9 5] ; [7 2],[9.73913043 4.26086957] ; [6.26086957 2.73913043],0
p6,1,0.49526,0.465078,[ 7 21] ; [14 29],[ 8.28169014 19.71830986] ; [12.71830986 30.28169014],0
u2,1,0.501436,0.451896,[6 7] ; [ 8 15],[5.05555556 7.94444444] ; [ 8.94444444 14.05555556],0
n1,1,0.512091,0.429792,[4 9] ; [4 5],[4.72727273 8.27272727] ; [3.27272727 5.72727273],0
a8,1,0.527301,0.39959,[ 1 25] ; [ 3 36],[ 1.6 24.4] ; [ 2.4 36.6],0
s8,1,0.534925,0.385027,[ 7 21] ; [14 30],[ 8.16666667 19.83333333] ; [12.83333333 31.16666667],0
s1,1,0.559816,0.340024,[ 3 25] ; [ 3 41],[ 2.33333333 25.66666667] ; [ 3.66666667 40.33333333],0
a3,1,0.566119,0.32922,[15 13] ; [21 24],[13.80821918 14.19178082] ; [22.19178082 22.80821918],0
a1,1,0.57204,0.319281,[ 1 27] ; [ 3 42],[ 1.53424658 26.46575342] ; [ 2.46575342 42.53424658],0
a6,1,0.588972,0.291952,[15 13] ; [27 18],[16.10958904 11.89041096] ; [25.89041096 19.10958904],0
s5,1,0.59219,0.286937,[ 7 20] ; [ 9 35],[ 6.08450704 20.91549296] ; [ 9.91549296 34.08450704],0
p7,1,0.721852,0.126725,[16 12] ; [27 17],[16.72222222 11.27777778] ; [26.27777778 17.72222222],0
s3,1,0.786944,0.073052,[15 13] ; [25 19],[15.55555556 12.44444444] ; [24.44444444 19.55555556],0
r3,1,0.796744,0.066339,[25  3] ; [41  4],[25.31506849  2.68493151] ; [40.68493151  4.31506849],0
s6,1,0.891096,0.018746,[17 11] ; [26 18],[16.72222222 11.27777778] ; [26.27777778 17.72222222],0
d4,1,0.926482,0.008514,[19  9] ; [31 14],[19.17808219  8.82191781] ; [30.82191781 14.17808219],0
s2,1,0.933781,0.006904,[12 16] ; [18 25],[11.83098592 16.16901408] ; [18.16901408 24.83098592],0
p8,1,0.951454,0.003707,[14 13] ; [23 22],[13.875 13.125] ; [23.125 21.875],0
