Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.5e-05,17.098842,[45 23] ; [106  11],[55.5027027 12.4972973] ; [95.4972973 21.5027027],1
s8,1,0.002179,9.391961,[ 7 62] ; [34 81],[15.375 53.625] ; [25.625 89.375],0
r3,1,0.002464,9.166828,[50 19] ; [104  12],[57.43783784 11.56216216] ; [96.56216216 19.43783784],0
n5,1,0.003089,8.753882,[27 42] ; [72 45],[36.72580645 32.27419355] ; [62.27419355 54.72580645],0
s7,1,0.004569,8.042651,[ 9 53] ; [39 74],[17.00571429 44.99428571] ; [30.99428571 82.00571429],0
r4,1,0.005046,7.862743,[41 28] ; [92 25],[49.33870968 19.66129032] ; [83.66129032 33.33870968],0
p11,1,0.007829,7.07221,[25 44] ; [66 51],[33.75806452 35.24193548] ; [57.24193548 59.75806452],0
p6,1,0.016965,5.699956,[ 9 58] ; [33 81],[15.54696133 51.45303867] ; [26.45303867 87.54696133],0
p2,1,0.047341,3.933228,[34 35] ; [75 42],[40.43548387 28.56451613] ; [68.56451613 48.43548387],0
n4,1,0.052015,3.775276,[38 31] ; [81 36],[44.14516129 24.85483871] ; [74.85483871 42.14516129],0
u1,1,0.057164,3.617815,[ 5 64] ; [20 97],[ 9.27419355 59.72580645] ; [ 15.72580645 101.27419355],0
p8,1,0.064071,3.428735,[15 53] ; [40 74],[20.54945055 47.45054945] ; [34.45054945 79.54945055],0
d1,1,0.072307,3.229864,[26 43] ; [60 57],[31.90322581 37.09677419] ; [54.09677419 62.90322581],0
s2,1,0.087547,2.918913,[14 55] ; [37 79],[19.02162162 49.97837838] ; [31.97837838 84.02162162],0
s6,1,0.088948,2.893307,[23 46] ; [53 62],[28.5 40.5] ; [47.5 67.5],0
p5,1,0.101835,2.676563,[ 1 67] ; [  8 109],[ 3.30810811 64.69189189] ; [  5.69189189 111.30810811],0
p7,1,0.105716,2.617126,[24 45] ; [54 61],[29.25 39.75] ; [48.75 66.25],0
a1,1,0.106384,2.607129,[ 8 61] ; [  6 111],[ 5.19354839 63.80645161] ; [  8.80645161 108.19354839],0
p9,1,0.116593,2.462497,[20 49] ; [45 66],[24.91666667 44.08333333] ; [40.08333333 70.91666667],0
n2,1,0.119252,2.427123,[15 15] ; [28 13],[18.16901408 11.83098592] ; [24.83098592 16.16901408],0
s5,1,0.122689,2.382657,[ 7 60] ; [22 93],[10.67582418 56.32417582] ; [18.32417582 96.67582418],0
v3,1,0.134056,2.244894,[14 50] ; [37 77],[18.33707865 45.66292135] ; [32.66292135 81.33707865],0
p4,1,0.142914,2.146295,[20 49] ; [46 70],[24.61621622 44.38378378] ; [41.38378378 74.61621622],0
d3,1,0.157297,2.000025,[34 34] ; [71 46],[38.59459459 29.40540541] ; [66.40540541 50.59459459],0
s1,1,0.212619,1.553503,[ 6 62] ; [  5 111],[ 4.06521739 63.93478261] ; [  6.93478261 109.06521739],0
b5,1,0.223098,1.484334,[38 31] ; [75 42],[41.91935484 27.08064516] ; [71.08064516 45.91935484],0
b1,1,0.239913,1.381107,[38 31] ; [54 63],[34.12903226 34.87096774] ; [57.87096774 59.12903226],0
d4,1,0.254724,1.297205,[45 22] ; [87 29],[48.32786885 18.67213115] ; [83.67213115 32.32786885],0
r2,1,0.278104,1.17633,[56 13] ; [101  15],[58.55675676 10.44324324] ; [98.44324324 17.55675676],0
p3,1,0.290891,1.115493,[16 52] ; [36 81],[19.11351351 48.88648649] ; [32.88648649 84.11351351],0
u2,1,0.323678,0.974026,[13 12] ; [20 30],[11. 14.] ; [22. 28.],0
v2,1,0.336454,0.923896,[25 41] ; [52 63],[28.07734807 37.92265193] ; [48.92265193 66.07734807],0
a3,1,0.372201,0.796302,[43 25] ; [65 50],[40.13114754 27.86885246] ; [67.86885246 47.13114754],0
u4,1,0.422406,0.643611,[ 1 68] ; [  4 113],[ 1.85483871 67.14516129] ; [  3.14516129 113.85483871],0
a8,1,0.456378,0.554764,[ 7 57] ; [16 91],[ 8.60818713 55.39181287] ; [14.39181287 92.60818713],0
a5,1,0.498201,0.458767,[43 26] ; [67 50],[40.80645161 28.19354839] ; [69.19354839 47.80645161],0
p12,1,0.57863,0.308454,[ 2 66] ; [  2 115],[ 1.47027027 66.52972973] ; [  2.52972973 114.47027027],0
d2,1,0.602833,0.270744,[31 37] ; [57 58],[32.69945355 35.30054645] ; [55.30054645 59.69945355],0
a6,1,0.626353,0.237039,[42 26] ; [68 49],[40.43243243 27.56756757] ; [69.56756757 47.43243243],0
d5,1,0.667365,0.1847,[45 23] ; [81 36],[46.31351351 21.68648649] ; [79.68648649 37.31351351],0
n1,1,0.684818,0.164753,[12 17] ; [15 26],[11.18571429 17.81428571] ; [15.81428571 25.18571429],0
a2,1,0.693124,0.155724,[14 55] ; [21 96],[12.98387097 56.01612903] ; [22.01612903 94.98387097],0
r1,1,0.745602,0.105263,[46 23] ; [80 36],[46.99459459 22.00540541] ; [79.00540541 36.99459459],0
b2,1,0.839195,0.041178,[14 29] ; [24 54],[13.50413223 29.49586777] ; [24.49586777 53.50413223],0
b3,1,0.839195,0.041178,[14 29] ; [24 54],[13.50413223 29.49586777] ; [24.49586777 53.50413223],0
v1,1,0.840069,0.040725,[25 44] ; [43 71],[25.63934426 43.36065574] ; [42.36065574 71.63934426],0
u3,1,0.872111,0.025914,[12 14] ; [23 29],[11.66666667 14.33333333] ; [23.33333333 28.66666667],0
p1,1,0.907164,0.013599,[ 5 63] ; [  8 108],[ 4.80434783 63.19565217] ; [  8.19565217 107.80434783],0
b4,1,0.952344,0.003572,[41 28] ; [69 48],[40.80645161 28.19354839] ; [69.19354839 47.80645161],0
a4,1,0.969101,0.001501,[28 41] ; [47 68],[28.125 40.875] ; [46.875 68.125],0
s3,1,0.975277,0.00096,[27 41] ; [45 69],[26.9010989 41.0989011] ; [45.0989011 68.9010989],0
n3,1,0.982575,0.000477,[17 11] ; [25 16],[17.04347826 10.95652174] ; [24.95652174 16.04347826],0
a7,1,0.993323,7e-05,[41 28] ; [69 47],[41.02702703 27.97297297] ; [68.97297297 47.02702703],0
