Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-06,22.091741,[34  7] ; [16 32],[23.03370787 17.96629213] ; [26.96629213 21.03370787],1
s6,1,0.00419,8.199747,[35  6] ; [27 20],[28.88636364 12.11363636] ; [33.11363636 13.88636364],0
p3,1,0.010553,6.539121,[29 12] ; [21 27],[23.03370787 17.96629213] ; [26.96629213 21.03370787],0
n4,1,0.016467,5.752322,[26 15] ; [41  7],[30.86516854 10.13483146] ; [36.13483146 11.86516854],0
s5,1,0.02196,5.248917,[16 23] ; [ 8 36],[11.27710843 27.72289157] ; [12.72289157 31.27710843],0
a8,1,0.072986,3.214561,[ 3 36] ; [10 36],[ 5.96470588 33.03529412] ; [ 7.03529412 38.96470588],0
b4,1,0.094515,2.795737,[22 19] ; [34 14],[25.79775281 15.20224719] ; [30.20224719 17.79775281],0
p1,1,0.117144,2.455102,[ 4 37] ; [ 1 47],[ 2.30337079 38.69662921] ; [ 2.69662921 45.30337079],0
d4,1,0.12558,2.346306,[36  5] ; [36 12],[33.16853933  7.83146067] ; [38.83146067  9.16853933],0
v4,1,0.134621,2.238385,[40  1] ; [43  5],[38.23595506  2.76404494] ; [44.76404494  3.23595506],0
p12,1,0.169723,1.885388,[ 5 36] ; [ 2 45],[ 3.26136364 37.73863636] ; [ 3.73863636 43.26136364],0
a4,1,0.188893,1.726229,[14 27] ; [23 25],[17.04494382 23.95505618] ; [19.95505618 28.04494382],0
a6,1,0.224384,1.476113,[29 12] ; [28 20],[26.25842697 14.74157303] ; [30.74157303 17.25842697],0
d3,1,0.224384,1.476113,[29 12] ; [28 20],[26.25842697 14.74157303] ; [30.74157303 17.25842697],0
a2,1,0.240741,1.376252,[10 31] ; [ 7 41],[ 7.83146067 33.16853933] ; [ 9.16853933 38.83146067],0
p10,1,0.277877,1.177443,[36  5] ; [38 10],[34.08988764  6.91011236] ; [39.91011236  8.08988764],0
n1,1,0.317311,1.0,[2 7] ; [4 5],[3. 6.] ; [3. 6.],0
p7,1,0.343713,0.896532,[23 16] ; [33 15],[25.10344828 13.89655172] ; [30.89655172 17.10344828],0
r2,1,0.349765,0.874309,[38  2] ; [43  5],[36.81818182  3.18181818] ; [44.18181818  3.81818182],0
p11,1,0.359421,0.839915,[34  7] ; [43  5],[35.47191011  5.52808989] ; [41.52808989  6.47191011],0
s4,1,0.365114,0.820226,[ 8 33] ; [ 6 42],[ 6.4494382 34.5505618] ; [ 7.5505618 40.4494382],0
p5,1,0.387052,0.748184,[ 1 40] ; [ 3 45],[ 1.84269663 39.15730337] ; [ 2.15730337 45.84269663],0
r1,1,0.391846,0.733206,[32  9] ; [40  7],[33.54545455  7.45454545] ; [38.45454545  8.54545455],0
d2,1,0.398901,0.711637,[22 19] ; [30 18],[23.95505618 17.04494382] ; [28.04494382 19.95505618],0
u2,1,0.514863,0.424172,[8 8] ; [11  7],[8.94117647 7.05882353] ; [10.05882353  7.94117647],0
b1,1,0.517433,0.419006,[16 25] ; [22 26],[17.50561798 23.49438202] ; [20.49438202 27.50561798],0
d1,1,0.537321,0.380528,[29 12] ; [31 17],[27.64044944 13.35955056] ; [32.35955056 15.64044944],0
