Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.6e-05,18.600004,[ 8 49] ; [27 24],[18.47222222 38.52777778] ; [16.52777778 34.47222222],1
n5,1,0.001343,10.281859,[29 28] ; [41 10],[36.94444444 20.05555556] ; [33.05555556 17.94444444],0
r1,1,0.00341,8.573892,[32 25] ; [42  9],[39.05555556 17.94444444] ; [34.94444444 16.05555556],0
v1,1,0.003851,8.352854,[19 37] ; [31 19],[26.41509434 29.58490566] ; [23.58490566 26.41509434],0
r3,1,0.004208,8.19195,[46 11] ; [50  1],[50.66666667  6.33333333] ; [45.33333333  5.66666667],0
n6,1,0.00579,7.614465,[39 18] ; [46  5],[44.86111111 12.13888889] ; [40.13888889 10.86111111],0
a7,1,0.010026,6.630274,[30 27] ; [39 12],[36.41666667 20.58333333] ; [32.58333333 18.41666667],0
n4,1,0.013035,6.164405,[28 29] ; [37 14],[34.30555556 22.69444444] ; [30.69444444 20.30555556],0
r4,1,0.022101,5.23782,[40 17] ; [45  6],[44.86111111 12.13888889] ; [40.13888889 10.86111111],0
r2,1,0.058892,3.568317,[45 12] ; [46  4],[48.47663551  8.52336449] ; [42.52336449  7.47663551],0
b5,1,0.0633,3.448739,[38 19] ; [25 26],[33.25 23.75] ; [29.75 21.25],0
p10,1,0.080406,3.056672,[34 22] ; [39 12],[38.20560748 17.79439252] ; [34.79439252 16.20560748],0
p6,1,0.084503,2.976102,[21 34] ; [28 23],[25.4245283 29.5754717] ; [23.5754717 27.4245283],0
p11,1,0.095069,2.786378,[39 18] ; [42  9],[42.75 14.25] ; [38.25 12.75],0
a6,1,0.102954,2.659178,[28 29] ; [33 18],[32.19444444 24.80555556] ; [28.80555556 22.19444444],0
v4,1,0.172114,1.864429,[49  8] ; [47  3],[51.14018692  5.85981308] ; [44.85981308  5.14018692],0
a3,1,0.184591,1.76027,[28 28] ; [32 19],[31.40186916 24.59813084] ; [28.59813084 22.40186916],0
d3,1,0.206225,1.597734,[20 37] ; [24 27],[23.22222222 33.77777778] ; [20.77777778 30.22222222],0
p12,1,0.222303,1.489446,[ 3 54] ; [ 6 45],[ 4.75 52.25] ; [ 4.25 46.75],0
s8,1,0.240388,1.37832,[18 38] ; [22 29],[20.93457944 35.06542056] ; [19.06542056 31.93457944],0
u1,1,0.256783,1.28602,[ 1 56] ; [ 3 48],[ 2.11111111 54.88888889] ; [ 1.88888889 49.11111111],0
p4,1,0.288716,1.125597,[37 20] ; [28 23],[34.30555556 22.69444444] ; [30.69444444 20.30555556],0
p9,1,0.321832,0.981485,[38 18] ; [39 12],[40.29906542 15.70093458] ; [36.70093458 14.29906542],0
s3,1,0.322744,0.977793,[36 20] ; [28 23],[33.4953271 22.5046729] ; [30.5046729 20.4953271],0
p5,1,0.334771,0.930355,[ 7 48] ; [10 41],[ 8.82075472 46.17924528] ; [ 8.17924528 42.82075472],0
a5,1,0.345697,0.889191,[25 32] ; [27 24],[27.44444444 29.55555556] ; [24.55555556 26.44444444],0
s1,1,0.354972,0.855602,[ 3 53] ; [ 1 50],[ 2.09345794 53.90654206] ; [ 1.90654206 49.09345794],0
p8,1,0.367879,0.810817,[32 23] ; [34 17],[34.24528302 20.75471698] ; [31.75471698 19.24528302],0
s5,1,0.41928,0.652332,[15 41] ; [17 33],[16.90566038 39.09433962] ; [15.09433962 34.90566038],0
p2,1,0.43787,0.601858,[49  8] ; [41 10],[47.5  9.5] ; [42.5  8.5],0
n1,1,0.443367,0.587552,[ 5 12] ; [4 5],[ 5.88461538 11.11538462] ; [3.11538462 5.88461538],0
n3,1,0.444651,0.584251,[13  4] ; [8 1],[13.73076923  3.26923077] ; [7.26923077 1.73076923],0
d4,1,0.447008,0.578228,[31 26] ; [24 27],[29.02777778 27.97222222] ; [25.97222222 25.02777778],0
s7,1,0.453783,0.561186,[23 31] ; [24 24],[24.88235294 29.11764706] ; [22.11764706 25.88235294],0
n2,1,0.49205,0.472041,[11  6] ; [7 2],[11.76923077  5.23076923] ; [6.23076923 2.76923077],0
u3,1,0.509867,0.43434,[12 16] ; [10  9],[13.10638298 14.89361702] ; [ 8.89361702 10.10638298],0
s2,1,0.533424,0.387864,[28 29] ; [22 29],[26.38888889 30.61111111] ; [23.61111111 27.38888889],0
u2,1,0.545699,0.365079,[15 13] ; [ 8 10],[14. 14.] ; [9. 9.],0
d1,1,0.586664,0.295585,[ 3 54] ; [ 4 47],[ 3.69444444 53.30555556] ; [ 3.30555556 47.69444444],0
a2,1,0.600946,0.273572,[ 4 53] ; [ 5 46],[ 4.75 52.25] ; [ 4.25 46.75],0
b4,1,0.691905,0.157031,[28 29] ; [27 24],[29.02777778 27.97222222] ; [25.97222222 25.02777778],0
b1,1,0.691905,0.157031,[29 28] ; [24 27],[27.97222222 29.02777778] ; [25.02777778 25.97222222],0
a4,1,0.805542,0.060605,[11 45] ; [11 40],[11.51401869 44.48598131] ; [10.48598131 40.51401869],0
s4,1,0.809443,0.05815,[ 8 49] ; [ 8 43],[ 8.44444444 48.55555556] ; [ 7.55555556 43.44444444],0
p1,1,0.823413,0.049799,[ 7 50] ; [ 7 44],[ 7.38888889 49.61111111] ; [ 6.61111111 44.38888889],0
p3,1,0.863871,0.029395,[30 27] ; [26 25],[29.55555556 27.44444444] ; [26.44444444 24.55555556],0
s6,1,0.890807,0.018847,[32 23] ; [29 22],[31.6509434 23.3490566] ; [29.3490566 21.6509434],0
d2,1,0.894281,0.01766,[15 42] ; [14 37],[15.30555556 41.69444444] ; [13.69444444 37.30555556],0
a8,1,0.994933,4e-05,[ 6 49] ; [ 5 41],[ 5.99009901 49.00990099] ; [ 5.00990099 40.99009901],0
b2,1,1.0,0.0,[11 23] ; [11 23],[11. 23.] ; [11. 23.],0
b3,1,1.0,0.0,[11 23] ; [11 23],[11. 23.] ; [11. 23.],0
