Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.2e-05,17.305686,[108  22] ; [24 22],[97.5 32.5] ; [34.5 11.5],1
p10,1,0.000538,11.979489,[95 32] ; [21 24],[85.65116279 41.34883721] ; [30.34883721 14.65116279],1
r3,1,0.000656,11.608929,[115  14] ; [31 15],[107.62285714  21.37714286] ; [38.37714286  7.62285714],1
a1,1,0.001177,10.526529,[  1 129] ; [ 5 41],[  4.43181818 125.56818182] ; [ 1.56818182 44.43181818],0
v4,1,0.00145,10.140818,[119  11] ; [32 12],[112.81609195  17.18390805] ; [38.18390805  5.81609195],0
p9,1,0.002241,9.340989,[99 29] ; [24 21],[91.00578035 36.99421965] ; [31.99421965 13.00578035],0
p2,1,0.005901,7.580173,[101  29] ; [26 20],[93.80681818 36.19318182] ; [33.19318182 12.80681818],0
s3,1,0.017599,5.635619,[64 62] ; [14 32],[57.13953488 68.86046512] ; [20.86046512 25.13953488],0
p11,1,0.019083,5.493868,[95 35] ; [25 21],[88.63636364 41.36363636] ; [31.36363636 14.63636364],0
b1,1,0.020652,5.355929,[48 82] ; [26 20],[54.65909091 75.34090909] ; [19.34090909 26.65909091],0
n5,1,0.028302,4.809585,[100  30] ; [27 18],[94.34285714 35.65714286] ; [32.65714286 12.34285714],0
n4,1,0.03089,4.659065,[95 34] ; [26 20],[89.19428571 39.80571429] ; [31.80571429 14.19428571],0
s6,1,0.034789,4.455512,[70 57] ; [17 29],[63.86705202 63.13294798] ; [23.13294798 22.86705202],0
r2,1,0.036482,4.374444,[117  13] ; [35 10],[112.91428571  17.08571429] ; [39.08571429  5.91428571],0
a7,1,0.036915,4.354346,[79 50] ; [20 26],[72.97714286 56.02285714] ; [26.02285714 19.97714286],0
s2,1,0.038951,4.263025,[49 78] ; [10 36],[43.31213873 83.68786127] ; [15.68786127 30.31213873],0
p1,1,0.062067,3.481271,[ 10 120] ; [ 8 38],[ 13.29545455 116.70454545] ; [ 4.70454545 41.29545455],0
p3,1,0.070682,3.267115,[53 76] ; [12 34],[47.91428571 81.08571429] ; [17.08571429 28.91428571],0
s7,1,0.07543,3.160721,[47 76] ; [10 33],[42.23493976 80.76506024] ; [14.76506024 28.23493976],0
s8,1,0.105387,2.622074,[45 85] ; [10 36],[40.625 89.375] ; [14.375 31.625],0
p4,1,0.108913,2.569918,[63 67] ; [16 30],[58.35227273 71.64772727] ; [20.64772727 25.35227273],0
s5,1,0.118109,2.442214,[ 24 103] ; [ 4 41],[ 20.6744186 106.3255814] ; [ 7.3255814 37.6744186],0
