Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.329827,[97  5] ; [30 22],[84.11688312 17.88311688] ; [42.88311688  9.11688312],1
d4,1,0.000628,11.689862,[78 23] ; [26 26],[68.65359477 32.34640523] ; [35.34640523 16.65359477],1
s3,1,0.002586,9.079003,[68 34] ; [21 30],[59.33333333 42.66666667] ; [29.66666667 21.33333333],0
r2,1,0.003364,8.598903,[97  5] ; [40 10],[91.93421053 10.06578947] ; [45.06578947  4.93421053],0
r3,1,0.004251,8.173279,[99  2] ; [45  7],[95.05882353  5.94117647] ; [48.94117647  3.05882353],0
d5,1,0.006727,7.344555,[71 31] ; [24 27],[63.33333333 38.66666667] ; [31.66666667 19.33333333],0
d1,1,0.020283,5.387347,[36 66] ; [ 9 43],[29.80519481 72.19480519] ; [15.19480519 36.80519481],0
s6,1,0.021979,5.247414,[68 33] ; [24 26],[61.53642384 39.46357616] ; [30.46357616 19.53642384],0
a7,1,0.02699,4.89144,[70 31] ; [26 25],[63.78947368 37.21052632] ; [32.21052632 18.78947368],0
u3,1,0.039757,4.228245,[28 20] ; [12 22],[23.41463415 24.58536585] ; [16.58536585 17.41463415],0
s2,1,0.041164,4.169244,[55 47] ; [19 33],[49.01298701 52.98701299] ; [24.98701299 27.01298701],0
n5,1,0.041796,4.143428,[77 25] ; [31 21],[71.53246753 30.46753247] ; [36.46753247 15.53246753],0
a3,1,0.044996,4.018789,[53 48] ; [18 33],[47.17763158 53.82236842] ; [23.82236842 27.17763158],0
d3,1,0.050546,3.82325,[62 40] ; [22 28],[56.36842105 45.63157895] ; [27.63157895 22.36842105],0
a8,1,0.052938,3.745866,[17 78] ; [ 3 46],[13.19444444 81.80555556] ; [ 6.80555556 42.19444444],0
p10,1,0.054671,3.692085,[79 23] ; [32 19],[74. 28.] ; [37. 14.],0
p11,1,0.063356,3.447272,[84 18] ; [36 16],[79.48051948 22.51948052] ; [40.51948052 11.48051948],0
n4,1,0.077908,3.108013,[75 27] ; [31 21],[70.20779221 31.79220779] ; [35.79220779 16.20779221],0
s5,1,0.081659,3.031571,[29 71] ; [ 8 42],[24.66666667 75.33333333] ; [12.33333333 37.66666667],0
a6,1,0.088976,2.892797,[54 48] ; [20 32],[49.01298701 52.98701299] ; [24.98701299 27.01298701],0
n2,1,0.137772,2.202672,[19  3] ; [12  6],[17.05  4.95] ; [13.95  4.05],0
p9,1,0.142447,2.151327,[79 22] ; [35 17],[75.25490196 25.74509804] ; [38.74509804 13.25490196],0
s7,1,0.198716,1.651787,[44 52] ; [17 32],[40.3862069 55.6137931] ; [20.6137931 28.3862069],0
p6,1,0.20338,1.617935,[51 49] ; [20 30],[47.33333333 52.66666667] ; [23.66666667 26.33333333],0
p8,1,0.235839,1.405293,[65 37] ; [28 24],[61.5974026 40.4025974] ; [31.4025974 20.5974026],0
s4,1,0.309569,1.032514,[18 82] ; [13 39],[20.39473684 79.60526316] ; [10.60526316 41.39473684],0
n6,1,0.315592,1.007127,[81 20] ; [38 14],[78.55555556 22.44444444] ; [40.44444444 11.55555556],0
a4,1,0.342814,0.899881,[20 82] ; [ 7 45],[17.88311688 84.11688312] ; [ 9.11688312 42.88311688],0
v1,1,0.360901,0.834755,[50 48] ; [22 29],[47.3557047 50.6442953] ; [24.6442953 26.3557047],0
v3,1,0.375526,0.785298,[36 64] ; [15 37],[33.55263158 66.44736842] ; [17.44736842 34.55263158],0
s1,1,0.391049,0.735676,[ 3 99] ; [ 3 49],[ 3.97402597 98.02597403] ; [ 2.02597403 49.97402597],0
b1,1,0.395616,0.721612,[36 66] ; [22 30],[38.41558442 63.58441558] ; [19.58441558 32.41558442],0
s8,1,0.42137,0.64649,[36 66] ; [15 37],[33.77922078 68.22077922] ; [17.22077922 34.77922078],0
v2,1,0.492619,0.470801,[50 48] ; [23 28],[48.01342282 49.98657718] ; [24.98657718 26.01342282],0
b4,1,0.499814,0.455332,[53 49] ; [30 22],[54.97402597 47.02597403] ; [28.02597403 23.97402597],0
p2,1,0.50534,0.443704,[84 18] ; [45  7],[85.44155844 16.55844156] ; [43.55844156  8.44155844],0
b2,1,0.525779,0.402542,[13 46] ; [ 6 30],[11.8 47.2] ; [ 7.2 28.8],0
b3,1,0.525779,0.402542,[13 46] ; [ 6 30],[11.8 47.2] ; [ 7.2 28.8],0
p4,1,0.559932,0.339822,[58 44] ; [27 25],[56.2987013 45.7012987] ; [28.7012987 23.2987013],0
n1,1,0.56409,0.332671,[ 8 14] ; [ 5 13],[ 7.15 14.85] ; [ 5.85 12.15],0
b5,1,0.576873,0.311317,[56 46] ; [31 21],[57.62337662 44.37662338] ; [29.37662338 22.62337662],0
v4,1,0.59348,0.284942,[97  4] ; [48  3],[96.34868421  4.65131579] ; [48.65131579  2.34868421],0
p12,1,0.602668,0.27099,[ 4 98] ; [ 3 49],[ 4.63636364 97.36363636] ; [ 2.36363636 49.63636364],0
d2,1,0.630849,0.230911,[22 80] ; [13 39],[23.18181818 78.81818182] ; [11.81818182 40.18181818],0
p5,1,0.686404,0.163006,[14 87] ; [ 6 46],[13.20261438 87.79738562] ; [ 6.79738562 45.20261438],0
a1,1,0.76444,0.089793,[ 3 99] ; [ 2 50],[ 3.31168831 98.68831169] ; [ 1.68831169 50.31168831],0
n3,1,0.78146,0.07696,[15  7] ; [13  5],[15.4  6.6] ; [12.6  5.4],0
p1,1,0.886166,0.020494,[ 9 92] ; [ 5 47],[ 9.24183007 91.75816993] ; [ 4.75816993 47.24183007],0
u2,1,0.90579,0.014007,[27 21] ; [19 14],[27.25925926 20.74074074] ; [18.74074074 14.25925926],0
p3,1,0.915229,0.011331,[48 54] ; [24 28],[47.68831169 54.31168831] ; [24.31168831 27.68831169],0
