Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000617,11.725392,[28 29] ; [34  7],[36.06122449 20.93877551] ; [25.93877551 15.06122449],1
p9,1,0.009534,6.72,[42 14] ; [38  2],[46.66666667  9.33333333] ; [33.33333333  6.66666667],0
p10,1,0.026216,4.941717,[38 18] ; [35  5],[42.58333333 13.41666667] ; [30.41666667  9.58333333],0
u2,1,0.060752,3.516746,[15  5] ; [4 6],[12.66666667  7.33333333] ; [6.33333333 3.66666667],0
p11,1,0.063573,3.441619,[35 23] ; [32  9],[39.25252525 18.74747475] ; [27.74747475 13.25252525],0
r2,1,0.091415,2.849284,[48  9] ; [39  2],[50.60204082  6.39795918] ; [36.39795918  4.60204082],0
n2,1,0.116126,2.468802,[16  6] ; [14  1],[17.83783784  4.16216216] ; [12.16216216  2.83783784],0
v4,1,0.12516,2.351535,[51  6] ; [40  1],[52.92857143  4.07142857] ; [38.07142857  2.92857143],0
p4,1,0.1392,2.186786,[22 35] ; [22 19],[25.59183673 31.40816327] ; [18.40816327 22.59183673],0
a8,1,0.164476,1.932587,[ 1 54] ; [ 3 36],[ 2.34042553 52.65957447] ; [ 1.65957447 37.34042553],0
a2,1,0.167336,1.906649,[ 9 49] ; [11 30],[11.71717172 46.28282828] ; [ 8.28282828 32.71717172],0
p7,1,0.17335,1.853733,[28 28] ; [25 14],[31.24210526 24.75789474] ; [21.75789474 17.24210526],0
n1,1,0.198203,1.655568,[ 7 15] ; [ 2 13],[ 5.35135135 16.64864865] ; [ 3.64864865 11.35135135],0
p1,1,0.210665,1.566849,[ 7 50] ; [ 2 39],[ 5.23469388 51.76530612] ; [ 3.76530612 37.23469388],0
a3,1,0.211749,1.559428,[37 21] ; [31 10],[39.83838384 18.16161616] ; [28.16161616 12.83838384],0
a5,1,0.211749,1.559428,[37 21] ; [31 10],[39.83838384 18.16161616] ; [28.16161616 12.83838384],0
r4,1,0.246012,1.345808,[44 14] ; [35  6],[46.28282828 11.71717172] ; [32.71717172  8.28282828],0
s4,1,0.250371,1.321232,[10 48] ; [11 30],[12.3030303 45.6969697] ; [ 8.6969697 32.3030303],0
a6,1,0.286948,1.133886,[35 23] ; [29 12],[37.49494949 20.50505051] ; [26.50505051 14.49494949],0
d5,1,0.300652,1.071301,[45 13] ; [28 13],[42.76767677 15.23232323] ; [30.23232323 10.76767677],0
p2,1,0.38383,0.758398,[40 17] ; [32  9],[41.87755102 15.12244898] ; [30.12244898 10.87755102],0
d3,1,0.409571,0.680046,[40 18] ; [25 16],[38.08080808 19.91919192] ; [26.91919192 14.08080808],0
s8,1,0.410195,0.678235,[19 38] ; [17 24],[20.93877551 36.06122449] ; [15.06122449 25.93877551],0
a4,1,0.412164,0.672549,[26 32] ; [15 26],[24.02020202 33.97979798] ; [16.97979798 24.02020202],0
d1,1,0.443057,0.588353,[30 28] ; [18 23],[28.12121212 29.87878788] ; [19.87878788 21.12121212],0
d4,1,0.446378,0.579833,[50  8] ; [33  8],[48.62626263  9.37373737] ; [34.37373737  6.62626263],0
s5,1,0.465704,0.532151,[20 35] ; [12 29],[18.33333333 36.66666667] ; [13.66666667 27.33333333],0
b5,1,0.466047,0.531333,[34 24] ; [27 14],[35.73737374 22.26262626] ; [25.26262626 15.73737374],0
u3,1,0.610163,0.259938,[15  6] ; [8 2],[15.58064516  5.41935484] ; [7.41935484 2.58064516],0
v2,1,0.619907,0.245998,[33 22] ; [26 14],[34.15789474 20.84210526] ; [24.84210526 15.15789474],0
d2,1,0.643568,0.214105,[20 38] ; [16 25],[21.09090909 36.90909091] ; [14.90909091 26.09090909],0
v3,1,0.684482,0.165124,[21 34] ; [14 27],[20.05208333 34.94791667] ; [14.94791667 26.05208333],0
p5,1,0.692225,0.156687,[ 3 53] ; [ 3 38],[ 3.46391753 52.53608247] ; [ 2.53608247 38.46391753],0
b4,1,0.75704,0.09571,[35 23] ; [26 15],[35.73737374 22.26262626] ; [25.26262626 15.73737374],0
n3,1,0.822818,0.050141,[14  8] ; [9 6],[13.67567568  8.32432432] ; [9.32432432 5.67567568],0
p3,1,0.828922,0.046693,[22 34] ; [17 24],[22.51546392 33.48453608] ; [16.48453608 24.51546392],0
s6,1,0.836228,0.042734,[36 19] ; [26 15],[35.52083333 19.47916667] ; [26.47916667 14.52083333],0
s2,1,0.849424,0.036044,[28 30] ; [19 22],[27.53535354 30.46464646] ; [19.46464646 21.53535354],0
a7,1,0.850599,0.035477,[40 18] ; [29 12],[40.42424242 17.57575758] ; [28.57575758 12.42424242],0
s7,1,0.864782,0.028999,[22 34] ; [16 23],[22.4 33.6] ; [15.6 23.4],0
p8,1,0.911385,0.012386,[25 32] ; [18 22],[25.26804124 31.73195876] ; [17.73195876 22.26804124],0
b1,1,0.912261,0.012141,[22 36] ; [16 25],[22.26262626 35.73737374] ; [15.73737374 25.26262626],0
r1,1,0.914219,0.011603,[43 15] ; [30 11],[42.76767677 15.23232323] ; [30.23232323 10.76767677],0
p12,1,0.916044,0.011113,[ 3 53] ; [ 2 39],[ 2.88659794 53.11340206] ; [ 2.11340206 38.88659794],0
r3,1,0.955799,0.003072,[52  6] ; [36  4],[52.08163265  5.91836735] ; [35.91836735  4.08163265],0
p6,1,0.95837,0.002725,[13 40] ; [10 30],[13.10752688 39.89247312] ; [ 9.89247312 30.10752688],0
s3,1,0.973324,0.001118,[29 28] ; [21 20],[29.08163265 27.91836735] ; [20.91836735 20.08163265],0
u1,1,0.984885,0.000359,[ 7 51] ; [ 5 36],[ 7.03030303 50.96969697] ; [ 4.96969697 36.03030303],0
b2,1,1.0,0.0,[10 14] ; [10 14],[10. 14.] ; [10. 14.],0
b3,1,1.0,0.0,[10 14] ; [10 14],[10. 14.] ; [10. 14.],0
