Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,8.7e-05,15.405929,[30 31] ; [ 5 37],[20.72815534 40.27184466] ; [14.27184466 27.72815534],1
p8,1,0.000291,13.125,[45 18] ; [15 27],[36. 27.] ; [24. 18.],1
p2,1,0.000452,12.302824,[55  8] ; [24 18],[47.4 15.6] ; [31.6 10.4],1
p4,1,0.002013,9.537701,[41 22] ; [14 27],[33.31730769 29.68269231] ; [21.68269231 19.31730769],0
p3,1,0.004836,7.939815,[34 29] ; [11 31],[27. 36.] ; [18. 24.],0
b1,1,0.012018,6.30814,[32 31] ; [11 31],[25.8 37.2] ; [17.2 24.8],0
s8,1,0.015725,5.833333,[33 30] ; [12 30],[27. 36.] ; [18. 24.],0
s7,1,0.040816,4.183629,[38 22] ; [18 24],[32.94117647 27.05882353] ; [23.05882353 18.94117647],0
b4,1,0.044147,4.050926,[31 32] ; [29 13],[36. 27.] ; [24. 18.],0
s1,1,0.055437,3.668879,[ 1 61] ; [ 4 36],[ 3.03921569 58.96078431] ; [ 1.96078431 38.03921569],0
p10,1,0.068903,3.308957,[53  9] ; [29 12],[49.3592233 12.6407767] ; [32.6407767  8.3592233],0
a7,1,0.069678,3.290598,[44 19] ; [22 20],[39.6 23.4] ; [26.4 15.6],0
p5,1,0.090763,2.860792,[14 49] ; [ 4 38],[10.8 52.2] ; [ 7.2 34.8],0
d4,1,0.092457,2.831071,[39 24] ; [19 23],[34.8 28.2] ; [23.2 18.8],0
d3,1,0.127926,2.317498,[32 31] ; [15 27],[28.2 34.8] ; [18.8 23.2],0
d1,1,0.150584,2.066327,[ 6 57] ; [ 1 41],[ 4.2 58.8] ; [ 2.8 39.2],0
a3,1,0.16014,1.9729,[35 28] ; [17 24],[31.5 31.5] ; [20.5 20.5],0
s3,1,0.224744,1.473823,[46 17] ; [24 15],[43.23529412 19.76470588] ; [26.76470588 12.23529412],0
v1,1,0.242334,1.366967,[33 29] ; [17 24],[30.09708738 31.90291262] ; [19.90291262 21.09708738],0
r2,1,0.248166,1.3336,[53  9] ; [39  3],[54.84615385  7.15384615] ; [37.15384615  4.84615385],0
s4,1,0.254891,1.296296,[12 51] ; [12 30],[14.4 48.6] ; [ 9.6 32.4],0
n5,1,0.315993,1.005461,[49 14] ; [29 13],[46.8 16.2] ; [31.2 10.8],0
r3,1,0.319138,0.992477,[59  4] ; [37  5],[57.6  5.4] ; [38.4  3.6],0
r4,1,0.348443,0.879121,[53 10] ; [38  4],[54.6  8.4] ; [36.4  5.6],0
a2,1,0.367572,0.811856,[ 6 57] ; [ 2 40],[ 4.8 58.2] ; [ 3.2 38.8],0
s5,1,0.389948,0.739106,[27 35] ; [14 26],[24.92156863 37.07843137] ; [16.07843137 23.92156863],0
u3,1,0.415801,0.662152,[16 11] ; [12 13],[14.53846154 12.46153846] ; [13.46153846 11.53846154],0
n4,1,0.435993,0.606807,[42 21] ; [31 11],[43.8 19.2] ; [29.2 12.8],0
p9,1,0.468807,0.524786,[53 10] ; [33  9],[51.6 11.4] ; [34.4  7.6],0
s2,1,0.487062,0.48301,[39 24] ; [22 18],[37.31067961 25.68932039] ; [23.68932039 16.31067961],0
b2,1,0.505933,0.442469,[14 22] ; [ 6 14],[12.85714286 23.14285714] ; [ 7.14285714 12.85714286],0
b3,1,0.505933,0.442469,[14 22] ; [ 6 14],[12.85714286 23.14285714] ; [ 7.14285714 12.85714286],0
v2,1,0.52297,0.408032,[29 32] ; [16 23],[27.45 33.55] ; [17.55 21.45],0
u1,1,0.532377,0.389851,[ 3 60] ; [ 1 41],[ 2.4 60.6] ; [ 1.6 40.4],0
a4,1,0.557012,0.344905,[ 8 54] ; [ 7 34],[ 9.02912621 52.97087379] ; [ 5.97087379 35.02912621],0
n2,1,0.568261,0.3256,[8 4] ; [10  3],[8.64 3.36] ; [9.36 3.64],0
p12,1,0.616445,0.250896,[ 8 55] ; [ 4 38],[ 7.2 55.8] ; [ 4.8 37.2],0
a5,1,0.631329,0.230263,[33 30] ; [24 18],[34.2 28.8] ; [22.8 19.2],0
n1,1,0.653368,0.201681,[3 9] ; [4 8],[3.5 8.5] ; [3.5 8.5],0
r1,1,0.659243,0.194444,[44 19] ; [31 11],[45. 18.] ; [30. 12.],0
u2,1,0.690926,0.158085,[17  9] ; [15 10],[16.31372549  9.68627451] ; [15.68627451  9.31372549],0
p11,1,0.700009,0.148462,[50 13] ; [32 10],[49.2 13.8] ; [32.8  9.2],0
a8,1,0.734945,0.11462,[ 8 52] ; [ 6 32],[ 8.57142857 51.42857143] ; [ 5.42857143 32.57142857],0
a6,1,0.740171,0.109976,[41 22] ; [26 16],[40.2 22.8] ; [26.8 15.2],0
d2,1,0.775922,0.081019,[15 48] ; [ 9 33],[14.4 48.6] ; [ 9.6 32.4],0
n3,1,0.789561,0.071225,[8 4] ; [8 5],[7.68 4.32] ; [8.32 4.68],0
v4,1,0.890202,0.019058,[58  4] ; [39  3],[57.82692308  4.17307692] ; [39.17307692  2.82692308],0
v3,1,0.993431,6.8e-05,[22 41] ; [14 26],[22.01941748 40.98058252] ; [13.98058252 26.01941748],0
p1,1,1.0,0.0,[ 9 54] ; [ 6 36],[ 9. 54.] ; [ 6. 36.],0
n6,1,1.0,0.0,[51 12] ; [34  8],[51. 12.] ; [34.  8.],0
b5,1,1.0,0.0,[36 27] ; [24 18],[36. 27.] ; [24. 18.],0
