Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.103581,[72 45] ; [ 9 38],[57.78658537 59.21341463] ; [23.21341463 23.78658537],1
r3,1,2e-06,22.695329,[100  16] ; [24 23],[88.24539877 27.75460123] ; [35.75460123 11.24539877],1
p11,1,9.5e-05,15.239751,[81 36] ; [17 30],[69.91463415 47.08536585] ; [28.08536585 18.91463415],1
v4,1,0.000117,14.836037,[99 17] ; [27 20],[89.66871166 26.33128834] ; [36.33128834 10.66871166],1
p10,1,0.000386,12.59741,[78 36] ; [17 28],[68.11320755 45.88679245] ; [26.88679245 18.11320755],1
b1,1,0.000678,11.549867,[43 74] ; [31 16],[52.79268293 64.20731707] ; [21.20731707 25.79268293],1
p2,1,0.003046,8.779413,[83 33] ; [21 24],[74.93167702 41.06832298] ; [29.06832298 15.93167702],0
p8,1,0.010321,6.578559,[46 70] ; [ 8 36],[39.15 76.85] ; [14.85 29.15],0
n4,1,0.018409,5.556809,[78 39] ; [22 25],[71.34146341 45.65853659] ; [28.65853659 18.34146341],0
b4,1,0.02942,4.742845,[74 43] ; [21 26],[67.77439024 49.22560976] ; [27.22560976 19.77439024],0
p1,1,0.037962,4.306742,[  6 110] ; [ 7 40],[  9.25153374 106.74846626] ; [ 3.74846626 43.25153374],0
s1,1,0.037966,4.306528,[  1 116] ; [ 3 44],[  2.85365854 114.14634146] ; [ 1.14634146 45.85365854],0
p9,1,0.041688,4.147811,[84 28] ; [27 19],[78.6835443 33.3164557] ; [32.3164557 13.6835443],0
d5,1,0.043634,4.070667,[81 35] ; [25 22],[75.43558282 40.56441718] ; [30.56441718 16.43558282],0
p4,1,0.044508,4.03719,[50 66] ; [12 34],[44.39506173 71.60493827] ; [17.60493827 28.39506173],0
r2,1,0.050561,3.822772,[89 25] ; [29 17],[84.075 29.925] ; [33.925 12.075],0
b5,1,0.057877,3.59719,[76 41] ; [23 24],[70.62804878 46.37195122] ; [28.37195122 18.62804878],0
d3,1,0.058452,3.580768,[67 49] ; [19 27],[61.58024691 54.41975309] ; [24.41975309 21.58024691],0
n1,1,0.059582,3.548969,[ 9 29] ; [10 11],[12.23728814 25.76271186] ; [ 6.76271186 14.23728814],0
a1,1,0.064809,3.409832,[  7 110] ; [ 7 40],[  9.98780488 107.01219512] ; [ 4.01219512 42.98780488],0
s6,1,0.06929,3.299762,[49 65] ; [13 34],[43.90062112 70.09937888] ; [18.09937888 28.90062112],0
d2,1,0.078973,3.085909,[37 78] ; [22 25],[41.88271605 73.11728395] ; [17.11728395 29.88271605],0
d4,1,0.11379,2.500778,[80 37] ; [26 21],[75.62195122 41.37804878] ; [30.37804878 16.62195122],0
p3,1,0.115562,2.476458,[41 76] ; [10 35],[36.83333333 80.16666667] ; [14.16666667 30.83333333],0
n5,1,0.122508,2.384954,[79 37] ; [26 21],[74.72392638 41.27607362] ; [30.27607362 16.72392638],0
v3,1,0.145596,2.117796,[30 86] ; [ 7 39],[26.49382716 89.50617284] ; [10.50617284 35.49382716],0
s2,1,0.191955,1.702548,[34 83] ; [ 9 38],[30.67682927 86.32317073] ; [12.32317073 34.67682927],0
s5,1,0.198032,1.656829,[25 89] ; [ 6 40],[22.0875 91.9125] ; [ 8.9125 37.0875],0
a7,1,0.218638,1.513287,[69 47] ; [23 24],[65.47239264 50.52760736] ; [26.52760736 20.47239264],0
u1,1,0.300036,1.074032,[  7 110] ; [ 1 46],[  5.70731707 111.29268293] ; [ 2.29268293 44.70731707],0
v2,1,0.33553,0.927437,[42 74] ; [13 33],[39.38271605 76.61728395] ; [15.61728395 30.38271605],0
n2,1,0.346777,0.885214,[28 10] ; [13  8],[26.40677966 11.59322034] ; [14.59322034  6.40677966],0
d1,1,0.362965,0.82761,[41 76] ; [13 34],[38.52439024 78.47560976] ; [15.47560976 31.52439024],0
s4,1,0.444552,0.584505,[19 98] ; [10 37],[20.68902439 96.31097561] ; [ 8.31097561 38.68902439],0
a8,1,0.466426,0.53043,[11 99] ; [ 3 44],[  9.8089172 100.1910828] ; [ 4.1910828 42.8089172],0
p12,1,0.516172,0.421534,[  5 111] ; [ 1 45],[  4.2962963 111.7037037] ; [ 1.7037037 44.2962963],0
b2,1,0.522376,0.4092,[21 40] ; [12 17],[22.36666667 38.63333333] ; [10.63333333 18.36666667],0
b3,1,0.522376,0.4092,[21 40] ; [12 17],[22.36666667 38.63333333] ; [10.63333333 18.36666667],0
a2,1,0.541531,0.37271,[  9 108] ; [ 5 42],[  9.98780488 107.01219512] ; [ 4.01219512 42.98780488],0
a5,1,0.57078,0.32138,[58 59] ; [21 26],[56.3597561 60.6402439] ; [22.6402439 24.3597561],0
u3,1,0.585379,0.297619,[17 37] ; [ 8 13],[18. 36.] ; [ 7. 14.],0
p6,1,0.620722,0.244854,[25 90] ; [ 8 36],[23.86792453 91.13207547] ; [ 9.13207547 34.86792453],0
p5,1,0.657471,0.19661,[ 10 106] ; [ 3 43],[  9.30864198 106.69135802] ; [ 3.69135802 42.30864198],0
s3,1,0.669837,0.181793,[36 79] ; [16 30],[37.14285714 77.85714286] ; [14.85714286 31.14285714],0
p7,1,0.7249,0.123846,[51 64] ; [19 27],[50. 65.] ; [20. 26.],0
a4,1,0.742523,0.107921,[34 82] ; [15 32],[34.87116564 81.12883436] ; [14.12883436 32.87116564],0
v1,1,0.765085,0.089288,[40 74] ; [15 31],[39.1875 74.8125] ; [15.8125 30.1875],0
n3,1,0.787534,0.072638,[24 14] ; [14  7],[24.47457627 13.52542373] ; [13.52542373  7.47457627],0
a3,1,0.828137,0.047129,[62 54] ; [26 21],[62.62576687 53.37423313] ; [25.37423313 21.62576687],0
u2,1,0.833683,0.044092,[22 32] ; [ 8 13],[21.6 32.4] ; [ 8.4 12.6],0
