Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000262,13.321433,[42  6] ; [12 13],[35.50684932 12.49315068] ; [18.49315068  6.50684932],1
r4,1,0.000542,11.96562,[28 20] ; [ 4 21],[21.04109589 26.95890411] ; [10.95890411 14.04109589],1
s7,1,0.013222,6.139225,[16 30] ; [ 2 23],[11.66197183 34.33802817] ; [ 6.33802817 18.66197183],0
s3,1,0.039984,4.218552,[23 24] ; [ 6 19],[18.93055556 28.06944444] ; [10.06944444 14.93055556],0
u3,1,0.062633,3.466258,[12 19] ; [ 2 14],[ 9.23404255 21.76595745] ; [ 4.76595745 11.23404255],0
b1,1,0.091344,2.850523,[17 31] ; [14 11],[20.38356164 27.61643836] ; [10.61643836 14.38356164],0
a7,1,0.100746,2.693691,[23 25] ; [ 7 18],[19.7260274 28.2739726] ; [10.2739726 14.7260274],0
p2,1,0.159512,1.978847,[33 15] ; [13 12],[30.24657534 17.75342466] ; [15.75342466  9.24657534],0
a5,1,0.161088,1.96398,[10 38] ; [ 9 16],[12.49315068 35.50684932] ; [ 6.50684932 18.49315068],0
b3,1,0.177883,1.815226,[ 9 19] ; [ 2 13],[ 7.1627907 20.8372093] ; [ 3.8372093 11.1627907],0
b2,1,0.177883,1.815226,[ 9 19] ; [ 2 13],[ 7.1627907 20.8372093] ; [ 3.8372093 11.1627907],0
p6,1,0.218258,1.515789,[12 36] ; [ 3 21],[10. 38.] ; [ 5. 19.],0
n2,1,0.267938,1.227273,[12  4] ; [6 5],[10.66666667  5.33333333] ; [7.33333333 3.66666667],0
v3,1,0.349214,0.876312,[10 38] ; [ 3 22],[ 8.54794521 39.45205479] ; [ 4.45205479 20.54794521],0
n6,1,0.34979,0.874221,[34 14] ; [15 10],[32.21917808 15.78082192] ; [16.78082192  8.21917808],0
b5,1,0.386896,0.748674,[30 18] ; [13 12],[28.2739726 19.7260274] ; [14.7260274 10.2739726],0
p9,1,0.396338,0.71941,[34 13] ; [15  9],[32.43661972 14.56338028] ; [16.56338028  7.43661972],0
s1,1,0.494653,0.466389,[ 2 46] ; [ 2 23],[ 2.63013699 45.36986301] ; [ 1.36986301 23.63013699],0
p12,1,0.508989,0.436145,[ 2 45] ; [ 2 23],[ 2.61111111 44.38888889] ; [ 1.38888889 23.61111111],0
p3,1,0.516112,0.421655,[15 33] ; [ 6 19],[13.80821918 34.19178082] ; [ 7.19178082 17.80821918],0
a6,1,0.523054,0.407866,[21 27] ; [ 9 16],[19.7260274 28.2739726] ; [10.2739726 14.7260274],0
s6,1,0.523054,0.407866,[21 27] ; [ 9 16],[19.7260274 28.2739726] ; [10.2739726 14.7260274],0
n3,1,0.52518,0.403708,[12  4] ; [7 4],[11.25925926  4.74074074] ; [7.74074074 3.25925926],0
p1,1,0.559175,0.341135,[ 6 42] ; [ 2 23],[ 5.26027397 42.73972603] ; [ 2.73972603 22.26027397],0
v1,1,0.564804,0.331454,[14 32] ; [ 6 19],[12.95774648 33.04225352] ; [ 7.04225352 17.95774648],0
p5,1,0.573729,0.316484,[ 4 44] ; [ 3 21],[ 4.66666667 43.33333333] ; [ 2.33333333 21.66666667],0
r3,1,0.582306,0.302521,[35 13] ; [16  8],[34. 14.] ; [17.  7.],0
d2,1,0.598327,0.277526,[ 9 39] ; [ 6 19],[ 9.8630137 38.1369863] ; [ 5.1369863 19.8630137],0
p11,1,0.63361,0.227198,[26 22] ; [15 10],[26.95890411 21.04109589] ; [14.04109589 10.95890411],0
d1,1,0.634037,0.226626,[ 1 47] ; [ 1 24],[ 1.31506849 46.68493151] ; [ 0.68493151 24.31506849],0
n5,1,0.681835,0.168068,[33 15] ; [16  9],[32.21917808 15.78082192] ; [16.78082192  8.21917808],0
n4,1,0.729176,0.119869,[27 21] ; [13 12],[26.30136986 21.69863014] ; [13.69863014 11.30136986],0
p8,1,0.733993,0.115477,[20 28] ; [ 9 15],[19.33333333 28.66666667] ; [ 9.66666667 14.33333333],0
b4,1,0.740537,0.109655,[25 23] ; [12 13],[24.32876712 23.67123288] ; [12.67123288 12.32876712],0
d4,1,0.758391,0.094614,[21 27] ; [10 15],[20.38356164 27.61643836] ; [10.61643836 14.38356164],0
s8,1,0.774991,0.081711,[11 37] ; [ 5 20],[10.52054795 37.47945205] ; [ 5.47945205 19.52054795],0
u2,1,0.777486,0.079861,[10 20] ; [ 6 10],[10.43478261 19.56521739] ; [ 5.56521739 10.43478261],0
a1,1,0.778788,0.078904,[ 3 45] ; [ 2 23],[ 3.28767123 44.71232877] ; [ 1.71232877 23.28767123],0
n1,1,0.781814,0.076705,[ 5 11] ; [4 7],[ 5.33333333 10.66666667] ; [3.66666667 7.33333333],0
